image_id,caption,humor_score,humor
sonicdrivein_877,we’ re filling our logo with our fav sonic items.,2.614519871713128e-07,0
sonicdrivein_497,when you realize you ate all your sonic ice within 30 seconds… 😉 😉 see you at the drive-in today for 1/2 price shakes and ice cream slushes at sonic.,0.678052544593811,1
sonicdrivein_964,we’ re so thankful for all you sonic lovers out there.,1.173157670564251e-06,0
sonicdrivein_1280,the best deal of the year is coming alive for# halloween at sonic.,8.584162287661457e-07,0
sonicdrivein_790,thanks for joining our comedy hour with@ chazsmith.,0.001445250352844596,0
sonicdrivein_726,"when that first bubble bursts, you’ re gon na be hooked.",2.0835821032960666e-06,0
sonicdrivein_57,we’ ve got something new coming.,3.2371175184842116e-10,0
sonicdrivein_903,"we’ ve got a double stuf oreo® waffle cone: bite size, with a bite size filling.",4.0538167267456515e-10,0
sonicdrivein_864,we’ re filling our logo with our fav sonic items.,4.444722435437143e-06,0
sonicdrivein_786,"when you’ re at the drive-in and someone says “ drink,” but you order your own… 🥤# thisishowwesummermovies@ myriadgardens --- sonicdrivein# movie# fastfood# cheeseboard# teamtots# teamfries# boombox#",4.2675793565649656e-07,0
sonicdrivein_2107,"tomorrow, put a little zest in your step.",1.2796096626743747e-08,0
sonicdrivein_976,"we’ ve got a slush serenade for you: how would you like it? 🎃🧘 sound on to enjoy our slush serenade 🍓🍋 📸:@ aubreysatticcoffeedlife
 📸:@ aubreysattic",0.009356597438454628,0
sonicdrivein_644,get a free route 44 drink with purchase when you use promo code solo444 in the sonic app.,9.358097230460771e-08,0
sonicdrivein_283,"when that spice hits your tongue, you’ re gon na have a great time.",0.5004798769950867,1
sonicdrivein_571,we’ re seeing a lot of food at the drive-in.,6.781081083317986e-06,0
sonicdrivein_572,"🔊 sound on 🔊 tag a friend who’ s obsessed with sonic, and you could be featured like@ brookee_allen.",8.638638064439874e-06,0
sonicdrivein_558,it 's national hot dog month and we are treating your pups to something sweet.,0.186086967587471,0
sonicdrivein_901,this pic will be all of us on 99¢ mozz sticks day tomorrow.,2.8316344469203614e-05,0
sonicdrivein_457,we’ ve got something new coming.,3.1988198756494057e-09,0
sonicdrivein_1992,we’ ve got a slush serenade for you: how about a shake serenade too? 🍫🍬# shakebreak# shakes# shakes# 📅# 🕖# 🍬# 🕖# 🍬# 🕖# 📅# �,5.002979719392897e-07,0
sonicdrivein_1039,you know what 's more delicious than full price drinks? 1/2 price drinks.,7.302320454982691e-07,0
sonicdrivein_2103,happy# motivationmonday from our mozz sticks.,3.5500551387457335e-09,0
sonicdrivein_780,our fans know how to use our soundcloud to find the perfect sonic drink/slush combo.,3.274948539910838e-05,0
