image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
imgflip_514,"i don’ t know about you, but i’ m pretty sure i’ m the only one around here who appreciates sonic ice cream cookie sandwiches 🍦# sonic# icecream# 🍦# 😍�# 😍�# taxes single-patty cheeseburgers only.",0,1,0.906966,0.43583876,0.0,0.0,0.0,0.0
imgflip_591,congrats to america’ s first prom quaranqueen@ skip2maloo15!!! your sonic prom dress took our breath away and your commitment to giving back to your community showed us what it means to be a true quaranqueen.,0,1,0.9182494,0.43583876,0.0,0.0,0.0,0.0
imgflip_155,get a free route 44 drink with purchase when you use promo code solo444 in the sonic app.,2,1,0.6468017,0.43583876,0.09405352498784599,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308
imgflip_427,"the submission period is officially over and we’ re taking a moment to thank all our fans who submitted, and we’ re appreciating your continued support ! 📲🍦# sonicfanfriday 16/11/17 📸:@ imsupa_cat# sonicfanfriday 16/11",2,1,0.92149514,0.43583876,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_425,"it’ s not about the destination, it’ s about the journey.",0,1,0.96219945,0.43583876,0.0,0.0,0.0,0.0
imgflip_471,congrats to america’ s first prom quaranking and quaranqueen@ skip2maloo15!!! your sonic prom dress took our breath away and your commitment to giving back to your community showed us what it means to be a true quaranqueen.,0,1,0.89606565,0.43583876,0.0,0.0,0.0,0.0
imgflip_872,"if you’ re america’ s first prom quaranking or quaranqueen, you’ re gon na have a great time at the drive-in.",0,1,0.6553672,0.43583876,0.0,0.0,0.0,0.0
imgflip_722,don’ t worry about what anyone thinks.,0,1,0.9767195,0.43583876,0.0,0.0,0.0,0.0
imgflip_327,sees a car pull up behind him in the drive-in hits the switch of his thermostat to let you know it’ s time to go.,6,1,0.5168345,0.43583876,0.15999999999999998,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
imgflip_400,"whether it’ s a sonic cheeseburger or our new cookie jar shakes, make sure you eat your heart out on national eat what you love with 1/2 price shakes after 8 pm at sonic.# sonic# shakebreak# shakes# 📅# 🕖# 🍔# ⏰# �",0,1,0.7763443,0.43583876,0.0,0.0,0.0,0.0
