image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1929,reveal the new look for our next instalment in our new york premieres tonight at 8/7c on youtube 🚀# sonicdrivein# bts# bloopers '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',1,1,0.7564105,0.47451115,0.020408163265306117,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2151,"a halloween is upon us, and this one’ s for you.",0,1,0.88267523,0.47451115,0.0,0.0,0.0,0.0
sonicdrivein_1454,redecorating our new limited edition reba’ s ice cream � available now in the app for a limited time only.,0,1,0.5854958,0.47451115,0.0,0.0,0.0,0.0
sonicdrivein_1898,it 's been a while since we last saw them live on the streaming service.,2,1,0.9771681,0.47451115,0.07317488481253685,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
sonicdrivein_807,"if we don’ t have enough to eat, we don’ t want to go to the drive-in.(not me.)# themedtumbler# foodislife# march5 📷:@ imdbrouswilliam ''# sonicdrinkremix ''# march5 📷:@",4,1,0.79747784,0.47451115,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_644,"’ s a sonic drink that we’ ve all been waiting for 💅‍♂️@ sonicdrinkremix

# sonicdrinkremix ''‍♂️@ sonicdrinkremix ''‍♂️ and our new tumbler available now at sonicsw",1,1,0.7229997,0.47451115,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1027,mom& dad’ s day plans 🤩 watch the full episode of momfessionals with@ annalee15 now on youtube ! 🍿# momfessionals '' � � � � � � � � � � � � � � � � � � � � � � � � � � � �,0,1,0.820882,0.47451115,0.0,0.0,0.0,0.0
sonicdrivein_1982,sometimes the only thing that’ s going right for me is a cheeseburger.,3,1,0.98007673,0.47451115,0.23076923076923078,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1708,we know you’ re all excited for this one.,2,1,0.9624295,0.47451115,0.06546107295780162,6.55450749847085e-309,6.55450749847085e-309,6.55450749847085e-309
sonicdrivein_1148,check out the sonic swag at sonicswagshop.,1,1,0.96528083,0.47451115,0.02230257790228158,3.473741814738195e-309,3.473741814738195e-309,3.473741814738195e-309
sonicdrivein_1303,thank you@ sonicdrivein for showing us what you’ re talking about 🤩 tag@ annalee15 for a feature in next month’ s fan friday.,2,1,0.8061997,0.47451115,0.07971451756743361,2.039762925602366e-308,2.039762925602366e-308,2.039762925602366e-308
sonicdrivein_1492,"this month, we have partnered with influencer@ thedrivein to give back to our donors through@ donorschoose so we can grow the best food, drink, and service we can.",2,1,0.96061116,0.47451115,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1219,we teamed up with sonic drive-in and sonic food truck to create a sonic workout.,2,1,0.90994567,0.47451115,0.10916410041039759,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308
sonicdrivein_1153,some people don’ t know the benefits of a chocolate covered wag cup.,1,1,0.97578794,0.47451115,0.05654934466089881,1.6357440907688813e-308,1.6357440907688813e-308,1.6357440907688813e-308
sonicdrivein_1620,we didn’ t want to mess up our date bc we didn’ t want to mess up our date bc we didn’ t want to mess up our date bc we didn’ t want to mess up our date bc we don’ t want to mess up our date bc we don’ t want to,11,1,0.94073963,0.47451115,0.036363636363636355,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1333,"if this isn’ t enough sonic, i’ ll leave it 💅🏼# sonicfanfriday 📷:@ sonicdrivein for a feature in next month’ s fan friday.",1,1,0.86309373,0.47451115,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_977,"if you don’ t like the taste of blue raspberry limeade pool, you can always just drink blue raspberry limeade.",3,1,0.82061315,0.47451115,0.15,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1198,we teamed up with our foodie friends at sonicdrivein to bring you a limited edition corn dog wag cup with all the flavor you’ ve been waiting for 💅# corndogday# sonicdrinkremix# march5 📷:@ tkimchi.,6,1,0.8856656,0.47451115,0.14705882352941177,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2081,thank you so much for coming to our drive-in.,1,1,0.97926384,0.47451115,0.036576998645322836,7.32478711575271e-309,7.32478711575271e-309,7.32478711575271e-309
sonicdrivein_1853,redecorating ✨reveal✨ part 1.,0,1,0.7450851,0.47451115,0.0,0.0,0.0,0.0
sonicdrivein_1844,"when we say we want to finish this game, what we mean is that we want to finish it in one piece? monsters? costumes? songs? whatever? no? then we’ ll leave it at that.",2,1,0.9767377,0.47451115,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
