image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_41,get a free route 44 drink with purchase when you use promo code solo444 in the sonic app.,0,1,0.6468017,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_478,⚠️flash warning⚠️ but why is this such a vibeeee? get our limited edition midnight tumbler on sonicswagshop.,0,1,0.7409682,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_277,"introducing nico, josh and layne🤘🎸fun fact: we feature real life sonic customers like these three friends( and band mates) in our commercials.",1,1,0.8701815,0.43519798,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1368,the perfect cup of holiday cheer🎁 get your very own sonic mug at sonicswagshop.,0,1,0.9374618,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_690,"we’ ve crafted our crave cheeseburger down to the very detail, giving you a bite more satisfying than ever.",0,1,0.6891798,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_2031,"it 's all 'big game' this, 'big game' that, 'big game' that ... we 're just dreaming about a big cup of tots and a big tots of tots of tots of tots of tots of tots of tots of tots of tots of tots of",0,1,0.6608461,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_697,driver’ s seat: best seat in the house.,1,1,0.89180154,0.43519798,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1502,today is the 👉 last day 👈 to snag your sonic holiday swag with free shipping.,1,1,0.33211315,0.43519798,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_566,"we’ ve crafted our crave cheeseburger down to the very detail, giving you a bite more satisfying than ever.",0,1,0.6891798,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_1029,"made this to show our boss what we 've accomplished so far, feel like we 're crushing it!! 🍔# getawaywithit# somethingscookin# march5 📷:@ veryfatrabbit# somethingscookin# march5 📷:@ missandeiya#",0,1,0.62023026,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_742,"do n't waffle over this decision, for it 's only here for a limited time.",1,1,0.68276227,0.43519798,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_505,is this thing on🎤pickle fries are back🎤 now available on the app for a limited time 💥# thisishowwesummer# march5 📷:@ thisishowwesummer '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',0,1,0.795846,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_411,"if you’ re seeing this, it’ s your sign you need a break.# breakfastdebate# cinnasnacks# sonicbreakfast# sonicdrivein# fastfood# mozzarellasticks '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''",1,1,0.78656757,0.43519798,0.025,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_363,good reason to get a double stuf oreo® waffle cone: binge-watching has us in a snacking mood.,2,1,0.9286604,0.43519798,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2052,the perfect drink to sip while watching the grease: rise of the pink ladies premiere doesn’ t exi-channel your inner pink lady in the sonic app 💁‍♀️ sprite 👉 add cherry 👉 add vanilla 👉 add cream watch grease: rise of the pink ladies april 6 on paramount+,1,1,0.8297372,0.43519798,0.02083333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_333,get a free route 44 drink with purchase when you use promo code solo444 in the sonic app.,2,1,0.6468017,0.43519798,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1337,"this halloween, they’ re coming to feed ... on 50¢ corn dogs all day today at sonic.",1,1,0.88243735,0.43519798,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_54,"the weather outside is frightful, but the ice cream is still delightful🍦# icecreamlover# icecream# ski# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing# skiing",0,1,0.9135136,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_1346,get a free route 44 drink with purchase when you use promo code solo444 in the sonic app.,0,1,0.6468017,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_344,you’ re going to want to squeeze time in your calendar for the yummy goodness we’ ve been cookin’ up… 🍔# getawaywithit# somethingscookin# march5 📷:@ veryfatrabbit# somethingscookin# march5 📷,1,1,0.75687534,0.43519798,0.034482758620689655,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_780,no questions at this time.,0,1,0.9425346,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_691,"we’ ve crafted our crave cheeseburger down to the very detail, giving you a bite more satisfying than ever.",1,1,0.6891798,0.43519798,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_85,who’ s going to tell@ sarahhyland@ wellsadams they didn’ t have to dress up to get our trick or treat blast ft.,0,1,0.52378297,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_204,we’ ve got a guilt-free bite dropping soon that you have to taste to believe it’ s real.# getawaywithit# somethingscookin# march5 📷:@ veryfatrabbit# march5 📷:@ missandeiya# somethingscookin# march,0,1,0.7099027,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_491,the perfect way to cap off the night 🤩 tag# sonictalentchallenge@ sonicdrivein&@ agt to showcase your talent.,0,1,0.8659799,0.43519798,0.0,0.0,0.0,0.0
sonicdrivein_143,"it 's all 'big game' this, 'big game' that, 'big game' that, 'big game' that, 'big game' that, 'big game' that, 'big game' that, 'big game' that, 'big game' that, 'big game' that, 'big game",0,1,0.71179736,0.43519798,0.0,0.0,0.0,0.0
