image_id,caption,fluency,diversity
sonicdrivein_1534,"whether it’s a sonic cheeseburger or our new cookie jar shakes, make sure you eat your heart out on national eat what",0.8232764,0.5296938
sonicdrivein_886,this year's @drpeppersonicgames are fierce! carhops from all over competing to see which crew's got the heat. 🔥 head over to our story to see which team made it on top! 🛼,0.77378446,0.5296938
sonicdrivein_2084,"our mystery disappearing slush will only be available today, august 21st. just one day. tag a friend to come with you",0.8715076,0.5296938
sonicdrivein_1117,picking what flavor to order is the toughest part. let your phone battery decide your next drink. pleased with your,0.8440399,0.5296938
sonicdrivein_1153,three’s a party! 🎉 our trick or treat blast is packed with all your halloween faves. 🍫🍬,0.8729453,0.5296938
sonicdrivein_1748,"no matter how you connect the dots, there’s always time for ½ price happy hour drinks from 2-4 pm. 😜",0.8884816,0.5296938
sonicdrivein_2165,a little blast from the past - 1988 #sonic blast poster! #tbt,0.82047117,0.5296938
sonicdrivein_856,"the holidays are coming, & sonicswagshop.com is cooking up something real good. ☃️",0.952091,0.5296938
sonicdrivein_877,comment below what food combo your initials create. 😋,0.7883892,0.5296938
sonicdrivein_1606,consider the menu for the wedding reception handled.,0.26822838,0.5296938
sonicdrivein_1762,light up your night with a hot batch of sonic’s handmade onion rings. 🙌🏼 tag #thisishowisonic and you could be featured,0.6952557,0.5296938
sonicdrivein_1987,"whipping up the most delicious cone you’ve ever had, no big deal.",0.9380777,0.5296938
sonicdrivein_1050,every day is an opportunity. every sundae is an opportunity for rich hot fudge and oreo® cookies. treat yourself to an ice cream adventure with an oreo® big scoop cookie dough sundae.,0.9614615,0.5296938
sonicdrivein_1976,before you make the perfect dog you prepare the perfect ingredients. #doingitright,0.8629075,0.5296938
sonicdrivein_1799,"tomorrow’s the first day of summer, so pedal over to sonic and pick up ½ price cheeseburgers made with 100% pure beef.single-patty cheeseburgers only. tax not included. add-ons cost extra. cannot be combined with other offers. offer valid 06/20/16 at participating sonic drive-ins while supplies last.",0.67821234,0.5296938
sonicdrivein_1418,"cheers to the magical taste of our 🔥 red bull® slush. 
p.s. comes in cherry limeade flavor, too! 🍒🍒🍒",0.49060297,0.5296938
sonicdrivein_2228,"hey, @sonicdrive_in is on @wendywilliams today!! watch for a special offer!",0.8187797,0.5296938
