,image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,humor_score,humor
16,sonicdrivein_743,ad a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's,0,1,0.759905,0.5635486,0.0,0.0,0.0,0.0,0.8655091524124146,1
39,sonicdrivein_655,they’ re the ones who tell you to get the limeade 🧀️‍♀️? 😏�️# limeaderemix '' 📷:@ ryan_sandy 📷:@ pederson99 '' vibes are coming to the drive-in this fall 🧀,1,1,0.92557496,0.5635486,0.0344827586206896,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.3994958698749542,0
41,sonicdrivein_866,"it’ s a toss up, but what do u think? 🥤# susanthamurk# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ seansauce99 📷:@ se",0,1,0.698882,0.5635486,0.0,0.0,0.0,0.0,0.1436904817819595,0
42,sonicdrivein_786,got a new thing coming this summer so we’ ve got something new coming.,0,1,0.93126297,0.5635486,0.0,0.0,0.0,0.0,0.5089197754859924,1
47,sonicdrivein_497,nothing says motivation more than to get your workout started.,0,1,0.91851044,0.5635486,0.0,0.0,0.0,0.0,0.7747004628181458,1
87,sonicdrivein_1809,someone is going to eat this.,0,1,0.9719077,0.5635486,0.0,0.0,0.0,0.0,0.961477756500244,1
117,sonicdrivein_376,not sure if this is a good thing or a bad thing.,1,1,0.97655576,0.5635486,0.0833333333333333,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.9796580076217652,1
151,sonicdrivein_98,"i’ m the weather is starting to get a little… chill out and im taking my time to make this lil' sundae’ s thing 👌# mysheepshopping# weathersheepdollars# march5 📷:@ imsheepshopping<|endoftext|>The new year is upon us,",0,1,0.7620333,0.5635486,0.0,0.0,0.0,0.0,0.3621430695056915,0
175,sonicdrivein_404,@ kelseaballerini’ s great idea to give away a cup of joe🎃‍♂️🍪 and a free tumbler too 👀# getawaywithit# somethingscookin# march5 📷:@ kelseaballerini,0,1,0.4387483,0.5635486,0.0,0.0,0.0,0.0,0.1445182859897613,0
178,sonicdrivein_594,not sure if it will stop us from getting more hits tho 😎 we need your help to keep it going.,1,1,0.8693103,0.5635486,0.0476190476190476,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.045579470694065,0
185,sonicdrivein_952,"we’ ve got a new trick or treat coming to our feed this fall 🙃 so we’ ve partnered with 🌟@ sophini to offer a free, delicious, and delicious corn dog n cheese dip.",6,1,0.9331194,0.5635486,0.1203978026650091,0.0206743701545975,1.5180660188792246e-308,1.5180660188792246e-308,0.0542037636041641,0
201,sonicdrivein_91,"when you’ re not satisfied with your food, you can always get a cheeseburger too.",0,1,0.9664568,0.5635486,0.0,0.0,0.0,0.0,0.4260663092136383,0
228,sonicdrivein_1077,sometimes it 's just a 've 're 're 're 're 's time to get your vibes right.,3,1,0.73712695,0.5635486,0.1394714758202644,1.7585612308455557e-308,1.7585612308455557e-308,1.7585612308455557e-308,0.7061756253242493,1
241,sonicdrivein_454,not sure if this is a thing but i do love it🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley . bio 0_000:00_n_eats: 0_000:00_n_f: 0_,0,1,0.5349525,0.5635486,0.0,0.0,0.0,0.0,0.0331677868962287,0
269,sonicdrivein_759,we need a solar system.,1,1,0.9585945,0.5635486,0.0602388423824404,6.701793672595377e-309,6.701793672595377e-309,6.701793672595377e-309,0.4311460554599762,0
294,sonicdrivein_470,"if you don’ t like the sonic drink, you can always get a free sonic drink at sonic.",1,1,0.9592779,0.5635486,0.0555555555555555,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,0.0193759314715862,0
297,sonicdrivein_2112,i’ ve made a new tuesday and i’ ve got a new thing coming.,1,1,0.95523673,0.5635486,0.0403370087148399,1.25653953070478e-308,1.25653953070478e-308,1.25653953070478e-308,0.8441234230995178,1
301,sonicdrivein_2052,the famous and the underappreciated cake.,0,1,0.86952204,0.5635486,0.0,0.0,0.0,0.0,0.4814096689224243,0
