image_id,caption,humor_score,humor
mcdonalds_switzerland_586,tidying up for the summer? no problem at all with our new# mccafe🤩🤩🥤 ... any tips on where to find the best ones? 🤩# mcdonalds# mcdo# food# summer# bretzels# foodie# picoftheday,1.233592950011797e-10,0
mcdonalds_switzerland_16,"i 'm sure you 've seen it already ... it 's not easy being a bbq at home, but i 'm sure you 're already warmed up by the new hamburgers 😍🍔 🍟 🥤🏃# bbqaroundtheworld# bbqaround",0.998023509979248,1
mcdonalds_switzerland_271,"craving for a cup of mcchicken soup? we have you covered with our new mcdelivery service, which automatically fills your bags as soon as you leave the mcdonald 's® restaurant.",2.011176320593222e-06,0
mcdonalds_switzerland_1985,"a few hours before the start of the month, we ‘ re going to make some cool decorations 😎 🎁.",5.662040836185156e-10,0
mcdonalds_switzerland_696,"dear mcraclette lovers, i wish you the best day☀️☀️ and i wish you the best day☀️☀️ 🍔# mcdonalds# mcdo# gold# toblerone# tobleronexample# tobleronexamples# tobleronexamples",4.2849679360301707e-10,0
mcdonalds_switzerland_1842,"do you know switzerland as well as you think? if so, can you tell me where this mcdonald’ s restaurant is located? 📍# swissmcdelivery# food# mundlive# mcdonalds# mcdo# foodie# australian# foodie# switzerland# foodie",2.3523551107018648e-08,0
mcdonalds_switzerland_673,i’ m not kidding when i say that we’ re enjoying our summer holidays together with our swiss friends ❤️☀️☀️ 🍔 🍟 🥤 i’ m not kidding when i say that we’ re enjoying our summer holidays together with our swiss friends �,1.4206557352736127e-05,0
mcdonalds_switzerland_712,we know you 've been waiting for this for a while.,6.031908839077005e-08,0
mcdonalds_switzerland_725,no need to wait for the new year to enjoy your favorite burgers🍔😍😍# bigmac# bigmac# new# products# neweggday# yummy# foodie# veggie# neweggsday# mcdonalds# mcdo# foodie# veggie# neweggsday#,5.235922344581923e-07,0
mcdonalds_switzerland_904,"so yummy, so delicious 🤩 😍 who agrees? 😍# friesforlife# friesforlife# switzerland# philadelphiacheese# bretzelsporthilfe# philadelphiacheese# bretzelsporthilfe# bretzelsporthilfe#",0.897646963596344,1
mcdonalds_switzerland_681,"when we first tasted our first coca-cola​ latte, we always wondered how it tasted like in a coca-cola​ smoothie.",2.8145934471979217e-09,0
mcdonalds_switzerland_1037,"summer is calling, right? 😍 thanks for the pic@ mcdonalds_switzerland for this awesome idea 🤩# summersummer# frappéal# frappéal# coffee# summer# snipes# mcdo# mcdonalds# telenovela# cappuccino# mart",1.5571465610264568e-06,0
