id,proba,label
sonicdrivein_1930,-8.601018,0
sonicdrivein_78,-9.265647,0
sonicdrivein_903,-9.649065,0
sonicdrivein_228,-8.608956,0
sonicdrivein_408,-7.3614907,0
sonicdrivein_691,-4.822115,0
sonicdrivein_706,-9.956808,0
sonicdrivein_283,-6.8143864,0
sonicdrivein_1983,-6.8116446,0
sonicdrivein_373,-0.024533244,1
sonicdrivein_277,-7.959639,0
sonicdrivein_1002,-9.771021,0
sonicdrivein_402,-9.515743,0
sonicdrivein_789,-9.074886,0
sonicdrivein_1960,-8.698684,0
sonicdrivein_1280,-0.08645165,1
sonicdrivein_1921,-0.00046385496,1
sonicdrivein_414,-6.5093594,0
sonicdrivein_1081,-8.686333,0
sonicdrivein_1272,-1.9099731,0
sonicdrivein_645,-6.198142,0
sonicdrivein_1029,-8.468001,0
sonicdrivein_1594,-9.8491125,0
sonicdrivein_2115,-8.711779,0
sonicdrivein_1615,-8.917247,0
sonicdrivein_964,-0.0016995523,1
sonicdrivein_2125,-8.730987,0
sonicdrivein_905,-8.396247,0
sonicdrivein_404,-8.976856,0
sonicdrivein_413,-0.2760604,1
sonicdrivein_634,-9.655883,0
sonicdrivein_945,-7.368881,0
sonicdrivein_548,-7.9841394,0
sonicdrivein_1018,-9.27103,0
sonicdrivein_89,-8.556009,0
sonicdrivein_973,-8.981646,0
sonicdrivein_1457,-8.1087475,0
sonicdrivein_1028,-0.00040487197,1
sonicdrivein_41,-6.788066,0
sonicdrivein_2052,-4.8855157,0
sonicdrivein_567,-8.575485,0
sonicdrivein_1017,-0.0016154109,1
sonicdrivein_529,-0.002025816,1
sonicdrivein_1268,-0.32190743,1
sonicdrivein_2024,-8.7583475,0
sonicdrivein_742,-8.832725,0
sonicdrivein_1346,-0.00039498156,1
sonicdrivein_135,-8.610822,0
sonicdrivein_375,-0.8699126,0
sonicdrivein_601,-9.109158,0
sonicdrivein_798,-8.144451,0
sonicdrivein_1316,-9.165761,0
sonicdrivein_594,-8.272445,0
sonicdrivein_1909,-6.9209266,0
