id,proba,label
mcdonalds_switzerland_828,-7.7961154,0
mcdonalds_switzerland_1883,-0.0021673779,1
mcdonalds_switzerland_73,-8.866692,0
mcdonalds_switzerland_735,-8.402841,0
mcdonalds_switzerland_1656,-8.595194,0
mcdonalds_switzerland_27,-3.792559,0
mcdonalds_switzerland_6,-8.752291,0
mcdonalds_switzerland_60,-9.287679,0
mcdonalds_switzerland_165,-8.953809,0
mcdonalds_switzerland_201,-8.596226,0
mcdonalds_switzerland_712,-8.110737,0
mcdonalds_switzerland_81,-7.6300535,0
mcdonalds_switzerland_683,-0.010238979,1
mcdonalds_switzerland_293,-0.005211222,1
mcdonalds_switzerland_586,-0.0042960024,1
mcdonalds_switzerland_730,-3.911246,0
mcdonalds_switzerland_691,-9.080937,0
mcdonalds_switzerland_330,-8.089265,0
mcdonalds_switzerland_596,-6.6685896,0
mcdonalds_switzerland_2031,-0.15517181,1
mcdonalds_switzerland_1197,-8.055919,0
mcdonalds_switzerland_2026,-0.00030095817,1
mcdonalds_switzerland_713,-9.635129,0
mcdonalds_switzerland_716,-8.3533,0
mcdonalds_switzerland_7,-9.380976,0
mcdonalds_switzerland_2035,-2.7382388,0
mcdonalds_switzerland_122,-9.189576,0
mcdonalds_switzerland_222,-8.62666,0
mcdonalds_switzerland_1215,-6.843054,0
mcdonalds_switzerland_768,-9.048757,0
mcdonalds_switzerland_682,-7.9552565,0
mcdonalds_switzerland_1934,-6.8306894,0
mcdonalds_switzerland_411,-8.897868,0
mcdonalds_switzerland_230,-0.13866387,1
mcdonalds_switzerland_902,-8.335755,0
mcdonalds_switzerland_769,-7.776211,0
mcdonalds_switzerland_59,-9.341224,0
mcdonalds_switzerland_153,-4.51793e-05,1
mcdonalds_switzerland_180,-9.450951,0
mcdonalds_switzerland_676,-9.265901,0
mcdonalds_switzerland_1886,-8.845565,0
mcdonalds_switzerland_1132,-0.0016274315,1
mcdonalds_switzerland_859,-8.867613,0
mcdonalds_switzerland_1842,-3.63312,0
mcdonalds_switzerland_1203,-0.0013629443,1
mcdonalds_switzerland_714,-9.4025135,0
mcdonalds_switzerland_360,-8.226816,0
mcdonalds_switzerland_654,-0.37321612,1
mcdonalds_switzerland_662,-0.09040051,1
mcdonalds_switzerland_1,-0.00019071667,1
mcdonalds_switzerland_273,-0.00072715065,1
mcdonalds_switzerland_721,-9.07215,0
mcdonalds_switzerland_699,-8.636313,0
mcdonalds_switzerland_118,-8.1019335,0
mcdonalds_switzerland_2039,-0.0020891048,1
mcdonalds_switzerland_205,-0.0002624644,1
mcdonalds_switzerland_181,-8.96282,0
mcdonalds_switzerland_481,-0.044617616,1
mcdonalds_switzerland_864,-0.00023481472,1
mcdonalds_switzerland_227,-2.8997712,0
mcdonalds_switzerland_457,-0.008558618,1
mcdonalds_switzerland_129,-0.010361568,1
mcdonalds_switzerland_172,-8.88268,0
mcdonalds_switzerland_480,-7.933275,0
mcdonalds_switzerland_681,-9.28157,0
mcdonalds_switzerland_1962,-9.872166,0
mcdonalds_switzerland_2032,-9.20893,0
mcdonalds_switzerland_236,-7.726985,0
mcdonalds_switzerland_868,-7.508182,0
mcdonalds_switzerland_169,-8.898957,0
mcdonalds_switzerland_672,-9.515349,0
mcdonalds_switzerland_13,-2.6976173,0
mcdonalds_switzerland_628,-8.393931,0
mcdonalds_switzerland_22,-5.972207e-05,1
mcdonalds_switzerland_835,-9.746181,0
mcdonalds_switzerland_80,-8.553574,0
mcdonalds_switzerland_31,-8.74615,0
mcdonalds_switzerland_220,-8.823171,0
mcdonalds_switzerland_234,-7.6833334,0
mcdonalds_switzerland_677,-8.974055,0
mcdonalds_switzerland_242,-7.500028,0
mcdonalds_switzerland_2025,-8.359898,0
mcdonalds_switzerland_377,-8.215281,0
mcdonalds_switzerland_448,-1.6439911,0
mcdonalds_switzerland_19,-0.000107521,1
mcdonalds_switzerland_1871,-8.045246,0
mcdonalds_switzerland_746,-0.00046647634,1
mcdonalds_switzerland_271,-8.21915,0
mcdonalds_switzerland_364,-6.5314417,0
mcdonalds_switzerland_904,-7.085517,0
mcdonalds_switzerland_50,-9.771196,0
mcdonalds_switzerland_637,-6.52812,0
mcdonalds_switzerland_2020,-9.901867,0
mcdonalds_switzerland_168,-3.0233092,0
mcdonalds_switzerland_528,-1.3743622,0
mcdonalds_switzerland_54,-9.186959,0
mcdonalds_switzerland_793,-0.0004918558,1
mcdonalds_switzerland_1138,-7.4978576,0
mcdonalds_switzerland_1904,-8.81592,0
mcdonalds_switzerland_256,-0.10796139,1
mcdonalds_switzerland_203,-8.308468,0
mcdonalds_switzerland_2014,-8.706413,0
mcdonalds_switzerland_732,-0.0005928904,1
mcdonalds_switzerland_251,-7.5659795,0
mcdonalds_switzerland_693,-8.620954,0
mcdonalds_switzerland_748,-7.4571586,0
mcdonalds_switzerland_1948,-7.4939094,0
mcdonalds_switzerland_1591,-2.688322,0
mcdonalds_switzerland_285,-0.33940548,1
mcdonalds_switzerland_625,-8.393359,0
mcdonalds_switzerland_1209,-0.00027259448,1
mcdonalds_switzerland_794,-0.00011681828,1
mcdonalds_switzerland_45,-8.628846,0
mcdonalds_switzerland_1219,-0.00022659119,1
mcdonalds_switzerland_645,-8.965862,0
mcdonalds_switzerland_237,-8.401322,0
mcdonalds_switzerland_1168,-7.46937,0
mcdonalds_switzerland_2016,-8.253743,0
mcdonalds_switzerland_668,-8.529904,0
mcdonalds_switzerland_617,-8.493324,0
mcdonalds_switzerland_248,-9.656863,0
mcdonalds_switzerland_632,-6.2334394,0
mcdonalds_switzerland_262,-9.014629,0
mcdonalds_switzerland_447,-0.0032482976,1
mcdonalds_switzerland_774,-6.5898967,0
mcdonalds_switzerland_1985,-8.481056,0
mcdonalds_switzerland_332,-9.090332,0
mcdonalds_switzerland_1056,-7.779236,0
mcdonalds_switzerland_90,-0.003332896,1
mcdonalds_switzerland_2001,-8.84973,0
mcdonalds_switzerland_52,-9.38312,0
mcdonalds_switzerland_673,-3.9230351,0
mcdonalds_switzerland_265,-0.00036054308,1
mcdonalds_switzerland_117,-3.0636318e-05,1
mcdonalds_switzerland_419,-7.15319,0
mcdonalds_switzerland_232,-3.9446187,0
mcdonalds_switzerland_623,-2.800243,0
mcdonalds_switzerland_1037,-0.00084042986,1
mcdonalds_switzerland_725,-8.9045374e-05,1
mcdonalds_switzerland_655,-0.00032205164,1
mcdonalds_switzerland_1882,-9.597991,0
mcdonalds_switzerland_706,-4.58973,0
mcdonalds_switzerland_178,-8.83831,0
mcdonalds_switzerland_737,-7.972751,0
mcdonalds_switzerland_173,-0.00042512917,1
mcdonalds_switzerland_858,-7.7795525,0
mcdonalds_switzerland_715,-5.6358743,0
mcdonalds_switzerland_16,-7.541917,0
mcdonalds_switzerland_163,-0.016807962,1
mcdonalds_switzerland_2006,-5.298503,0
mcdonalds_switzerland_1612,-8.507683,0
mcdonalds_switzerland_395,-9.267154,0
mcdonalds_switzerland_696,-0.00067950046,1
mcdonalds_switzerland_69,-8.322581,0
mcdonalds_switzerland_1196,-8.800829,0
