id,proba,label
sonicdrivein_486,-8.304978,0
sonicdrivein_655,-9.019591,0
sonicdrivein_69,-8.577327,0
sonicdrivein_1996,-0.034874663,1
sonicdrivein_789,-9.198755,0
sonicdrivein_780,-9.666299,0
sonicdrivein_791,-8.315164,0
sonicdrivein_414,-0.23024452,1
sonicdrivein_952,-8.706504,0
sonicdrivein_594,-8.230878,0
sonicdrivein_135,-9.047332,0
sonicdrivein_2095,-1.58166,0
sonicdrivein_1635,-8.657886,0
sonicdrivein_1755,-8.414339,0
sonicdrivein_1254,-8.948962,0
sonicdrivein_80,-7.2670274,0
sonicdrivein_1778,-2.9706223,0
sonicdrivein_196,-0.016895993,1
sonicdrivein_1765,-7.3191826e-05,1
sonicdrivein_614,-5.929781,0
sonicdrivein_339,-8.164479,0
sonicdrivein_1849,-8.461576,0
sonicdrivein_2078,-8.525303,0
sonicdrivein_470,-4.5294285,0
sonicdrivein_89,-8.779229,0
sonicdrivein_316,-0.0007497837,1
sonicdrivein_877,-0.04865614,1
sonicdrivein_1737,-8.752053,0
sonicdrivein_543,-9.297585,0
sonicdrivein_1197,-0.00044157292,1
sonicdrivein_926,-9.118633,0
sonicdrivein_311,-8.373032,0
sonicdrivein_1854,-9.00367,0
sonicdrivein_1102,-9.43827,0
sonicdrivein_2185,-8.064978,0
sonicdrivein_743,-0.0010956482,1
sonicdrivein_1729,-9.154698,0
sonicdrivein_1367,-8.996674,0
sonicdrivein_478,-7.4523034,0
sonicdrivein_2052,-6.2551646,0
sonicdrivein_491,-8.117351,0
sonicdrivein_204,-5.632382,0
sonicdrivein_1471,-8.633302,0
sonicdrivein_344,-9.225323,0
sonicdrivein_2189,-8.920786,0
sonicdrivein_532,-8.620482,0
sonicdrivein_1459,-8.508447,0
sonicdrivein_1566,-8.203372,0
sonicdrivein_1221,-0.0004407388,1
sonicdrivein_1623,-8.53565,0
sonicdrivein_1666,-2.2229033,0
sonicdrivein_1084,-8.336593,0
sonicdrivein_556,-9.124903,0
sonicdrivein_1138,-9.081843,0
sonicdrivein_2181,-0.00037353215,1
sonicdrivein_842,-1.5860541,0
