id,proba,label
sonicdrivein_1765,-7.927857,0
sonicdrivein_135,-8.806092,0
sonicdrivein_594,-8.537863,0
sonicdrivein_2052,-8.570426,0
sonicdrivein_1102,-9.142639,0
sonicdrivein_1367,-8.58085,0
sonicdrivein_743,-0.15923238,1
sonicdrivein_1854,-9.569689,0
sonicdrivein_478,-8.759744,0
sonicdrivein_486,-9.602764,0
sonicdrivein_655,-0.42612168,1
sonicdrivein_69,-9.198804,0
sonicdrivein_1221,-0.0004938813,1
sonicdrivein_311,-1.3308799,0
sonicdrivein_1666,-8.974353,0
sonicdrivein_1197,-4.892665,0
sonicdrivein_344,-9.019376,0
sonicdrivein_491,-8.229197,0
sonicdrivein_2181,-7.914024,0
sonicdrivein_2185,-8.192094,0
sonicdrivein_1729,-9.091974,0
sonicdrivein_2189,-8.601893,0
sonicdrivein_842,-6.1257806,0
sonicdrivein_204,-7.931145,0
sonicdrivein_316,-8.819474,0
sonicdrivein_1254,-9.337662,0
sonicdrivein_1737,-8.188218,0
sonicdrivein_791,-0.00075967057,1
sonicdrivein_614,-0.0004774384,1
sonicdrivein_1623,-7.1163893,0
sonicdrivein_556,-9.311774,0
sonicdrivein_2078,-8.746568,0
sonicdrivein_470,-8.267034,0
sonicdrivein_877,-0.00057764055,1
sonicdrivein_1755,-8.822055,0
sonicdrivein_1084,-8.771798,0
sonicdrivein_1635,-7.201288,0
sonicdrivein_543,-9.080594,0
sonicdrivein_196,-7.5046134,0
sonicdrivein_1996,-9.360472,0
sonicdrivein_789,-9.441293,0
sonicdrivein_926,-8.685985,0
sonicdrivein_89,-8.623595,0
sonicdrivein_532,-9.24518,0
sonicdrivein_414,-9.208335,0
sonicdrivein_1849,-9.283804,0
sonicdrivein_1459,-8.007546,0
sonicdrivein_339,-0.04825115,1
sonicdrivein_2095,-8.999997,0
sonicdrivein_1471,-4.83978e-05,1
sonicdrivein_780,-8.9755335,0
sonicdrivein_952,-9.366129,0
sonicdrivein_1138,-8.97066,0
sonicdrivein_1778,-8.821975,0
sonicdrivein_1566,-8.913805,0
sonicdrivein_80,-9.187235,0
