id,proba,label
sonicdrivein_204,-4.287227,0
sonicdrivein_89,-9.128944,0
sonicdrivein_344,-9.411119,0
sonicdrivein_1729,-8.57055,0
sonicdrivein_1566,-7.673834,0
sonicdrivein_2189,-9.133609,0
sonicdrivein_486,-9.594663,0
sonicdrivein_842,-7.305612,0
sonicdrivein_2052,-8.375288,0
sonicdrivein_1471,-0.00058252533,1
sonicdrivein_532,-9.445975,0
sonicdrivein_2095,-9.158698,0
sonicdrivein_1367,-0.018363114,1
sonicdrivein_1755,-8.944911,0
sonicdrivein_1221,-0.3150398,1
sonicdrivein_311,-8.464784,0
sonicdrivein_952,-7.3141885,0
sonicdrivein_877,-0.0011191064,1
sonicdrivein_655,-0.0036902204,1
sonicdrivein_1197,-8.148957,0
sonicdrivein_614,-9.108446,0
sonicdrivein_1666,-9.720212,0
sonicdrivein_1635,-9.253765,0
sonicdrivein_414,-9.667643,0
sonicdrivein_339,-0.025082821,1
sonicdrivein_80,-8.2250805,0
sonicdrivein_2185,-9.00595,0
sonicdrivein_135,-7.4050236,0
sonicdrivein_1849,-8.761718,0
sonicdrivein_2078,-3.6361852,0
sonicdrivein_780,-7.7782345,0
sonicdrivein_556,-8.467441,0
sonicdrivein_543,-7.367938,0
sonicdrivein_1765,-8.365248,0
sonicdrivein_1778,-6.612472,0
sonicdrivein_196,-0.0007468057,1
sonicdrivein_1084,-5.7448463,0
sonicdrivein_470,-9.650133,0
sonicdrivein_1854,-0.0045464244,1
sonicdrivein_491,-5.1682415,0
sonicdrivein_1102,-8.506773,0
sonicdrivein_743,-7.0315046,0
sonicdrivein_478,-0.054534122,1
sonicdrivein_789,-9.305413,0
sonicdrivein_926,-9.236742,0
sonicdrivein_1254,-8.942435,0
sonicdrivein_69,-0.0007051127,1
sonicdrivein_1996,-1.6120597,0
sonicdrivein_1138,-9.75078,0
sonicdrivein_316,-8.517633,0
sonicdrivein_1623,-8.729332,0
sonicdrivein_2181,-7.493706,0
sonicdrivein_1459,-9.386717,0
sonicdrivein_594,-9.039538,0
sonicdrivein_1737,-7.8844476,0
sonicdrivein_791,-9.643032,0
