id,proba,label
sonicdrivein_1854,-8.82548,0
sonicdrivein_1778,-8.359651,0
sonicdrivein_1221,-8.577999,0
sonicdrivein_2052,-4.528305,0
sonicdrivein_532,-9.300918,0
sonicdrivein_1367,-7.412818,0
sonicdrivein_655,-7.9129333,0
sonicdrivein_135,-8.899644,0
sonicdrivein_491,-8.385005,0
sonicdrivein_316,-8.905498,0
sonicdrivein_1254,-8.591075,0
sonicdrivein_1996,-9.028302,0
sonicdrivein_2078,-8.67376,0
sonicdrivein_1623,-9.311362,0
sonicdrivein_2185,-7.9464483,0
sonicdrivein_594,-8.289408,0
sonicdrivein_478,-0.0831043,1
sonicdrivein_2189,-8.778307,0
sonicdrivein_842,-8.487877,0
sonicdrivein_556,-7.9450336,0
sonicdrivein_1102,-9.699947,0
sonicdrivein_2095,-8.599313,0
sonicdrivein_791,-0.0020462782,1
sonicdrivein_339,-0.8731716,0
sonicdrivein_1566,-7.101295,0
sonicdrivein_2181,-4.6650624,0
sonicdrivein_1755,-9.659942,0
sonicdrivein_344,-8.790171,0
sonicdrivein_196,-9.647182,0
sonicdrivein_486,-9.318151,0
sonicdrivein_614,-8.301254,0
sonicdrivein_1729,-9.481253,0
sonicdrivein_1459,-9.636071,0
sonicdrivein_926,-9.201148,0
sonicdrivein_311,-9.127721,0
sonicdrivein_1197,-7.21533,0
sonicdrivein_1849,-8.853069,0
sonicdrivein_1138,-9.010401,0
sonicdrivein_543,-8.82449,0
sonicdrivein_470,-9.340902,0
sonicdrivein_204,-0.0019521719,1
sonicdrivein_1737,-8.8831835,0
sonicdrivein_89,-9.185499,0
sonicdrivein_1765,-8.533657,0
sonicdrivein_1471,-0.0004405005,1
sonicdrivein_1635,-7.6069655,0
sonicdrivein_877,-8.278295,0
sonicdrivein_743,-8.34384,0
sonicdrivein_414,-9.177179,0
sonicdrivein_80,-7.301337,0
sonicdrivein_780,-8.632902,0
sonicdrivein_1666,-8.637032,0
sonicdrivein_789,-9.2383585,0
sonicdrivein_1084,-6.372677,0
sonicdrivein_69,-8.104289,0
sonicdrivein_952,-0.0005154473,1
