id,proba,label
sonicdrivein_1854,-0.00080624496,1
sonicdrivein_877,-0.0007409688,1
sonicdrivein_339,-9.877781,0
sonicdrivein_594,-3.7479181,0
sonicdrivein_789,-9.502733,0
sonicdrivein_470,-9.321135,0
sonicdrivein_1778,-3.1368527,0
sonicdrivein_135,-8.502225,0
sonicdrivein_614,-8.960016,0
sonicdrivein_791,-8.725577,0
sonicdrivein_1666,-8.53401,0
sonicdrivein_486,-9.288923,0
sonicdrivein_89,-9.912651,0
sonicdrivein_2189,-8.604744,0
sonicdrivein_1996,-9.562449,0
sonicdrivein_1221,-0.00032693762,1
sonicdrivein_1849,-7.949165,0
sonicdrivein_1138,-8.935568,0
sonicdrivein_780,-8.58166,0
sonicdrivein_1459,-9.130822,0
sonicdrivein_1367,-9.139561,0
sonicdrivein_316,-9.786295,0
sonicdrivein_1623,-9.345615,0
sonicdrivein_204,-8.154387,0
sonicdrivein_1737,-8.643442,0
sonicdrivein_1471,-3.9438612,0
sonicdrivein_414,-9.757661,0
sonicdrivein_556,-9.359317,0
sonicdrivein_2052,-4.635787,0
sonicdrivein_1729,-9.2706995,0
sonicdrivein_69,-9.275227,0
sonicdrivein_1635,-7.6736236,0
sonicdrivein_926,-8.335787,0
sonicdrivein_1084,-8.86311,0
sonicdrivein_952,-8.52463,0
sonicdrivein_1765,-6.1277323,0
sonicdrivein_1197,-7.6374393,0
sonicdrivein_842,-7.4852114,0
sonicdrivein_743,-7.916346,0
sonicdrivein_491,-0.035631314,1
sonicdrivein_1566,-9.962466,0
sonicdrivein_311,-8.402612,0
sonicdrivein_196,-7.5586042,0
sonicdrivein_2095,-0.11666332,1
sonicdrivein_1254,-8.830955,0
sonicdrivein_543,-9.498347,0
sonicdrivein_1102,-7.154818,0
sonicdrivein_655,-8.906847,0
sonicdrivein_2185,-7.8670855,0
sonicdrivein_2078,-8.883632,0
sonicdrivein_532,-9.175462,0
sonicdrivein_2181,-8.303154,0
sonicdrivein_344,-9.344957,0
sonicdrivein_1755,-0.7968038,0
sonicdrivein_478,-6.923487,0
sonicdrivein_80,-6.6040874,0
