id,proba,label
mcdonalds_switzerland_409,-9.145065,0
mcdonalds_switzerland_1988,-8.763878,0
mcdonalds_switzerland_1985,-8.746596,0
mcdonalds_switzerland_242,-8.642442,0
mcdonalds_switzerland_248,-9.757965,0
mcdonalds_switzerland_725,-8.944741,0
mcdonalds_switzerland_358,-9.154463,0
mcdonalds_switzerland_16,-9.463534,0
mcdonalds_switzerland_402,-7.86428,0
mcdonalds_switzerland_13,-8.496984,0
mcdonalds_switzerland_1919,-8.913291,0
mcdonalds_switzerland_1904,-0.002306898,1
mcdonalds_switzerland_841,-6.224526,0
mcdonalds_switzerland_31,-9.296778,0
mcdonalds_switzerland_558,-0.00087354163,1
mcdonalds_switzerland_605,-0.31918728,1
mcdonalds_switzerland_568,-9.498775,0
mcdonalds_switzerland_360,-7.735518,0
mcdonalds_switzerland_1942,-0.37007442,1
mcdonalds_switzerland_629,-7.8771915,0
mcdonalds_switzerland_2065,-6.726966,0
mcdonalds_switzerland_1940,-1.0098176,0
mcdonalds_switzerland_693,-8.22278,0
mcdonalds_switzerland_2014,-4.1547675,0
mcdonalds_switzerland_608,-9.5464735,0
mcdonalds_switzerland_762,-8.646339,0
mcdonalds_switzerland_1912,-8.949413,0
mcdonalds_switzerland_1962,-8.626049,0
mcdonalds_switzerland_631,-0.026091883,1
mcdonalds_switzerland_1888,-8.336837,0
mcdonalds_switzerland_461,-9.543935,0
mcdonalds_switzerland_586,-9.445506,0
mcdonalds_switzerland_646,-0.0012244831,1
mcdonalds_switzerland_1612,-8.217844,0
mcdonalds_switzerland_481,-9.068538,0
mcdonalds_switzerland_367,-8.700703,0
mcdonalds_switzerland_769,-8.975025,0
mcdonalds_switzerland_453,-9.678675,0
mcdonalds_switzerland_598,-8.92583,0
mcdonalds_switzerland_616,-8.5711355,0
mcdonalds_switzerland_672,-0.00034838807,1
mcdonalds_switzerland_203,-9.506086,0
mcdonalds_switzerland_736,-2.832765,0
mcdonalds_switzerland_902,-6.802545,0
mcdonalds_switzerland_1899,-7.315905,0
mcdonalds_switzerland_716,-8.715672,0
mcdonalds_switzerland_2052,-8.640447,0
mcdonalds_switzerland_566,-9.147377,0
mcdonalds_switzerland_655,-7.566859,0
mcdonalds_switzerland_584,-8.289529,0
mcdonalds_switzerland_1895,-8.33607,0
mcdonalds_switzerland_700,-8.643199,0
mcdonalds_switzerland_478,-9.54485,0
mcdonalds_switzerland_429,-8.73152,0
mcdonalds_switzerland_1995,-8.05413,0
mcdonalds_switzerland_80,-8.302663,0
