id,proba,label
mcdonalds_switzerland_629,-0.0032496047,1
mcdonalds_switzerland_358,-8.028708,0
mcdonalds_switzerland_1895,-8.719042,0
mcdonalds_switzerland_558,-8.0310135,0
mcdonalds_switzerland_1940,-9.121394,0
mcdonalds_switzerland_478,-9.591656,0
mcdonalds_switzerland_1985,-8.383965,0
mcdonalds_switzerland_453,-9.22396,0
mcdonalds_switzerland_409,-7.666975,0
mcdonalds_switzerland_655,-9.103866,0
mcdonalds_switzerland_902,-7.058004,0
mcdonalds_switzerland_1942,-0.00443843,1
mcdonalds_switzerland_2052,-9.077648,0
mcdonalds_switzerland_1962,-9.082215,0
mcdonalds_switzerland_716,-2.1581,0
mcdonalds_switzerland_1919,-8.746272,0
mcdonalds_switzerland_1904,-8.177375,0
mcdonalds_switzerland_605,-4.8576064,0
mcdonalds_switzerland_80,-9.019427,0
mcdonalds_switzerland_2065,-7.162969,0
mcdonalds_switzerland_2014,-9.051671,0
mcdonalds_switzerland_1612,-8.650886,0
mcdonalds_switzerland_646,-3.6075842,0
mcdonalds_switzerland_481,-9.4873495,0
mcdonalds_switzerland_1888,-3.6364594,0
mcdonalds_switzerland_31,-7.964672,0
mcdonalds_switzerland_1995,-7.004718,0
mcdonalds_switzerland_1899,-7.9305077,0
mcdonalds_switzerland_631,-6.0579734,0
mcdonalds_switzerland_248,-9.536945,0
mcdonalds_switzerland_203,-9.246169,0
mcdonalds_switzerland_725,-7.289378,0
mcdonalds_switzerland_367,-8.337312,0
mcdonalds_switzerland_1988,-0.02161225,1
mcdonalds_switzerland_616,-8.499619,0
mcdonalds_switzerland_608,-8.888077,0
mcdonalds_switzerland_584,-8.987525,0
mcdonalds_switzerland_841,-8.84436,0
mcdonalds_switzerland_461,-9.003686,0
mcdonalds_switzerland_16,-9.348659,0
mcdonalds_switzerland_568,-8.099475,0
mcdonalds_switzerland_769,-9.337314,0
mcdonalds_switzerland_429,-9.166454,0
mcdonalds_switzerland_242,-8.697449,0
mcdonalds_switzerland_1912,-4.3510445e-05,1
mcdonalds_switzerland_402,-0.0059914747,1
mcdonalds_switzerland_672,-9.578532,0
mcdonalds_switzerland_586,-8.080818,0
mcdonalds_switzerland_693,-8.87834,0
mcdonalds_switzerland_736,-8.259036,0
mcdonalds_switzerland_762,-6.0224223,0
mcdonalds_switzerland_13,-8.692848,0
mcdonalds_switzerland_566,-8.883834,0
mcdonalds_switzerland_598,-8.75785,0
mcdonalds_switzerland_360,-9.556583,0
mcdonalds_switzerland_700,-9.179817,0
