id,proba,label
mcdonalds_switzerland_672,-8.578708,0
mcdonalds_switzerland_1985,-8.08616,0
mcdonalds_switzerland_1612,-8.548878,0
mcdonalds_switzerland_2065,-7.863498,0
mcdonalds_switzerland_586,-7.8403144,0
mcdonalds_switzerland_1899,-9.791069,0
mcdonalds_switzerland_203,-9.46471,0
mcdonalds_switzerland_841,-7.2918754,0
mcdonalds_switzerland_80,-5.867459,0
mcdonalds_switzerland_461,-8.335346,0
mcdonalds_switzerland_616,-0.06668684,1
mcdonalds_switzerland_646,-8.449327,0
mcdonalds_switzerland_2052,-9.262431,0
mcdonalds_switzerland_1919,-9.217629,0
mcdonalds_switzerland_1988,-7.6315236,0
mcdonalds_switzerland_242,-5.4227595,0
mcdonalds_switzerland_248,-9.528862,0
mcdonalds_switzerland_481,-9.272271,0
mcdonalds_switzerland_1962,-8.112794,0
mcdonalds_switzerland_598,-9.160493,0
mcdonalds_switzerland_2014,-8.542013,0
mcdonalds_switzerland_655,-8.326563,0
mcdonalds_switzerland_558,-6.843,0
mcdonalds_switzerland_409,-8.618613,0
mcdonalds_switzerland_453,-9.179947,0
mcdonalds_switzerland_700,-0.0017185932,1
mcdonalds_switzerland_769,-8.944985,0
mcdonalds_switzerland_605,-5.771215,0
mcdonalds_switzerland_725,-9.090673,0
mcdonalds_switzerland_478,-8.895832,0
mcdonalds_switzerland_902,-7.311336,0
mcdonalds_switzerland_360,-8.323311,0
mcdonalds_switzerland_631,-8.780641,0
mcdonalds_switzerland_1912,-0.00044991384,1
mcdonalds_switzerland_716,-7.756861,0
mcdonalds_switzerland_693,-9.597615,0
mcdonalds_switzerland_402,-0.0029357453,1
mcdonalds_switzerland_1995,-7.6852922,0
mcdonalds_switzerland_1904,-8.823666,0
mcdonalds_switzerland_568,-0.0004292997,1
mcdonalds_switzerland_16,-8.670718,0
mcdonalds_switzerland_1942,-1.6288271,0
mcdonalds_switzerland_629,-8.492236,0
mcdonalds_switzerland_358,-0.056272693,1
mcdonalds_switzerland_13,-8.244592,0
mcdonalds_switzerland_429,-9.1554985,0
mcdonalds_switzerland_584,-0.93179786,0
mcdonalds_switzerland_762,-9.198854,0
mcdonalds_switzerland_1895,-7.8954062,0
mcdonalds_switzerland_31,-8.963189,0
mcdonalds_switzerland_736,-7.7209034,0
mcdonalds_switzerland_1888,-9.598465,0
mcdonalds_switzerland_566,-9.404363,0
mcdonalds_switzerland_1940,-6.414134,0
mcdonalds_switzerland_608,-9.234953,0
mcdonalds_switzerland_367,-9.147651,0
