caption,image_id,funny_score,caption_id
#Ad Saucy Nuggs so good you’ll want them all for yourself! 🔥🔥🔥🤣🏈 @wendys 7 New Flavors that you don’t want to miss!! Which one’s your favorite?,wendys_0,0.0,caption1
Can’t believe this is real (still) life. The Saucy Nugg legacy is forever cemented in oil on canvas (2024). Thank you,wendys_1,1.0,caption2
I love the arts @noahverrier,wendys_2,0.0,caption3
It always works!,wendys_3,1.0,caption4
Alpha moves only,wendys_4,1.0,caption5
can feel my heart rate decreasing,wendys_5,1.0,caption6
I’m just a girl,wendys_6,1.0,caption7
friends send friends frosty stickers on WhatsApp. we don’t make the rules.,wendys_7,1.0,caption8
Whats yours,wendys_8,0.0,caption9
Text me when you wanna get @wendys ,wendys_9,0.0,caption10
"The Lonely Ghost Way

Lonely Ghost x @wendys drops 07.31.24, 9AM MST

Limited time only at participating U.S. Wendy’s® from 07.31.24-08.07.24.  Includes 10 PC Spicy Ghost Pepper Nuggs with Ghost Pepper Ranch Dipping Sauce, Medium Fry and Medium Soft Drink.  The Wendy’s name, design and logo are registered trademarks of Quality Is Our Recipe, LLC.",wendys_10,0.0,caption11
👻🔥🫢,wendys_11,1.0,caption12
that’s where the protein is,wendys_12,1.0,caption13
literally never washing this again,wendys_13,1.0,caption14
whatchall want?,wendys_14,1.0,caption15
"when u wanna win, u go messy 😤",wendys_15,0.5,caption16
@svg97 you asked for some sauce for your race in Chicago. This work?,wendys_16,1.0,caption17
kinda wanna see it chill on a bench.,wendys_17,1.0,caption18
literal chills,wendys_18,1.0,caption19
Beef is out now!!,wendys_19,1.0,caption20
The more you know.,wendys_20,1.0,caption21
time for a short 48 hour nap,wendys_21,1.0,caption22
did someone say SAUCY Nuggs in the app?!,wendys_22,1.0,caption23
something saucy is coming,wendys_23,1.0,caption24
Meeting with our fashion designer as we speak,wendys_24,1.0,caption25
Please sign the petition to make “in glish moo fern” official,wendys_25,1.0,caption26
being out of breath is a good thing right?,wendys_26,1.0,caption27
seriously how did people live back then?,wendys_27,1.0,caption28
2. Try cognitive therapy,wendys_28,1.0,caption29
Chili and the Cinnabon Pull-Apart get a certified “Ben said it smacked” status.,wendys_29,1.0,caption30
@jason.kelce,wendys_30,1.0,caption31
am I going to jail?,wendys_31,1.0,caption32
ru from the midwest or ru clueless ?,wendys_32,0.0,caption33
it’s the vegas thing but better,wendys_33,0.0,caption34
No human person could ever come up with this except maybe one really talented person @nbapaints,wendys_34,1.0,caption35
chivalry is dead,wendys_35,1.0,caption36
had it made from the start,wendys_36,1.0,caption37
Tag this person,wendys_37,1.0,caption38
try it 😉,wendys_38,0.0,caption39
