image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor,image_id,caption,humor_score,humor
sonicdrivein_290,when you post a new tweet and it's the first thing that pops into your head.,0.9999998807907104,1,sonicdrivein_65,`` i'm going to get a dog.,1.0,1,sonicdrivein_742,"you know, i'm not going to eat this.",1.0,1,sonicdrivein_91,"a new study shows that the most popular emoji on instagram is a, and it’ s not just for cats.",1.0,1,sonicdrivein_283,"the new menu is here! </s> the only thing i can say about it, this will be a huge hit.",1.0306486046829377e-06,0,sonicdrivein_376,"you know when you’ re in the mood for something sweet, this is your go-to recipe!.",1.0,1
sonicdrivein_522,"when you’re about to buy a new car, i will show it in your hand.",0.9999864101409912,1,sonicdrivein_373,"when i was talking to my mom about the new grocery store and she said, `` oh no we don’ t have any milk! lol.",1.0,1,sonicdrivein_446,the best way to celebrate the # nationalholiday is by eating a hot dog.,2.647246037668083e-05,0,sonicdrivein_457,i love you so much! i'm not going to be here for a long time.,1.0,1,sonicdrivein_670,the only thing i want to eat is a # baconburger.,1.0,1,sonicdrivein_571,and i’ m gonna say this: '' we know what you mean.,1.0,1
sonicdrivein_344,"i'm not a fan, but i love you! and the only way to get me like is by buying this post.",0.9999960660934448,1,sonicdrivein_495,the # one of the most popular posts on this site! it’ s a new post for you.,0.9954987168312073,1,sonicdrivein_496,the 10 best new iphone ads of all time.,0.9999644756317139,1,sonicdrivein_1199,the # dayofmylife is coming up on march 15th.,1.0,1,sonicdrivein_1384,"a, who is just as good at making you feel better.",1.0,1,sonicdrivein_670,the only thing i want to do is eat this.,1.0,1
sonicdrivein_69,#1.,1.0,1,sonicdrivein_497,@ #foodporn: i love this burger.,0.9999995231628418,1,sonicdrivein_1594,it’ s not the best way to get a good night sleep.,1.0,1,sonicdrivein_497,the only thing i can think of is to get a burger and fries.,1.0,1,sonicdrivein_344,"i love you, i like to be the one who is always there for u.",0.9999995231628418,1,sonicdrivein_798,the first thing you think when your kids are in bed is : i love my dog!# dogsarebetterthancats.,0.9999815225601196,1
sonicdrivein_414,"i'm not gonna lie, but i think this is the best way to keep your kids entertained for a week.",1.0,1,sonicdrivein_786,"a, a day in the life of an intern at disneyland.",1.0,1,sonicdrivein_80,i’m not a fan of this movie.,1.0,1,sonicdrivein_89,the best way to celebrate the summer months is by eating ice cream.,0.9999995231628418,1,sonicdrivein_491,the's a new puppy! it has the most perfect smell.,0.8437281847000122,1,sonicdrivein_522,"when you’ re about to buy a new dog food, check out this video! </s> ➡️# sonicdogfoodhttps://t.",0.0004563835682347417,0
sonicdrivein_163,`` i'm not going to be a restaurant.,1.0,1,sonicdrivein_505,1.,1.0,1,sonicdrivein_143,the # foodpanda is the only place where you can get your favorite foods delivered in a day! we’ ll deliver them to your door.,0.2133108675479889,0,sonicdrivein_234,the only thing that will make you feel like a dog is this.,1.0,1,sonicdrivein_408,we all know what it feels like to be hungry.,0.835385262966156,1,sonicdrivein_645,"a, a and b are the best! we’ re just not sure what they want to do with them.",0.9999971389770508,1
sonicdrivein_571,"and i'm gonna have a little bit of ice cream, and we’re going to get it! ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪",1.0,1,sonicdrivein_78,1.,1.0,1,sonicdrivein_596,we have a new flavor of the day.,0.9811092615127563,1,sonicdrivein_408,the first day of school is here! we have a lot to look forward... the best days are coming up for you and your friends.,4.469786509913838e-16,0,sonicdrivein_572,i’ m going to be a jack in the box.,8.372331272710198e-09,0,sonicdrivein_457,"we’ re not going to be here for a while, so i ‘m just gonna keep you coming up with your own ideas.",0.6607406735420227,1
sonicdrivein_1384,"i'm not a mom, but i’ve been trying to find out what my son likes and when he does n’t like it.",1.0,1,sonicdrivein_290,when you’ re like to say “ i love your ice cream” and they get a little bit more serious about it.,1.0,1,sonicdrivein_505,1.,1.0,1,sonicdrivein_491,the # emoji is the future! it’ s not just for kids anymore.,3.622657063218071e-09,0,sonicdrivein_780,a's a burger that is so good you can’ t help but to eat it.,1.0,1,sonicdrivein_65,this is my new favorite dog biscuit! '' i’m so happy to have you as a pet.,1.0,1
sonicdrivein_497,"today i saw a 30-year old man in the store, and he was looking at me.",1.0,1,sonicdrivein_376,"you know, i'm not a fan of this.",0.9999998807907104,1,sonicdrivein_65,this is the most delicious cheesecake i’ve ever made.,1.0,1,sonicdrivein_534,"a, a and an.",0.011065786704421043,0,sonicdrivein_80,i’m not a fan of this movie.,1.0,1,sonicdrivein_786,a's a day of the week for all those who are just as good at getting to know you.,0.9998458623886108,1
sonicdrivein_780,a's a guy who just did n’t post his blog for like two hours and then he was on the road to get it off.,0.9999996423721313,1,sonicdrivein_1199,the # of the day is june! we are going to make a ton more money on our first ever sale.,0.9992859959602356,1,sonicdrivein_645,"a, a and b are the best! we’ re not going to be able to get them out of your way.",1.19997112051351e-05,0,sonicdrivein_69,the first thing i think when you walk into a restaurant and see this menu is's not spicy.,1.0,1,sonicdrivein_1594,it’ s not the best time of year for a lot o ‘s.,1.0,1,sonicdrivein_690,"a, a and an.",1.0,1
