image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_78,"a only of the, a..� ♕  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",44,1,0.71522087,0.36843133,0.02,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.75,5.84375,0.69140625
sonicdrivein_1794,"the is what i do  '' anny_ #   + '' 0!!
 

.
. sonicboom#beat  #deseburger #fooddaco #dt #teambox ",4,1,0.5118291,0.36843133,0.17794164509262397,0.04710220017157693,1.7816998627591863e-308,1.7816998627591863e-308,10.875,4.03125,0.6875
sonicdrivein_1979,"i’ s not just the ice, it’s about the journey.  you journey is the up, @’ilesie,,  home the the the the the the the the the the the the the the the the the the the the the the the the the the",34,1,0.3309553,0.36843133,0.186046511627907,0.07142857142857141,0.048780487804878044,0.025,10.5625,3.546875,0.69921875
sonicdrivein_1167,the’ s get a on!  your20 a row and you yourself friends to a free dinner. �  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,7,1,0.3125147,0.36843133,0.12244897959183675,0.0625,0.021276595744680854,2.2250738585072626e-308,10.25,3.328125,0.69140625
sonicdrivein_1291,when you friends is up a grill bank and you  s time to get a out the store-in.  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,42,1,0.25296283,0.36843133,0.1132075471698113,0.019230769230769235,2.2250738585072626e-308,2.2250738585072626e-308,10.5625,3.359375,0.71875
sonicdrivein_943,when know’ a your you s favorite and but just make them notes on to and it totoas- easy�# the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,35,1,0.25557113,0.36843133,0.0576923076923077,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.5,4.46875,0.69921875
sonicdrivein_1197,"it’ a yade for the!  ’ bitty about made to hear it"" thepberry "" �� the the the the the the the the the the the the the the the the the the the the the the the the the the the the",3,1,0.4155703,0.36843133,0.06976744186046512,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.125,4.09375,0.70703125
sonicdrivein_1345,you’ to go the beach-in this work end2 2al?   friends# sof  pic  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,33,1,0.59083563,0.36843133,0.06976744186046512,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.75,4.6875,0.70703125
sonicdrivein_1443,this mom  over good? �️� in a!-flavored ice! ’t forget them! your flavor!’ came in the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,31,1,0.35017413,0.36843133,0.04444444444444445,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.5,4.625,0.6875
sonicdrivein_1103,the’ it  to the new. and and.  recipe fries. and we wes gotta. it�# we have a little? it recipe? �  the the the the the the the the the the the the the the the the the the the the,25,1,0.26388785,0.36843133,0.12195121951219512,0.025,2.2250738585072626e-308,2.2250738585072626e-308,11.625,4.75,0.6875
sonicdrivein_1776,"iused: i  all  we we. and ice food cream. we we importantly all, we ❤ the� of..& big...  chef. and  @
 of100 & medium blasts blasts & master blasts..
 be it you.
 free included.",18,1,0.048354313,0.36843133,0.17828711230749542,0.06888365702789596,0.023678757103339235,8.429917349213326e-309,11.375,4.15625,0.71875
