image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1073,"a little bit of ice cream, a few sips on some water and i’ m sure we can talk about the summer months!@ ourfriends are here to share their favorite recipes for this season.",1,1,0.9671289,0.42555085,0.02941176470588235,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1075,and i'm not talking about the most epic burger you can get in san francisco.,1,1,0.95093,0.42555085,0.04776875403825262,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308
sonicdrivein_2092,"yeah, i was like oh my god.",0,1,0.858929,0.42555085,0.0,0.0,0.0,0.0
sonicdrivein_1098,i'm going to do this for you#️ i m gonna put a bunch of leaves in your hands and see if u can figure out how to use them.,3,1,0.94432956,0.42555085,0.10344827586206899,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1775,this is what you look like when u’re 10 years old and i was a baby.,1,1,0.9094722,0.42555085,0.007945983308252224,2.82886395829233e-309,2.82886395829233e-309,2.82886395829233e-309
sonicdrivein_549,"this is the new thing to do at a restaurant, with or without your lunch: use it!
''#8320; add some cream cheese and peanut butter on top of this delicious sandwich.",3,1,0.9376734,0.42555085,0.09677419354838708,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1906,i got a new tattoo on my left shoulder and it looks like i'm the reason why this song is so good.,0,1,0.9547651,0.42555085,0.0,0.0,0.0,0.0
sonicdrivein_2090,"i know this is a dumb question, but what are you going to do with your new phone?#travelgoals.",4,1,0.96370035,0.42555085,0.21021321531261453,2.1048296854718573e-308,2.1048296854718573e-308,2.1048296854718573e-308
sonicdrivein_1225,"i’m going to go out for a workout with you after work, and we can do it together! # goodforyou 💪💖👍
who are the best dancers in this world? why does your head hurt when i try salsa dancing?! join us on monday at 5pm EST from our new app.",7,1,0.9515893,0.42555085,0.14,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_389,what if you could get a hug from your favorite ice cream truck? '' so long it’s not going to be able t say anything.,3,1,0.59143597,0.42555085,0.016903010510525403,3.134203901420296e-309,3.134203901420296e-309,3.134203901420296e-309
sonicdrivein_445,this is a little's dog with the best doggy kiss of all time.,1,1,0.7477085,0.42555085,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1962,this year i’ ll be hosting a bunch of fun and informative posts about the best ways to plan your.,0,1,0.86449456,0.42555085,0.0,0.0,0.0,0.0
sonicdrivein_1772,this is the #1 on my top ten list of all time.,2,1,0.9626577,0.42555085,0.04775079947669835,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309
sonicdrivein_2031,freestyle jazz is the best thing in 20 years.,0,1,0.95891076,0.42555085,0.0,0.0,0.0,0.0
sonicdrivein_1044,i'm going to have a few more scoopings of this year.,1,1,0.93993694,0.42555085,0.040112106159998544,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309
sonicdrivein_2011,"if you're not already there, just go to the party and get your name on it! i know what that means.",1,1,0.9721348,0.42555085,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1309,"i got a great deal on this today, and i was so happy to see it.",1,1,0.9608529,0.42555085,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1877,when the dog is eating his dinner and he drops it on you.,3,1,0.8877061,0.42555085,0.21368332584053448,2.060331790082205e-308,2.060331790082205e-308,2.060331790082205e-308
sonicdrivein_1933,this was the first time i ever saw a dog eat their food in public.,1,1,0.9826962,0.42555085,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
