g_fc_loss,g_con_loss,g_unc_loss,d_con_r2f_loss,d_con_f2r_loss,d_con_f_loss,d_con_m_loss,d_unc_r_loss,d_unc_f_loss,d_unc_m_loss,,
0.1035156 ,0.7578125 ,0.7773438 ,0.7773438 ,0.7773438 ,1.0859375 ,0.7929688 ,0.7187500 ,0.8828125 ,0.7343750 ,,0.067430025
5.5000000 ,3.8750000 ,8.5000000 ,22.5000000 ,23.1250000 ,79.5000000 ,0.6679688 ,0.7304688 ,79.5000000 ,0.7265625 ,,0.444444444
49.5000000 ,7.9062500 ,17.2500000 ,162.0000000 ,9.6875000 ,56.5000000 ,0.6445313 ,0.7382813 ,156.0000000 ,0.7812500 ,,1.967701863
5.1875000 ,8.0625000 ,14.3750000 ,97.0000000 ,47.7500000 ,296.0000000 ,0.6445313 ,0.7773438 ,208.0000000 ,0.7656250 ,,0.231197772
6.2500000 ,12.0000000 ,23.7500000 ,74.0000000 ,346.0000000 ,168.0000000 ,0.6210938 ,0.7109375 ,68.0000000 ,0.7343750 ,,0.174825175
0.1416016 ,12.5625000 ,24.0000000 ,336.0000000 ,65.0000000 ,270.0000000 ,0.6406250 ,0.7890625 ,5.1875000 ,0.7265625 ,,0.003872863
1.5156250 ,4.3750000 ,28.2500000 ,156.0000000 ,115.0000000 ,592.0000000 ,0.5898438 ,0.6796875 ,1272.0000000 ,0.7187500 ,,0.046455939
0.9062500 ,10.8750000 ,17.5000000 ,211.0000000 ,74.5000000 ,624.0000000 ,0.5937500 ,0.7226563 ,89.0000000 ,0.7460938 ,,0.031938326
0.1552734 ,10.1250000 ,21.8750000 ,178.0000000 ,197.0000000 ,664.0000000 ,0.6093750 ,0.7421875 ,258.0000000 ,0.7421875 ,,0.004852295
0.0065308 ,13.3750000 ,22.7500000 ,251.0000000 ,15.1875000 ,452.0000000 ,0.5625000 ,0.7343750 ,254.0000000 ,0.7500000 ,,0.000180782
0.1396484 ,11.8750000 ,20.6250000 ,240.0000000 ,50.0000000 ,362.0000000 ,0.5156250 ,0.7890625 ,344.0000000 ,0.7265625 ,,0.004296875
0.2402344 ,10.1250000 ,13.6250000 ,211.0000000 ,85.0000000 ,278.0000000 ,0.5468750 ,0.7070313 ,336.0000000 ,0.7070313 ,,0.010115132
0.2304688 ,7.4375000 ,9.8750000 ,168.0000000 ,104.0000000 ,184.0000000 ,0.5468750 ,0.6835938 ,274.0000000 ,0.7343750 ,,0.013312274
0.1572266 ,4.4062500 ,1.9531250 ,109.0000000 ,118.5000000 ,105.5000000 ,0.4765625 ,0.6875000 ,225.0000000 ,0.7539063 ,,0.024723587
0.0893555 ,0.2285156 ,100.0000000 ,56.5000000 ,104.0000000 ,61.5000000 ,0.4023438 ,0.6914063 ,84.5000000 ,0.7421875 ,,0.000891517
0.0329590 ,0.2294922 ,2.9062500 ,820.0000000 ,97.5000000 ,64.0000000 ,0.3945313 ,0.6835938 ,112.0000000 ,0.7343750 ,,0.010510744
0.0042725 ,25.0000000 ,6.3750000 ,175.0000000 ,92.0000000 ,11.1250000 ,0.4140625 ,0.7187500 ,109.0000000 ,0.7539063 ,,0.000136174
0.0016022 ,2.5468750 ,7.7500000 ,52.7500000 ,96.0000000 ,624.0000000 ,0.3750000 ,0.6718750 ,124.0000000 ,0.7148438 ,,0.000155598
0.0159912 ,5.5625000 ,8.6250000 ,106.5000000 ,101.5000000 ,167.0000000 ,0.3339844 ,0.7656250 ,106.0000000 ,0.7539063 ,,0.001127134
0.0363770 ,8.3125000 ,9.2500000 ,152.0000000 ,109.5000000 ,46.5000000 ,0.3496094 ,0.7148438 ,98.0000000 ,0.7343750 ,,0.002071286
0.1425781 ,10.0000000 ,8.8750000 ,191.0000000 ,117.5000000 ,92.5000000 ,0.3203125 ,0.7851563 ,107.0000000 ,0.7578125 ,,0.007553808
0.0561523 ,4.3750000 ,11.8750000 ,237.0000000 ,136.0000000 ,183.0000000 ,0.3417969 ,0.7304688 ,348.0000000 ,0.7304688 ,,0.003455529
0.0476074 ,3.1718750 ,11.1875000 ,245.0000000 ,129.0000000 ,205.0000000 ,0.3242188 ,0.7460938 ,354.0000000 ,0.7421875 ,,0.003315424
0.0417480 ,4.1250000 ,14.3750000 ,262.0000000 ,110.5000000 ,188.0000000 ,0.2675781 ,0.7187500 ,310.0000000 ,0.7460938 ,,0.002256651
0.0600586 ,2.7187500 ,8.0625000 ,284.0000000 ,127.0000000 ,250.0000000 ,0.2539063 ,0.7226563 ,300.0000000 ,0.7617188 ,,0.005570652
0.0693359 ,4.8125000 ,12.0000000 ,310.0000000 ,96.0000000 ,185.0000000 ,0.2949219 ,0.6484375 ,304.0000000 ,0.7148438 ,,0.004124071
0.0410156 ,2.0312500 ,11.1250000 ,316.0000000 ,91.0000000 ,292.0000000 ,0.2695313 ,0.7148438 ,216.0000000 ,0.7226563 ,,0.003117577
0.0017395 ,10.4375000 ,11.2500000 ,260.0000000 ,81.5000000 ,376.0000000 ,0.2519531 ,0.7304688 ,146.0000000 ,0.7421875 ,,8.02076E-05
0.0275879 ,3.0781250 ,7.7187500 ,246.0000000 ,81.5000000 ,342.0000000 ,0.2539063 ,0.6757813 ,107.0000000 ,0.7109375 ,,0.002555174
0.0336914 ,9.2500000 ,12.0000000 ,224.0000000 ,77.0000000 ,258.0000000 ,0.2402344 ,0.6250000 ,616.0000000 ,0.7031250 ,,0.001585478
0.0203857 ,9.5625000 ,6.5937500 ,216.0000000 ,70.5000000 ,253.0000000 ,0.2480469 ,0.6679688 ,202.0000000 ,0.7109375 ,,0.001261787
0.0028534 ,11.3125000 ,3.9218750 ,204.0000000 ,60.0000000 ,221.0000000 ,0.2578125 ,0.7109375 ,108.5000000 ,0.7187500 ,,0.0001873
0.0028839 ,12.3125000 ,4.5000000 ,187.0000000 ,51.2500000 ,179.0000000 ,0.2402344 ,0.7148438 ,27.1250000 ,0.6992188 ,,0.000171534
0.0163574 ,6.9375000 ,8.5000000 ,141.0000000 ,89.0000000 ,18.7500000 ,0.2539063 ,0.7382813 ,52.0000000 ,0.7226563 ,,0.00105959
0.0161133 ,6.5937500 ,6.3125000 ,123.0000000 ,77.0000000 ,142.0000000 ,0.2421875 ,0.6914063 ,328.0000000 ,0.6875000 ,,0.001248487
0.0133667 ,6.1250000 ,3.5468750 ,105.0000000 ,57.5000000 ,5.1875000 ,0.2246094 ,0.7148438 ,9.0000000 ,0.6914063 ,,0.001382017
0.0001202 ,12.2500000 ,39.5000000 ,98.0000000 ,151.0000000 ,69.0000000 ,0.2324219 ,0.6679688 ,104.5000000 ,0.7187500 ,,2.32199E-06
0.0016479 ,6.5000000 ,3.8437500 ,83.0000000 ,49.0000000 ,36.7500000 ,0.2382813 ,0.7851563 ,82.0000000 ,0.7265625 ,,0.000159318
0.0130005 ,11.3750000 ,2.3125000 ,61.5000000 ,51.5000000 ,54.7500000 ,0.2519531 ,0.7265625 ,125.5000000 ,0.6914063 ,,0.000949807
0.0074768 ,8.7500000 ,2.4687500 ,43.5000000 ,64.0000000 ,56.0000000 ,0.2304688 ,0.6445313 ,176.0000000 ,0.7109375 ,,0.000666456
0.0058899 ,4.5937500 ,2.4375000 ,34.7500000 ,69.0000000 ,40.5000000 ,0.2539063 ,0.7031250 ,160.0000000 ,0.6679688 ,,0.000837674
0.0012817 ,4.3437500 ,2.6406250 ,30.0000000 ,66.5000000 ,43.5000000 ,0.2314453 ,0.6992188 ,171.0000000 ,0.6640625 ,,0.000183515
0.0003090 ,2.3906250 ,2.1093750 ,30.6250000 ,53.5000000 ,48.7500000 ,0.2460938 ,0.6718750 ,148.0000000 ,0.6796875 ,,6.86646E-05
0.0041199 ,11.7500000 ,0.8398438 ,30.2500000 ,41.5000000 ,57.2500000 ,0.2617188 ,0.6835938 ,142.0000000 ,0.7148438 ,,0.000327238
