image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
sonicdrivein_743,ad a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's a 's,0,1,0.759905,0.5341376,0.0,0.0,0.0,0.0,-6.809084,0.8655091524124146,1
sonicdrivein_1793,sarah is a great drink but she’ s also a great cook.,2,1,0.8388165,0.5341376,0.0439328563526211,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309,-4.9170337,0.5686267614364624,0
sonicdrivein_1094,when you say you want to eat a good diet but you just can't get enough of them 😌 then you 're wrong.,4,1,0.95177585,0.5341376,0.0434782608695652,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-0.0023762344,0.200467437505722,0
sonicdrivein_655,they’ re the ones who tell you to get the limeade 🧀️‍♀️? 😏�️# limeaderemix '' 📷:@ ryan_sandy 📷:@ pederson99 '' vibes are coming to the drive-in this fall 🧀,1,1,0.92557496,0.5341376,0.0344827586206896,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-6.121105,0.3994958698749542,0
sonicdrivein_866,"it’ s a toss up, but what do u think? 🥤# susanthamurk# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ seansauce99 📷:@ se",0,1,0.698882,0.5341376,0.0,0.0,0.0,0.0,-0.0010562324,0.1436904817819595,0
sonicdrivein_786,got a new thing coming this summer so we’ ve got something new coming.,0,1,0.93126297,0.5341376,0.0,0.0,0.0,0.0,-9.274836,0.5089197754859924,0
sonicdrivein_1809,someone is going to eat this.,0,1,0.9719077,0.5341376,0.0,0.0,0.0,0.0,-9.37693,0.961477756500244,1
sonicdrivein_546,"the ring is upon us, bellhop is upon us.",3,1,0.92147046,0.5341376,0.0585771418034948,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309,-9.269214,0.5195024609565735,0
sonicdrivein_325,"when you want to celebrate your favorite sonic drink, you need to have a great party.",3,1,0.9773703,0.5341376,0.1654681692346116,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,-7.6007943,0.0998002365231514,0
sonicdrivein_594,not sure if it will stop us from getting more hits tho 😎 we need your help to keep it going.,1,1,0.8693103,0.5341376,0.0476190476190476,2.225073858507262e-308,2.225073858507262e-308,2.225073858507262e-308,-9.609896,0.045579470694065,0
