image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1943,she’ s the one who’ s afraid of the dark.,0,1,0.9771063,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_2192,"it’ s fall in love with sonic cheeseburgers , and we’ ve got somethin’ coming . 🍔# getawaywithit# somethingscookin# march5 📷:@ soniccheeseburger 📷:@ thewilliamsfamilton 📷",1,1,0.62888145,0.46322626,0.04000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1473,# summertime# summertime# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging# seasonschanging#,0,1,0.9420493,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_1570,it’ s a birthday present for me and my friends😅😂😂# annalee15 📷:@ annalee15 🍔:@ annalee15 🍔:@ annalee15 🍔:@ annalee15 🍔:@ annalee,0,1,0.7903547,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_999,the rules say you can only order one drink at a time 👌 stay tuned for our new 50 Shades of blue margarita grilled cheese grilled cheese burger topped with tots and salsa verde chips </s> </s> </t> </t> </t> </table> </div> </div> </div>,6,1,0.94416845,0.46322626,0.13636363636363635,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1770,we’ ve got somethin’ coming that we’ ve been waiting for.,0,1,0.97851497,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_1252,"not sure if it’ s possible for me to use it on my phone? 🤔# getawaywithit# somethingscookin# march5 📷:@ nswilliamsaballerina

@ jessica_saballerina on Twitter.",1,1,0.86414605,0.46322626,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2191,"who’ s going to tell? 🥤# getawaywithit# somethingscookin# march5 📷:@ seansauce .

# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal .

#",0,1,0.8031511,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_1816,you’ re the one who says you’ re the one who says you’ re the one who says you’ re the one who says you’ re the one who says you’ re the one who says you’ re the one who says you’ re the one who says you’,0,1,0.92306274,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_1109,"the smell of coke is a part of me😌😌# getawaywithit# somethingscookin# march5 📷:@ frankie__sillypi

# getawaywithit# somethingscookin# march5 📷:@ frankie__sillyp",2,1,0.89591473,0.46322626,0.0778800783071405,1.7328892633971685e-308,1.7328892633971685e-308,1.7328892633971685e-308
sonicdrivein_1745,pickle slinger with thy bacon slinger topped with tots and a scoop of tots.,1,1,0.46052495,0.46322626,0.043323618550902374,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308
sonicdrivein_782,"honestly, it’ s hard to believe this happened to us.",0,1,0.9783109,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_968,"we don’ t want you to mess it up, we’ re going to give you a free drink 🥤🍔# annalee15 📷:@ annalee15 📷:@ annalee15 🍔:@ annalee15 🍔:@ ann",1,1,0.8716433,0.46322626,0.03571428571428572,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1623,"a new breed of halloween, this halloween is for you.",0,1,0.7777803,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_1050,"all dressed up for the occasion, celebrating the 100th birthday of the earth-shattering oreo® chili cheese® ™℗℗℗℗℗℗℗℗℗℗℗℗℗�",2,1,0.9471489,0.46322626,0.04868330578557295,9.20753583918147e-309,9.20753583918147e-309,9.20753583918147e-309
sonicdrivein_1657,it’ s snowing and we’ ve got somethin’ coming for you🎃🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫🍫,0,1,0.80336195,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_743,one of the few people in the office that doesn’ t have to drive to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the drive-in to get to the,19,1,0.7991867,0.46322626,0.07843137254901959,0.02,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1864,who’ s going to pay for this? 🍪 we’ ve got a plan.,0,1,0.98367023,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_326,"honestly, we weren’ t ready to eat all of our ice cream at the same time 🚀# estdaylunch# march5 📷:@ tahrithebengalley ✨@ seansauce23 📷:@ seansauce23 📷:",1,1,0.8609966,0.46322626,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1146,it’ s a toss up when’ s the last one sold? 🤔# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ thewilliamsfamilton 📷:@ sonicwagalley,1,1,0.63230085,0.46322626,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1830,who’ s going to get the scoop on this one? 🥤# getawaywithit# somethingscookin# march5 📷:@ tahrithebengal.,2,1,0.7665088,0.46322626,0.05904581909262685,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308
sonicdrivein_1968,take a sip of your favorite beverage today at sonicdrivein 📷:@ annalee15 📷:@ sonicdrivein 📷:@ sonicdrivein 📷:@ sonicdrivein 📷:@ sonicdrivein 📷:@ sonicdrivein 📷:@ sonic,2,1,0.9210639,0.46322626,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_856,"we’ re launching a limited edition t-shirt with your purchase of all of our food and drink line-up starting today,💅🍑🍑# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley# march5 �",0,1,0.7005888,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_457,i’ ve got to admit it’ s a little shocking that i got my first taste of lima 👌# getawaywithit# somethingscookin# march5 📷:@ tahrithebengalley 📷:@ sonicswagalley 📷:,0,1,0.8478514,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_1806,pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: pov: p,0,1,0.86615866,0.46322626,0.0,0.0,0.0,0.0
sonicdrivein_370,it’ s hard to believe this is what they’ ve been up to since sunday 💅# getawaywithit# somethingscookin# march5 📷:@ missandeiya 💅# somethingscookin# march5 📷:@ thewilliamsf,0,1,0.80889916,0.46322626,0.0,0.0,0.0,0.0
