image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,benign,humor_score,humor
mcdonalds_switzerland_737,i just'm not a person who eats pizza every day.,0,1,0.96980506,0.50344545,0.0,0.0,0.0,0.0,-9.57655,0.8222490549087524,1
mcdonalds_switzerland_19,"the moment when you're eating your lunch, the next thing that comes to mind is.",1,1,0.96856266,0.50344545,0.0666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.517904,0.8660643100738525,1
mcdonalds_switzerland_904,you can have a good time this coming saturday.,1,1,0.9751585,0.50344545,0.111111111111111,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.605618,0.757928192615509,1
mcdonalds_switzerland_586,"my favorite app is a lot! i've been using it for almost two years now, and still love them.",1,1,0.93797785,0.50344545,0.0526315789473684,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-7.8403144,0.0388926938176155,0
mcdonalds_switzerland_118,"the feeling of being in a, moment when you know that your friend is coming over to meet the person who made it so delicious.",3,1,0.87160945,0.50344545,0.0799999999999999,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.780919,0.8072039484977722,1
mcdonalds_switzerland_234,"a lot of people are struggling to keep their jobs, and many companies do not know how they can improve.",2,1,0.97752804,0.50344545,0.1,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-8.962076,0.3315032720565796,0
mcdonalds_switzerland_410,10's a great name for your day! just to say hi in the morning is enough.,0,1,0.9066106,0.50344545,0.0,0.0,0.0,0.0,-9.561789,0.0277370922267436,0
mcdonalds_switzerland_864,"when you can’ t see your favorite people in the app, but they do have a cool and light to help with it.",0,1,0.7230777,0.50344545,0.0,0.0,0.0,0.0,-0.00049638347,0.7809978127479553,1
mcdonalds_switzerland_1899,"this is a quiz for those who love their food, and the winners will get free tickets to all of these markets! go ahead and start playing now.",3,1,0.97151554,0.50344545,0.1071428571428571,0.037037037037037,2.2250738585072617e-308,2.2250738585072617e-308,-9.791069,0.0021328958682715,0
mcdonalds_switzerland_682,"if you are looking for a delicious and easy meal, check out our recipe "" sushi roll with avocado on top of rice.",2,1,0.7660429,0.50344545,0.0869565217391304,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-0.036560953,0.116952084004879,0
mcdonalds_switzerland_432,and you 'll see that the holiday season is full of it.,3,1,0.9768093,0.50344545,0.1791328276434473,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308,-9.039213,0.6808525919914246,1
mcdonalds_switzerland_203,"for the first time in your life, you're going to hear it.",2,1,0.96255684,0.50344545,0.1666666666666666,2.2250738585072617e-308,2.2250738585072617e-308,2.2250738585072617e-308,-9.46471,0.6000075340270996,0
mcdonalds_switzerland_1890,you 'll love this! i think you have a lot of time for your friend.,2,1,0.9786981,0.50344545,0.0893760061380852,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308,-9.153666,0.7665273547172546,1
