image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss
mcdonalds_switzerland_367,so is coming you to in friends ice holiday at have holiday holiday. thecdonald s.!  you  them). � s the winter! yourty the the the the the the the the the the the the the the the the the the the the the the the the the the the,31,1,0.2169667,0.31365782,0.08163265306122448,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.75
mcdonalds_switzerland_2016,i for for for for we m mac burger loves</ goodgethom</good= and</ the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,40,1,0.66592467,0.31365782,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.34375
mcdonalds_switzerland_205,this the we is you? if into a? we  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.6345534,0.31365782,0.018181818181818177,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.59375
mcdonalds_switzerland_783,we great : theedish. you the of the holidays fet  that  menucd is is is a!  you with it special. the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,35,1,0.23953648,0.31365782,0.061224489795918366,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.65625
mcdonalds_switzerland_1966,"i many you have the thanksgiving and well as i do, : 9</ the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",2,1,0.5519319,0.31365782,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.03125
mcdonalds_switzerland_524,if�️ ond make the! this the to the mission!! 25:30 pm you to  a free.0000f! thecdonald s..�️  see</ the the the the the the the the the the the,3,1,0.08659867,0.31365782,0.06896551724137931,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.375
mcdonalds_switzerland_1842,"let today day so day! the, the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",1,1,0.6751226,0.31365782,0.017543859649122806,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.9375
mcdonalds_switzerland_1979,i deal:: you you can have this menu menu  deal and is come for in soon! # the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,2,1,0.28281927,0.31365782,0.019230769230769235,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.46875
mcdonalds_switzerland_419,"what fellow is the the theays and but dos your? but</ mm,mdaym the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",0,1,0.56273687,0.31365782,0.0,0.0,0.0,0.0,6.0625
mcdonalds_switzerland_1952,i official day! the of our friends' yourselfmav  i!veäinstc hasandyig has ❤️'sc hasberg can made available day the the the the the the the the the the the the the the the the the the the the the the the the the,2,1,0.12738544,0.31365782,0.047619047619047616,0.024390243902439022,2.2250738585072626e-308,2.2250738585072626e-308,8.75
mcdonalds_switzerland_1965,"
 you this  sandwich deal  you was s a a for   of friends! </ atcdonds ❤️#gooddonfe#goodlover!foodbuff##goodlover the the the the the the the the the the the the the the the the the the the the",2,1,0.29216027,0.31365782,0.057142857142857134,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.875
mcdonalds_switzerland_1992,"when next,0th of the is from a, nergyette2. thanksholiday. a thanksgiving food. and </fathungryoting! the the the the the the the the the the the the the the the the the the the the the the the the the the the the",2,1,0.27460217,0.31365782,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.9375
