image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_2013,i'm not a fan of the taco truck.,1,1,0.9762214,0.41609478,0.03581309960752377,6.374943338305425e-309,6.374943338305425e-309,6.374943338305425e-309
sonicdrivein_1531,"we have a ton of ice cream in the freezer, so we just wanna get you some! </s>
i'm not sure what this is for but it looks like an i-pad.",2,1,0.9401845,0.41609478,0.06451612903225806,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1486,"playing this song makes me feel so happy! # foodporn 📷
; i love it when people make fun of what they eat and how much effort goes into making them look delicious.",3,1,0.9623007,0.41609478,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_280,"if you’ re not a dog, then this is your chance to be one.",0,1,0.972563,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_1115,"from a to z, here are the 10 best things you can do with your belly fat: 🥳🥦🍲🧡🌱💃🏼‍♀️🤸🏻‍�? 👨👩 🤷🎉# happybirthday 🎊happybirthdays ✌️😀# birthday wishes 💛 🍰",0,1,0.8988512,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_604,the only way to get a taste of this is by drinking it with your mouth open.,2,1,0.9805244,0.41609478,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1962,it’ s the first time i have ever had a drink in my life.,0,1,0.9752083,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_764,it's a hot dog.,0,1,0.96516824,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_1187,"when you see the ad for `` dog in a hat, i just can’ t help but to say it.",2,1,0.955505,0.41609478,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1914,the only thing that makes me happy is when a dog runs into the door and hits something in his mouth.,3,1,0.9794074,0.41609478,0.08873502251649307,1.382093852548515e-308,1.382093852548515e-308,1.382093852548515e-308
sonicdrivein_1803,"i love you, i’ m going to get a dog.",1,1,0.9502716,0.41609478,0.0027323722447292575,6.07973005345788e-310,6.07973005345788e-310,6.07973005345788e-310
sonicdrivein_44,and i’ m not saying it but this is the best way to eat a burger and french fries at once# fooddelivery.,1,1,0.82635653,0.41609478,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1007,we have a new sonic profile for the 30 second video that we’ ll be using in our next campaign.,3,1,0.96242875,0.41609478,0.15,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1509,the # milkandmore is the best way to get your daily dose of dairy.,4,1,0.6156012,0.41609478,0.0909370383593464,0.032644065052073075,9.44260925176118e-309,9.44260925176118e-309
sonicdrivein_1137,"we’ re not just going to be a little bit more loud and we are coming out with this, but i promise you it will make your mouth water.",2,1,0.9546831,0.41609478,0.06896551724137931,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_930,"the first time i ate a burger, the second and third.",1,1,0.90942717,0.41609478,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2194,"a new version of the "" what do you want? is now available on apple and google play.",3,1,0.9010083,0.41609478,0.11942188509563156,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308
sonicdrivein_2187,"when you’ re done with your breakfast and it still looks like this: </s> 🥤🥣🍲🧦#breakfasttime
@kelly_davis 👌👍🎉 i love when people get mad at me for not being a mom 😂😂😭🤷‍♀️🙏🏻💪🏽❤️",3,1,0.96512336,0.41609478,0.09677419354838708,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1272,"dude, you’ re the one who's got this much of a nose.",2,1,0.9678985,0.41609478,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1096,`` you know what i’ m going to do? '' he said.,1,1,0.9029145,0.41609478,0.07667036788577694,2.0471667756573244e-308,2.0471667756573244e-308,2.0471667756573244e-308
sonicdrivein_1159,"the new, the first time ever for a full-size steam locomotive to be built in scotland.",1,1,0.6286842,0.41609478,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_65,"this is my new favorite! '' i have a chip on your shoulder, not yours.",0,1,0.9527886,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_1554,you're not the only one who needs to eat this.,1,1,0.9749101,0.41609478,0.03678794411714424,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309
sonicdrivein_1253,"i'm not going to be able to get a burger from the taco truck, so i’ m just gonna have my own little ice cream cone.",3,1,0.96974194,0.41609478,0.08815003098950082,1.699882856371642e-308,1.699882856371642e-308,1.699882856371642e-308
sonicdrivein_1157,the # 10th anniversary of the world's most popular meme.,0,1,0.843973,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_2108,"it's not just the burger, it is also a cheeseburger.",0,1,0.9293552,0.41609478,0.0,0.0,0.0,0.0
sonicdrivein_695,"you're the one who has a big, juicy steak in her mouth.",2,1,0.97759104,0.41609478,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1674,@ # i-lovemytaco's are the best! get your own today at our shop.,1,1,0.8474362,0.41609478,0.06595414762772626,1.9077870467055724e-308,1.9077870467055724e-308,1.9077870467055724e-308
sonicdrivein_1570,"i'm not a fan of the stick, but i am.",1,1,0.9748127,0.41609478,0.06703200460356394,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
