image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_566,"we're here to help you find what you're looking for, whether it's a restaurant, a product, a service, or a place to eat.",0,1,0.97943145,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_1594,♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻♻,0,1,0.86411864,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_89,"it's 11: 30, 11: 30, 11: 30, 11: 30, 11: 30, 11: 30, 11: 30, 11: 30",0,1,0.8928709,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_690,"what's the best way to impress your significant other on valentine's day 2019? </s> < /s>""
### Questions and Detailed Answers

#### Question 1:
**What is the context of the extract provided?**

**Answer 1:**
The extract appears to be part of",0,1,0.94542557,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_697,"i'm going to order one of these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",0,1,0.9556308,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_893,"it's not just about ice cream, it's not just about ice cream, it's not just about ice cream, it's not just about ice cream, it's not just about ice cream, it's not just about ice cream, it's not just about ice cream, it's",0,1,0.94936025,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_85,"you’ ll never know what’ s going on behind the scenes, but we’ ll make sure it’ s delicious! </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> ",0,1,0.9644518,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_832,it's time for the 2020-2021 season and we're here to help you out.,2,1,0.96418077,0.42353833,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_152,we're going to make a video for you guys! we're going to make a video for you guys! we're going to make a video for you guys! we're going to make a video for you guys! we're going to make a video for you guys! we're going to make a video,0,1,0.9638552,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_798,we’ ve got something for everyone.,0,1,0.95753974,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_486,"when you think you're the only person in the world who's going to do this, you're right.",3,1,0.9688167,0.42353833,0.17647058823529413,0.0625,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_742,there's no way we're going to let you eat this! '' '' i'm not kidding you! '' '' i'm not kidding you! '' i'm not kidding you! '' i'm not kidding you! '' i'm not kidding you! '' i,0,1,0.9298968,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_98,"we’ re going to try and keep this up for 30 minutes or so, so please don’t leave us hanging.",0,1,0.96503556,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_78,"if you're looking for something fun to do with your kids this summer, here's 10 things you've never thought of doing with your kids.",3,1,0.95888126,0.42353833,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_691,i've got 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 - 10 ,0,1,0.8178338,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_534,what do you call it when you can’t decide what ice cream flavor you want and end up eating it all by yourself? </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s>,0,1,0.97183853,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_1384,"it's not about what you eat, it's about who you eat it with! </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> </s> ",0,1,0.9623742,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_196,"it's 10:00 am and we're still here, and we're not ready for bed, so we're going to have to get up!!!!!!!!!!!!!!!!",0,1,0.94292724,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_572,today's # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,0,1,0.80085313,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_505,1 / 2 / 3 / 4 / 5 / 6 / 7 / 8 / 9 / 10 / 11 / 12 / 13 / 14 / 15 / 16 / 17 ,0,1,0.8690295,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_2031,what’ s your take on this? </s> </s> </s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></,0,1,0.9522252,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_51,"when i was 14, i used to say, ""i don't know what i'm going to eat for dinner but i don't know what i'm going to eat for dinner but i don't know what i'm going to eat for dinner but i don't know what i '",0,1,0.85778624,0.42353833,0.0,0.0,0.0,0.0
sonicdrivein_784,it's been 10 years since i've had my own happy hour.,0,1,0.976586,0.42353833,0.0,0.0,0.0,0.0
