image_id,caption,fluency,diversity,humor_score,humor
sonicdrivein_1209,best friends come in all sorts of pairs. 😊 which one are you? tag your friends to find out! #friendshipday,0.94402045,0.6071421,0.0065703992731869,0
sonicdrivein_866,today’s horoscoop🍦: remember to treat yourself and your sweet tooth with our mocha crunch blast—a deliciously cool,0.21195783,0.6071421,0.0878465548157692,0
sonicdrivein_80,just know we are very proud of this one,0.9347637,0.6071421,0.9244897961616516,1
sonicdrivein_1566,when bae just gets you. sending love to those who keep it sweet on valentine’s day. 😉❤️,0.78736746,0.6071421,0.0638127624988555,0
sonicdrivein_1435,introducing the freshest collab—the new @redbull slush and cherry limeade red bull® slush! it’s the ultimate cool down before you step up. 👐,0.62872386,0.6071421,0.0025862774346023,0
sonicdrivein_2185,"this little bit was so excited to meet mr. coney at sonic summer movie night at okc's myriad gardens. tonight, ""the",0.49138534,0.6071421,0.0380753464996814,0
sonicdrivein_283,asking for a friend. #weird #wrong,0.8918,0.6071421,0.1301235407590866,0
sonicdrivein_1452,work is more fun with friends. 🙌 we’re looking for new team members to join our crew! check out jobs.sonicdrivein.com,0.90565544,0.6071421,0.00379094411619,0
sonicdrivein_2209,"we watched with sadness as monday's tornado struck moore, ok, just a few miles from sonic hq.",0.9548176,0.6071421,0.466281533241272,0
sonicdrivein_470,our drop before the ball drops. stay tuned 👀,0.8200602,0.6071421,0.0643036514520645,0
sonicdrivein_952,"struggling to decide your order? 🤔 then check the time: our clock will tell you what to get. ⏰

9am - 12pm: bacon egg & cheese breakfast burrito
12pm - 3pm: crave cheeseburger
3pm - 6pm: corn dog
6pm - 9pm: red, white, & blue slush float",0.8089659,0.6071421,0.1811692714691162,0
sonicdrivein_1765,"drown your tastebuds in rich, creamy 1/2 price shakes after 8pm at sonic for the next five days.#sonicdrivein #shakebreak #shakes #📅 #🕖",0.7767136,0.6071421,0.0113276029005646,0
sonicdrivein_1755,how many corn dogs you’ll have is still a toss-up. drop by sonic on august 31st and enjoy 50¢ corn dogs all day. ,0.95130557,0.6071421,0.05933703109622,0
sonicdrivein_2168,"see you this morning for 1/2-price breakfast burritos all day at sonic. or, maybe it's a breakfast for dinner kind of",0.9194706,0.6071421,0.0415448062121868,0
sonicdrivein_566,i’ve had some time on my hands 😂,0.93245804,0.6071421,0.9809778928756714,1
sonicdrivein_742,just starting our weekend off with a slush. 🤩,0.91710246,0.6071421,0.4301130175590515,0
sonicdrivein_690,don't keep mom from her emotional support ice.,0.5808597,0.6071421,0.8466271758079529,1
sonicdrivein_788,who’s a good boy? you are! 🐶,0.9454691,0.6071421,0.391543984413147,0
sonicdrivein_899,the best dining rooms have reclining seats. 🚗 wear your sonic heart on your sleeve at sonicswagshop.com. plus $1 from,0.7768687,0.6071421,0.0024240701459348,0
sonicdrivein_344,here’s a hint: it might have strawberries in it,0.93366027,0.6071421,0.6440834999084473,1
sonicdrivein_1077,raise your hand ✋ if you think it would be pretty cool if you could add us to your group chat.,0.95762396,0.6071421,0.0783808827400207,0
sonicdrivein_1022,when someone’s getting you sonic and you want to make sure they get your order right.,0.8925847,0.6071421,0.7735722064971924,1
sonicdrivein_655,"win or lose, you can always use a post-game slush🥤⚾️",0.88329726,0.6071421,0.1205012649297714,0
sonicdrivein_997,"when that first bubble bursts, you’re gonna be hooked. 😍 try the all-new bursting bubbles slushes and experience the burst in each refreshing sip.

*bursting bubbles are not suitable for children 3 years or under due to possible choking hazard. limited time only at sonic drive-ins.",0.48990938,0.6071421,0.0239499490708112,0
sonicdrivein_1069,what vibe do you give off? tag your friends to see what they think. 👀,0.95544606,0.6071421,0.1222161874175071,0
sonicdrivein_2181,congrats to our grand prize #doubledogdare winners! @lparrinelli @jusserv @tia_lorraine pls email your name and mailing,0.24373312,0.6071421,0.0006827539764344,0
sonicdrivein_2080,vote for local teacher projects to earn sonic limeades for learning funding! head to limeadesforlearning.com and pick a,0.84471494,0.6071421,0.009091779589653,0
sonicdrivein_290,reminder to check in on your group chats today,0.9089121,0.6071421,0.7527779936790466,1
sonicdrivein_2138,"hurry in - $3.99 footlong hot dogs & tots only until the end of the year. pick your fave hot dog flavor in a footlong,",0.43158746,0.6071421,0.0351552926003932,0
sonicdrivein_454,at least he didn’t ask the carhop how high he can hop. #carhoplife #dadjokes,0.77700025,0.6071421,0.1162910833954811,0
sonicdrivein_1138,who’s at the door? it’s our trick or treat blast! are you dressing up for halloween? 🎃  visit the link in bio to get our downloadable cupstume patterns!,0.7231827,0.6071421,0.0241119526326656,0
