image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1963,it’ s 10:45 pm.,1,1,0.9741131,0.32391003,0.003566058477249814,3.1738973982547e-310,3.1738973982547e-310,3.1738973982547e-310
sonicdrivein_1807,don't worry about it.,0,1,0.9796346,0.32391003,0.0,0.0,0.0,0.0
sonicdrivein_496,"10:35 am, the new facebook app is now available on your iphone or android device! click here to download it today.",0,1,0.9583246,0.32391003,0.0,0.0,0.0,0.0
sonicdrivein_1632,it's time to get out of bed and start your day off on the right foot.,4,1,0.97354215,0.32391003,0.09790140666919975,8.713514427628997e-309,8.713514427628997e-309,8.713514427628997e-309
sonicdrivein_143,"it's not just about the food, it’ s all around you.",0,1,0.9527424,0.32391003,0.0,0.0,0.0,0.0
sonicdrivein_1017,"i'm not sure if this is what i want to do, but here we are.",1,1,0.97652996,0.32391003,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_614,"when you’ re looking for something fun to do with your friends, this is the perfect ice cream treat.",4,1,0.97739846,0.32391003,0.21052631578947367,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2125,"when you’ re feeling down, think about how much better it would be to have a drink with someone who makes your day brighter.",2,1,0.979963,0.32391003,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1128,it's time to get out of your comfort zone and show us what you’ re really good at.,0,1,0.97951436,0.32391003,0.0,0.0,0.0,0.0
sonicdrivein_1349,"what’ s wrong with this? </sarcasm> 🤷‍♂️👨🧑🏼💕#daddytoddler 👩⬤🤦‍♀️🍲🥳🎉
Q: what do you get when u drink a glass of water and eat ice cream at the same time.",1,1,0.9562326,0.32391003,0.03571428571428572,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_676,it's been a long time since i’ ve felt like this.,2,1,0.9823026,0.32391003,0.0027764940672533422,3.39784740204026e-310,3.39784740204026e-310,3.39784740204026e-310
sonicdrivein_1712,it's time to get rid of all the things you don’ t need.,1,1,0.97251815,0.32391003,0.048485629738209225,1.402493394168772e-308,1.402493394168772e-308,1.402493394168772e-308
sonicdrivein_1762,"when you can’ t find a place to sit down and enjoy your coffee, here is one of my favourite places in the world.",5,1,0.9774104,0.32391003,0.20833333333333334,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1095,"it's not just me, it’ s all of us.",1,1,0.95864284,0.32391003,0.07961459006375435,1.594335087959687e-308,1.594335087959687e-308,1.594335087959687e-308
sonicdrivein_1847,"when you’ re in the mood for something sweet, check out this video! </s> https://t.",3,1,0.95095867,0.32391003,0.1026834238065184,1.142391010069532e-308,1.142391010069532e-308,1.142391010069532e-308
sonicdrivein_1728,when you’ re ready for a bite of something sweet and savory in just 30 seconds.,2,1,0.96921384,0.32391003,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2095,"it's not about the food, it’ s just how much we love you.",1,1,0.96310544,0.32391003,0.048485629738209225,1.402493394168772e-308,1.402493394168772e-308,1.402493394168772e-308
