image_id,caption,fitCount,gtNum,fluency,diversity,humor_score,humor,benign
sonicdrivein_204,this is what the world would look like if everyone wore their hair in this style.,1,1,0.9692385,0.47508907,0.4580052495002746,0,-4.287227
sonicdrivein_89,"the summer's grill, the great american festival of food and drink.",0,1,0.85884696,0.47508907,0.6459802389144897,1,-9.128944
sonicdrivein_344,"i love you, @ jenniferjackson! i know it’ s hard to get a hold of your mind when u have the munchies and need something else for dinner.",2,1,0.9128771,0.47508907,0.2558957636356354,0,-9.411119
sonicdrivein_1729,this is what we’ re getting for the new sonic boom.,1,1,0.96931165,0.47508907,0.4989306032657623,0,-8.57055
sonicdrivein_1566,this is the most important thing you can do to make sure your child stays safe and healthy during this pandemic.,1,1,0.96832764,0.47508907,0.4560043215751648,0,-7.673834
sonicdrivein_2189,what do you think? we’ re here to make sure everyone can enjoy the event.,1,1,0.9818671,0.47508907,0.1799292266368866,0,-9.133609
sonicdrivein_486,i have a feeling for you.,1,1,0.9708365,0.47508907,0.5698832869529724,1,-9.594663
sonicdrivein_842,the best thing to do in the kitchen is make a burger with your hands.,5,1,0.9770396,0.47508907,0.4081942737102508,0,-7.305612
sonicdrivein_2052,the most important thing is to be a bit of yourself.,0,1,0.96588755,0.47508907,0.890166163444519,1,-8.375288
sonicdrivein_1471,#150 is a day to celebrate dog lovers! ❤️ @ doggymaggot 👩🏽👨🏻🐶🥳 🥇💕 pic.,0,1,0.8435043,0.47508907,0.2010284513235092,0,-0.00058252533
sonicdrivein_532,you know what the best part of a day is? when you can 't find your dog.,2,1,0.97313833,0.47508907,0.2329223752021789,0,-9.445975
sonicdrivein_2095,i'm not sure if i should be taking a nap or getting some sleep.,0,1,0.9798105,0.47508907,0.7386975884437561,1,-9.158698
sonicdrivein_1367,"i'm not sure if i like it or the other, but this one has a soul.",2,1,0.95343703,0.47508907,0.3699920177459717,0,-0.018363114
sonicdrivein_1755,the first one is the sonic bomb.,2,1,0.813957,0.47508907,0.7878383994102478,1,-8.944911
sonicdrivein_1221,i’ m gonna go out for a drive.,2,1,0.9826439,0.47508907,0.398227334022522,0,-0.3150398
sonicdrivein_311,"it's like, i know what you mean.",0,1,0.9004508,0.47508907,0.5602806806564331,1,-8.464784
sonicdrivein_952,"the new ice cream flavor is called the "" sonic spray” by your to.",3,1,0.8125362,0.47508907,0.3318189084529876,0,-7.3141885
sonicdrivein_877,the first thing you should do when your boss calls in to see if they’ re still there is get a sandwich.,1,1,0.9842509,0.47508907,0.1365912407636642,0,-0.0011191064
sonicdrivein_655,the # marchenuts are the most popular of all time.,0,1,0.92141557,0.47508907,0.9031572937965392,1,-0.0036902204
sonicdrivein_1197,"it’ s not a new, it is the most delicious and cheapest food in all of canada.",1,1,0.7279375,0.47508907,0.0866256654262542,0,-8.148957
sonicdrivein_614,"the # icecreamday at my local store is coming up on thursday, may be it a day to get some frozen yogurt and s'mores.",2,1,0.6387759,0.47508907,0.153719887137413,0,-9.108446
sonicdrivein_1666,the # baconbomb is the best thing in a day.,0,1,0.82475483,0.47508907,0.3613470494747162,0,-9.720212
sonicdrivein_1635,a little something to make you feel good about yourself.,1,1,0.8384215,0.47508907,0.2543828785419464,0,-9.253765
sonicdrivein_414,it was the best of times i've ever had.,1,1,0.9686583,0.47508907,0.8872674703598022,1,-9.667643
sonicdrivein_339,this is the best ice cream ever.,2,1,0.9666208,0.47508907,0.6041897535324097,1,-0.025082821
sonicdrivein_80,"i’ m not gonna lie, i love this one.",1,1,0.95210624,0.47508907,0.8751755356788635,1,-8.2250805
sonicdrivein_2185,this is the best thing i’ ve ever seen in my life.,1,1,0.9717691,0.47508907,0.7664480209350586,1,-9.00595
sonicdrivein_135,"it’ s not like i have a lot of food in my fridge, but it is still delicious!.",2,1,0.91185814,0.47508907,0.4658315181732178,0,-7.4050236
sonicdrivein_1849,it was a day off.,1,1,0.95505095,0.47508907,0.7146350145339966,1,-8.761718
sonicdrivein_2078,the first thing i did was to take a picture of my entire # foodanddrink.,2,1,0.9429156,0.47508907,0.3720653355121612,0,-3.6361852
sonicdrivein_780,"a new, you know what i mean when it comes to the taste of a sour gummy bear.",2,1,0.73652965,0.47508907,0.6891663670539856,1,-7.7782345
sonicdrivein_556,"we’ re not talking about this, but we are.",0,1,0.97042704,0.47508907,0.522250771522522,1,-8.467441
sonicdrivein_543,a dog.,0,1,0.9152933,0.47508907,0.6111935377120972,1,-7.367938
sonicdrivein_1765,"the thing i’ m going to do is go out and get a drink of water, so you can see what we have in the fridge.",3,1,0.97934866,0.47508907,0.3219483196735382,0,-8.365248
sonicdrivein_1778,the sonic wave of 2019.,1,1,0.917412,0.47508907,0.2014633268117904,0,-6.612472
sonicdrivein_196,"when you’ re not sure what to do with your dog, check out this video! </s> and if it doesn't work for them then try again.",0,1,0.9211855,0.47508907,0.8805879950523376,1,-0.0007468057
sonicdrivein_1084,fish taco! a hot and spicy fish tacos for our first day of work.,0,1,0.77731645,0.47508907,0.029784794896841,0,-5.7448463
sonicdrivein_470,the way i see it is like a 10-year anniversary of the burger chain.,2,1,0.90925723,0.47508907,0.3557410836219787,0,-9.650133
sonicdrivein_1854,this is what we get when you add the final kick to a jedi battle!#jesusisawesome pic.,0,1,0.79418826,0.47508907,0.8885464668273926,1,-0.0045464244
sonicdrivein_491,you know what i like to do? </s> make a big noise and be happy! you are the one who can drive your truck into town.,0,1,0.97576284,0.47508907,0.107033371925354,0,-5.1682415
sonicdrivein_1102,"i know what you’ re thinking, “ i don.",0,1,0.96886134,0.47508907,0.7468372583389282,1,-8.506773
sonicdrivein_743,we are here to celebrate the best christmas ever! '' i said.,1,1,0.36737567,0.47508907,0.7940696477890015,1,-7.0315046
sonicdrivein_478,a 10 year old girl in new york city who was a food critic for yelp.,0,1,0.84750134,0.47508907,0.1124601513147354,0,-0.054534122
sonicdrivein_789,the ocean's got a lot of fish.,0,1,0.9520846,0.47508907,0.2725363671779632,0,-9.305413
sonicdrivein_926,we don't have to worry about it.,0,1,0.980771,0.47508907,0.3714435398578644,0,-9.236742
sonicdrivein_1254,you know what i mean? you’ re not the only one who has a ton of fun in your life.,1,1,0.976005,0.47508907,0.2377549707889557,0,-8.942435
sonicdrivein_69,"the moment you see this emoji, the answer is yes.",0,1,0.9512262,0.47508907,0.6487109065055847,1,-0.0007051127
sonicdrivein_1996,a new car is coming out this week.,0,1,0.982908,0.47508907,0.486721396446228,0,-1.6120597
sonicdrivein_1138,"when you ask your mom what she wants for dinner and i say, `` whatever.",2,1,0.9631234,0.47508907,0.2015299052000045,0,-9.75078
sonicdrivein_316,the word is on the other hand.,2,1,0.8360292,0.47508907,0.664160966873169,1,-8.517633
sonicdrivein_1623,i love this new thing.,0,1,0.9768729,0.47508907,0.3395416140556335,0,-8.729332
sonicdrivein_2181,"what is your favorite emoji? #250
the world’s best food bloggers are coming to the end of year.",2,1,0.9763748,0.47508907,0.0124541204422712,0,-7.493706
sonicdrivein_1459,the app for the mic's gonna be a little different this time.,3,1,0.94991004,0.47508907,0.3219753801822662,0,-9.386717
sonicdrivein_594,"when you see this in the news, it's going to be a lot of questions.",1,1,0.97611815,0.47508907,0.1754247546195984,0,-9.039538
sonicdrivein_1737,"we’ re not going to do this, are we? the boss will be there.",2,1,0.9852743,0.47508907,0.2703138589859009,0,-7.8844476
sonicdrivein_791,the summer is here! # you’ re gonna be the best taco truck in town.,0,1,0.9531648,0.47508907,0.1152254715561866,0,-9.643032
