train_loss,test_loss,save
4.154781182527819,4.115757978723404,V
3.85428604052483,4.080610679214403,V
3.8205642231356918,4.058919803600655,V
3.7990159441953164,4.055354950900163,V
3.787483391463212,4.02626329787234,V
3.7799239121408403,4.018826718494272,V
3.7741654210264075,3.993611906710311,V
3.7720763785085536,4.001877045826514, 
3.768968765570503,3.9852649345335514,V
3.765749564025909,3.98877352700491, 
3.765026833167248,3.97198240589198,V
3.763646248546753,3.9516264320785597,V
3.7626095125394454,3.9631188625204583, 
3.761019374896197,3.9688829787234043, 
