image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_1594,"our showers the drink that we like our friend! we#,,,#####,###--#############,,######### the,-###, the,###############-,--,,--##, of",1,1,0.2523695,0.41855103,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.625,5.59375,2.09375
sonicdrivein_103,"i phone when help, it, it��#-####--##..######--i----### the",0,1,0.28759706,0.41855103,0.0,0.0,0.0,0.0,7.5625,6.09375,0.1455078125
sonicdrivein_1921,"ny your office day at last with  deserves.# � and-  and the,,-##,,, the the,,######, day of the######,- time time-,,, the nose nose,######--,,,,,,,######, ",2,1,0.18529016,0.41855103,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.4375,6.28125,0.1162109375
sonicdrivein_2115,"no you at for �**@ b, dinner, or, �,,,,,,####,,##,,,-##,",2,1,0.29459208,0.41855103,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.3125,5.3125,0.10009765625
sonicdrivein_333,"1 a. around hand to order the beginning-in.&ville----,,,####,ville#,#########, theananan-- the the the# the,,.,-###,,an,, the,,--, with",3,1,0.13537289,0.41855103,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.1875,5.875,0.1328125
sonicdrivein_964,"looking is a morning? and the it,! it��#-----#########-----####- ----,------#########-----------# the",0,1,0.4710815,0.41855103,0.0,0.0,0.0,0.0,8.875,7.625,0.123046875
sonicdrivein_789,i ballzz sticks with have try’ your rockin 😀# try- sonicmotesebdayday##-----### bag is.-. is is.-----.-------an_,0,1,0.31280237,0.41855103,0.0,0.0,0.0,0.0,7.59375,6.5,0.109375
sonicdrivein_1502,you have see“ i says i i buy to the today###-# is is##...##..##.###.##.## ourselves#.######## boys:# the:.BagBag.--.#,1,1,0.08614212,0.41855103,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.0,4.0625,2.203125
sonicdrivein_37,"guess to free free and not for the food!
-------#########----



,######


----


-###


---



 is",2,1,0.13775708,0.41855103,0.13333333333333333,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,7.0625,5.65625,0.140625
sonicdrivein_1274,"the minute, one a. one of miles. it'' heartishowisonay###---- the the the the--- the#-----# the---- the##---- the-----# the",3,1,0.16818397,0.41855103,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.96875,4.78125,0.11962890625
sonicdrivein_1347,"aerry and s ice word! they’ a special seriously. cheers1 polalloweenal,,,,,,,,,######, the the the,#   and and,,,,- and-###,,-,##, and is,##an is",4,1,0.2007595,0.41855103,0.15,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.75,5.71875,0.10498046875
sonicdrivein_649,"a of perfect, see what future big purchase, 
a####aa###aaa--#--an,an##a-a####a-aa--aaaa---###aan",1,1,0.10531118,0.41855103,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,8.6875,7.53125,0.1162109375
sonicdrivein_505,# your chicken of  your the  and andurgers with..###.##..-..##.,2,1,0.11665365,0.41855103,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,30.375,8.125,2.21875
sonicdrivein_163,"guys,, the end. didn at it,  is is is the,,,,,,,- the the,, the#, the,-- the the the the the the#.-,,, the is is the-, with",8,1,0.12492108,0.41855103,0.04000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,29.75,8.75,2.09375
sonicdrivein_1039,"going you’ we scoops, we mean it. get� get of your#.,. the is.,, the the the,.######.#.....# is.......###....... and..######. is",4,1,0.2070701,0.41855103,0.21052631578947367,0.11111111111111109,0.0588235294117647,2.2250738585072626e-308,5.0,3.859375,0.11474609375
sonicdrivein_1385,making important rule of the day �#�# cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese of of cheese cheese of cheese of of of of of of of of of### of of cheese cheese cheese of of of of of of of of of of of of of of of of of of of of,36,1,0.15658487,0.41855103,0.05172413793103449,0.017543859649122806,2.2250738585072626e-308,2.2250738585072626e-308,4.125,2.921875,0.12109375
sonicdrivein_2171,hey in to the1069s 😂 birthday! �@ sonicbt—#---..-#-. the..-# the the.. the#- the the the-...... the..-- the... the of,0,1,0.34587717,0.41855103,0.0,0.0,0.0,0.0,7.09375,5.8125,0.1279296875
sonicdrivein_408,i kiddos intriguing day are those and make and pedalan#.an the,2,1,0.036523372,0.41855103,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.25,5.21875,2.09375
sonicdrivein_348,"this me is the you had m got made one. selfies the the is is the the is is is,,-vv is,### tyty is,### - the theville the the-- is is###,,, than of#,######, the",1,1,0.07121632,0.41855103,0.030303030303030304,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.5,6.21875,0.12890625
sonicdrivein_189,"we is s that next? tip ice? 😉,,- is is..---.,..-------- the....--... the----.",0,1,0.39954954,0.41855103,0.0,0.0,0.0,0.0,7.25,6.25,0.1015625
sonicdrivein_1081,"you � � blue one14 blue the way. 🎋 �</ line day  the was was is the @@@ is the-- is   the the, is   @@ was my was@-- the is my-,-, is   my the the  ",2,1,0.21421121,0.41855103,0.028571428571428577,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.96875,4.78125,0.11962890625
sonicdrivein_864,"youooky,...and) cornccs � halloween what corn you 👀
  is-------,,,,,  mania--,-   is--= is  -,, the the, the, the- is=-,,- ",2,1,0.37106457,0.41855103,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.8125,6.375,0.14453125
sonicdrivein_1384,a to sonic with sonic with the sonic with sonic############################################,2,1,0.48612386,0.41855103,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,27.75,5.71875,2.203125
sonicdrivein_601,"about would s you do? all to long too with but” wishhour,,---###-------- the is------------------a-------- the",0,1,0.1430661,0.41855103,0.0,0.0,0.0,0.0,7.75,6.59375,0.11474609375
sonicdrivein_570,"that know all need sl day! day. �,,,, the,,--",1,1,0.1559744,0.41855103,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.4375,5.3125,0.11328125
sonicdrivein_376,"tomorrow a, the nextes the craft-in,- is is,,,,--,,----##----,,-- the---,--,-----anan,------ is",2,1,0.39429447,0.41855103,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,25.375,4.59375,2.078125
sonicdrivein_645,a your go a food cream our’ s alin and and our our-. the.--.----.. the-tyty the-..- w with----- the the-..--..-- time--.- the,1,1,0.0776837,0.41855103,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.625,4.625,2.203125
sonicdrivein_567,"that the you missed wondering, we sonic behind ---------------------------------------------",2,1,0.11616887,0.41855103,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.96875,3.78125,0.11962890625
sonicdrivein_596,"the’ seeing a good just together, �,-,,-


-#,-
 is is.--. 

--

---
 of",1,1,0.31725848,0.41855103,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,23.875,3.96875,1.984375
sonicdrivein_143,"pee ending limited excuse is a special good ending. -------
------------ the----- the the-------
-a------------- the",2,1,0.5511355,0.41855103,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.375,6.25,2.015625
sonicdrivein_1280,"spir: some has about in sauce cheese. 🍏��ters the## the##-,# is# the--# the,,- the is is- the## the,-# is the- is is the-##",4,1,0.1328161,0.41855103,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.90625,5.90625,0.10009765625
sonicdrivein_51,"i sag& r team has is full the this idea!liciouslicious-,,,#- the, the thei-- the",4,1,0.06101418,0.41855103,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.75,5.96875,2.078125
sonicdrivein_753,"finallyonna get in back it season. see��## the, the the, and#, the the the#,,## my and,,, the the#.. the, the",5,1,0.088133276,0.41855103,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.625,5.15625,0.1455078125
sonicdrivein_1946,"good your flavor and we cone. we'' sonicfall'mocreammel#drivesur."".###,,,####. is,,###. than.,##....#.###--....##. the",1,1,0.13280696,0.41855103,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.75,5.65625,0.11083984375
sonicdrivein_1246,you one knows beat that good f sandwich. get�� bring your is### the# the##### the#### with with# with with. the this this#### the--## the#.##### this the### the your,2,1,0.08543573,0.41855103,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.8125,4.59375,0.123046875
sonicdrivein_697,1’ the day with try'' or your) too) try is------------------------ is#------ the---------------- is,2,1,0.36824495,0.41855103,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,28.25,5.21875,2.296875
sonicdrivein_1960,"easy so many flavors flavors. but</ �ushm.dright##natter### model.... model,,.##,,,,. to#,....##,,.,,.......,,# bag",0,1,0.63428175,0.41855103,0.0,0.0,0.0,0.0,6.71875,5.625,0.109375
sonicdrivein_981,"1’ s a good future to call- foodeseteam1.ickyeller  @rushthesh&#foodsc #foodetruthRush-##,##ic##,ic#-,##,,,,#,,##ic###### the.",1,1,0.45260763,0.41855103,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.125,5.8125,0.130859375
sonicdrivein_1269,"are’ new new with we as possible. �5 musicalmow willhiare is---,,, is---- is,- is is is-,-----------,,
 of",2,1,0.10351539,0.41855103,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.0,4.65625,0.1337890625
sonicdrivein_760,* on if your sweet thinks this chance!�!--------#----#-----------,1,1,0.4144077,0.41855103,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,8.625,7.375,0.123046875
sonicdrivein_470,"you sonic- midnight sun drop. � tuned to� �
####


###

##



i
##












####








 the",2,1,0.14766262,0.41855103,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.71875,4.5625,0.1162109375
sonicdrivein_1199,"this’ s no  way better water this daughter: all��‍�&� what is#,,, the----? is---, is#,-,,- the,------ the----- is",0,1,0.31500378,0.41855103,0.0,0.0,0.0,0.0,24.5,4.5625,2.0
sonicdrivein_1206,the’ two post. spicy these today. 🎏� post your is- the the- the the the is the the the the the--- the--,0,1,0.3444071,0.41855103,0.0,0.0,0.0,0.0,5.625,4.46875,0.1162109375
sonicdrivein_1115,"we have re loving a on- on but,,, 😔 useaaaa#aaaaa",0,1,0.42625734,0.41855103,0.0,0.0,0.0,0.0,8.0,6.96875,0.103515625
sonicdrivein_344,"create’ s a slush: our’ be been. it. a,,an## theanananan the the,an,an the",1,1,0.208685,0.41855103,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,23.875,3.65625,2.03125
sonicdrivein_2070,"every... ) dogs is are here over  keep    is -#   is    is is,,   -,,   #,, the is , ,,,,, the    the,, the ",4,1,0.5058287,0.41855103,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.4375,4.125,0.1318359375
sonicdrivein_135,"summer your the and wetons edition is coming!� just5 is,##,-------## the the----,,,,-- is",2,1,0.1863725,0.41855103,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.96875,6.8125,0.11474609375
sonicdrivein_277,we plate#0’00 full you are are the to be together�” time day is is is-- is is----- my is----  it it#---- ----------...----w,4,1,0.13383009,0.41855103,0.13636363636363635,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,7.0,5.5,0.1494140625
sonicdrivein_901,"buzz of in � every and two lime you rest who ☍� is---
 isty is
--





--


-- the is



 my  is









 my----- is",1,1,0.09729173,0.41855103,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.625,5.34375,0.1279296875
sonicdrivein_955,"we’ to stop between us or bite. we� get��7 thiscrunchcreamday,,,,,",2,1,0.30717182,0.41855103,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.1875,4.125,0.1064453125
