image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
mcdonalds_switzerland_828,"that, of course, is the way to the sundae.",2,1,0.810069,0.5185776,0.08897082254631197,1.7816998627591863e-308,1.7816998627591863e-308,1.7816998627591863e-308
mcdonalds_switzerland_1883,when will be your next try at the `` hot '' chicken and how does it's you who's not?# the# cow# in# this# pic# re# not# you# but# the# one# who# is# always# hungry# and# always# want# to# try# it# again# and,1,1,0.35767475,0.5185776,0.023809523809523808,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_73,get in the car and go! the chocolate- and mushroom-salad-mixture-is-in-the-last-spots! go# mcdonalds# ostfildernather# ostfildernather# eneteromagictoys# eneteromagictoys# mcdonalds# ostfildernather# en,4,1,0.91020936,0.5185776,0.10526315789473682,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_735,"i'm not only a winner but a, a winner of, a, and a.",2,1,0.8032591,0.5185776,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1656,this is my favorite! and i love this one.,0,1,0.968286,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_27,"your son or daughter will be driving by tonight, and you will not be able to see them.",1,1,0.974226,0.5185776,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_6,you verifiy that mcaffee mcdonald's isn't always included in your meals.,1,1,0.23400602,0.5185776,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_60,congratulations@remi_wolffon his amazing journey with the word `` amazing ''! thanks for the amazing day! bill & greta order a with us and get your amazing day with a bonus on your account! 💛$ # amazingday# amazingolatortips# postnow” 🤩! 🤩,0,1,0.52138245,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_165,the oldest members are... the ones who take the most time to leave their office! 👀# youngmcdonaldswill# mcdonalds# ccs# # admition  # # dds# # dds2018# mcdonalds# admition# mcdonalds# dds,4,1,0.8574352,0.5185776,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_201,us musings: what do you think? ✅ we're talking about'the'thanksgiving meals! m '.,1,1,0.7523922,0.5185776,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_712,"santa monica is back! celebrate with our best looking version of the world’ s most famous logo in the city, and tell your friends how you did it! 🥳🙏🇨🇷# mcdonalds # mcdo # santa monica # v2021 # v2022 # omg ",1,1,0.905349,0.5185776,0.024390243902439022,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_81,the world is your menu and we are ready to date again.,2,1,0.898728,0.5185776,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_683," our green volunteer team is already there for you, by donating food items to help those in need.",0,1,0.9302232,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_293,my favorite run-in.,0,1,0.95955664,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_586,today is the day of the last meat in your heart.,0,1,0.95887977,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_730,how we can see it today? with the new Collier’ s 30 minute edition.,0,1,0.7702049,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_691,"it was the start of the new year, but not for everyone.",1,1,0.97032005,0.5185776,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_330,the us: are you a fan of our chicken? we love it! 😎 any questions?# # mcdonalds# mcdonalds # catfriday# foodfail# humannature# loveislove# mcdonalds# h20# h20challenge# h20challenge20# mcdonalds# h,2,1,0.8462014,0.5185776,0.06896551724137931,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_596,"but we also like, you know, we're good to get those, you know, we also like, you know, we also like, you know, we also like, you know, we also like, you know, we also like, you know, we also like, you",1,1,0.591183,0.5185776,0.023809523809523808,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_2031,or no one knows...... are in love with this food! 😜# food# diahrea# healthy# mcdonalds# mcdonalds# diahrea# mcdonalds# food# mcdonalds# healthy# mcdonalds# diahrea# mcdonalds# food# mcdonalds,0,1,0.85372007,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1197,thank you for your tasty food?@ mcdonald’ s on the way!# menubuffet# tastyfood# v1?# v2# menubuffet# v3# tastyfood# v4# restaurantbuffet# restaurantbuffet# v5# tastyfood# v6# restaurantbuffet# v7# tastyfood# v,0,1,0.86541057,0.5185776,0.0,0.0,0.0,0.0
mcdonalds_switzerland_2026,a perfect way to end the year for some of our favorite burgers! check out our# mcdonaldsmcdaliscray_burger page for more details!# mcdonalds# cray_burger# fry_burger# food# foodporn# foodchallenge# mcdonalds# mcdonaldsmcdaliscray# fry,1,1,0.9166559,0.5185776,0.03333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_713,we are proud to sponsor the legendary swedish restaurant! would you mark it off your bucket list? are mad cow disease and meat safety a no-no for you? then come and try it out! mcdonald's missbraves.,3,1,0.92873836,0.5185776,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
