train_loss,test_loss,save
1.4967639654874803,1.823659971356392,V
1.4331449806690215,1.7572140097618103,V
1.36450634598732,1.6769033372402191,V
1.2472779393196105,1.4937433302402496,V
1.14708169400692,1.4575860053300858,V
1.120799434185028,1.4086086004972458,V
1.1012370392680169,1.4169375598430634, 
1.0893684774637222,1.4242694079875946, 
1.0764473631978035,1.4103232771158218, 
1.0665655359625816,1.4279057085514069, 
1.056384615600109,1.4520327597856522, 
1.0449195683002472,1.435344934463501, 
1.0368033334612847,1.428411215543747, 
1.0242443352937698,1.4250999242067337, 
1.0157063484191895,1.4309499114751816, 
1.0067005842924117,1.4447087496519089, 
