train_F,test_F,save
17577.984,17548.387096774193,V
17568.768,17544.25806451613,V
17558.528,17577.290322580644, 
17570.816,17556.645161290322, 
17573.888,17527.74193548387, 
17588.224,17511.225806451614, 
17567.744,17531.870967741936,V
17590.272,17540.129032258064, 
17582.08,17540.129032258064, 
17579.008,17519.483870967742, 
17574.912,17560.774193548386, 
17579.008,17523.612903225807, 
17579.008,17577.290322580644, 
17583.104,17527.74193548387, 
17602.56,17544.25806451613, 
17568.768,17498.83870967742, 
17573.888,17531.870967741936, 
17586.176,17519.483870967742, 
17569.792,17544.25806451613, 
17573.888,17531.870967741936, 
