image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_204,the sonic boom is coming.,1,1,0.9748625,0.390364,0.10976232721880529,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
sonicdrivein_408,i’ m so hungry i could eat a whole pizza.,0,1,0.975896,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_786,i’ m so proud of you for getting through the first day without a single one.,1,1,0.9704112,0.390364,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_496,i’ m so proud of you for wearing your new # sonicblue shirt today.,1,1,0.96762586,0.390364,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_44,we’ re all in this together.,0,1,0.9578045,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_499,we’ re so proud of you for your # momofone day.,0,1,0.92933595,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_1017,the perfect ice cream cone is one that has the right amount of toppings.,2,1,0.96331716,0.390364,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_864,the best part of a sonic drink is the ice.,3,1,0.95828027,0.390364,0.2,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1502,we ’ re all about the sonic bowl.,1,1,0.97062165,0.390364,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_234,"i’ m not sure what to call this, but it smells like a dog' s butt.",0,1,0.973203,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_791,the sonic drive-in is back! get your free drink and a $10 meal with code: sonicdriveinsm.,0,1,0.7936619,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_91,"we’ re not going to tell you what it is, but we are.",0,1,0.96307546,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_529,"i’ m not sure what the # is for, but i think it has something to do with my phone.",1,1,0.95607513,0.390364,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_65,the new sonic the wave 2 is coming to a stop.,0,1,0.8960598,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_78,the sonic logo is a great way to remember the brand.,3,1,0.95001394,0.390364,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_333,"we’ re not sure if we like this one or the other, but it looks great.",2,1,0.9734668,0.390364,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_348,we’ re all about the good times.,0,1,0.9754508,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_51,we’ re so excited to announce our new sonic car! i'm sure you can tell by the look on my face.,1,1,0.973434,0.390364,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_375,we’ re all about the sonic experience.,0,1,0.97505796,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_103,we’ re adding a new flavor to our sundaes.,0,1,0.98239917,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_491,we’ re all about the sonic experience.,0,1,0.97505796,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_363,i love the sonic blue.,0,1,0.9768495,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_571,we’ re giving you a sonic experience like no other.,0,1,0.9593525,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_1346,we’ re all about the sonic experience.,0,1,0.97505796,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_780,i’ m so excited to see the new sonic logo.,0,1,0.9809349,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_531,a little bit of everything is what we like.,0,1,0.74622995,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_505,"@ the_sonic, what do you think of this? '' sonic is a dog.",0,1,0.95206916,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_430,it’ s time to get your & quot; sonic the hedgehog: a game of sounds and moves out.,0,1,0.54603666,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_470,we’ re all in this together.,0,1,0.9578045,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_808,we’ re giving you a free sonic drink with your order.,2,1,0.7797697,0.390364,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_478,what’ s your favorite way to eat a burger? 🤔 @ the_shroomers# summerfunday# summertimeoffood 🍕🍟🥩 🥑 😎👀 stay tuned for more fun! 🚨🎉🌞 check out our new merch at www.,0,1,0.9550131,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_742,we’ re all in this together.,0,1,0.9578045,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_344,the best way to end a day of work is with some sonic drinks.,1,1,0.9721258,0.390364,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_414,we’ re all about the fun in our food.,0,1,0.95920724,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_1029,the only thing i can’ t wait for is the new ‘ sonic s10.,0,1,0.9599749,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_560,we’ re not sure what to do with this one.,1,1,0.9749348,0.390364,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_634,i’ m not sure what to do with this one.,0,1,0.9771606,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_495,"i’ m not sure if i'm just being a fan or the boss is calling me out, but this looks like my son.",1,1,0.9758354,0.390364,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_446,i know i’ m not the only one who loves to eat my own food.,0,1,0.97840023,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_54,we’ re all in this together.,0,1,0.9578045,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_705,i’ m not sure what i should be doing with my time right now.,0,1,0.97069645,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_1368,the sonic blue is back! get a free drink with your order of any two drinks at the app store.,1,1,0.37405598,0.390364,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_411,"if you’ re a fan of the sonic adventures, we think this is what it would look like if they were all together.",5,1,0.96953595,0.390364,0.17391304347826086,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_369,we’ re so hungry we can eat it all.,0,1,0.9729845,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_457,the only thing i can’ t stand is the ‘ no more free samples with purchase' jingle.,0,1,0.9043039,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_152,i’ m so hungry i could eat a whole sonic.,0,1,0.96174407,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_585,the best part of the day is over.,2,1,0.9733384,0.390364,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308
sonicdrivein_1337,# 10things i wish mom could do for me today.,0,1,0.7293516,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_566,the perfect summer treat.,0,1,0.96887434,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_189,the sonic logo is a great reminder of what we do.,1,1,0.97809017,0.390364,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_69,we know you’ re craving something sweet.,1,1,0.9791301,0.390364,0.10735389901075512,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308
sonicdrivein_41,we’ re giving away a free sonic drink with every purchase.,1,1,0.85364836,0.390364,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_98,"the last time i ate a burger, it was the size of my hand.",0,1,0.96496946,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_280,the only thing i can’ t stop is the sonic drive-in.,2,1,0.97608995,0.390364,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_497,i’ m going to the drive-in with my son.,0,1,0.98389304,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_522,we’ re getting a new look.,0,1,0.9802669,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_790,the only thing we're missing is the last episode of this season.,0,1,0.96452045,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_905,we’ re all about the sonic experience.,0,1,0.97505796,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_376,the sonic logo is a must have for any fan of the game.,2,1,0.91389334,0.390364,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_572,we’ ll be there for you.,0,1,0.97512674,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_645,we’ re giving you a free sonic drink with every purchase.,0,1,0.84439284,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_404,i’ m not a fan of the new sonic movie.,0,1,0.9789691,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_524,"we’ re open for business! what would you order?# sonicmonday ''@ the_sonicdrivein’’""
### Questions and Answers Related to Sonic Drive-In's Menu Items:
1.",0,1,0.83303946,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_788,what do you get when u mix a sour patch kid with an ice cream cone? sonic slush!# sonicslushdrink @ hiltonhotels.,2,1,0.9299573,0.390364,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1181,we’ re all about the sonic.,0,1,0.9641185,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_798,this is what we’ re getting for our # sonicdrivein this week.,0,1,0.942014,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_901,you can’ t miss this one.,0,1,0.9636457,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_163,"i’ m not sure what this is, but it looks like a sonic ass.",0,1,0.9350729,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_143,the sonic logo is a must see for everyone.,1,1,0.96920747,0.390364,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_373,"i’ m not sure if i'm going to be able to get a free t- shirt from this ad, but it looks like the only way is with my money.",0,1,0.967556,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_534,"@ the_rover, we’ re all in this together.",1,1,0.8861872,0.390364,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_789,the best part of the day is over.,0,1,0.9733384,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_277,"we’ re all about the ‘ what do you think of this ice cream cone? 🤔# summerfunday@ sonicdrivein# summertimememes
” we are so excited to announce our new flavor, a strawberry-banana swirl! it is now available at Sonic Drive In stores nationwide.",2,1,0.9433655,0.390364,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_413,we’ re all in this together.,0,1,0.9578045,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_644,"we’ re all about the fun, but we also want to make sure you get your daily dose of sh*t.",1,1,0.97484416,0.390364,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_670,we’ re going to the drive-in for a few hours.,0,1,0.97961116,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_903,the only thing i’ m craving is a ‘ what do you think of this ice cream cone? 🤔# summerfunday@ sonicdrivein# summertimememes# myicecreamconeisgood! 🥑🍦🥧 🍨🚗🎶👀 pic.,0,1,0.8434238,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_760,the only thing i want is the & quot; sonic drive-in.,0,1,0.8336012,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_753,me thinking about my son’ s school lunch.,0,1,0.6975544,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_316,we’ re giving out free sonic dog treats for all of our followers.,0,1,0.9825799,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_893,we’ re so excited to announce our new sonic drive-in app! 🎶# summerdriveinsummerfun '' we can' t wait for you guys to try it out.,0,1,0.9584025,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_690,the only thing i need to do is get my hands on a new pair of socks.,0,1,0.97935665,0.390364,0.0,0.0,0.0,0.0
sonicdrivein_57,we know you’ re looking for a new way to celebrate the holiday season.,1,1,0.9825219,0.390364,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_697,the only thing that matters is the flavor.,2,1,0.9557221,0.390364,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
