image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_2028,it’ s about 30 minutes before lunch.,1,1,0.9706011,0.34331572,0.09306272250443651,1.4495000173229606e-308,1.4495000173229606e-308,1.4495000173229606e-308
sonicdrivein_1936,"it's not just me, it’ s all of us.",0,1,0.95864284,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_632,it's your turn to make it happen.,0,1,0.973868,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1012,i'm going to do this.,0,1,0.9703976,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_614,when you’ re looking for something to eat but don ‘t know where it is.,1,1,0.9437754,0.34331572,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_771,we’ re here to show you how easy it is.,0,1,0.9776945,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_768,it's your turn.,0,1,0.9652072,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1800,"today we’ ll be looking at all the things you 'll miss out on because of covid- 19, but i don't know what they are.",3,1,0.97433543,0.34331572,0.05180526281148957,9.605878001245326e-309,9.605878001245326e-309,9.605878001245326e-309
sonicdrivein_1132,"it's not just about what you eat, it’ s how your brain works too.",1,1,0.9606113,0.34331572,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1138,it's been a long time since i’ ve felt like this.,0,1,0.9823026,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_497,this is what it looks like when you're 10 minutes late for work.,0,1,0.97803956,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_80,"it’ s like, “ oh my god i love you so much right now.",0,1,0.8710435,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1780,"i'm not sure if this is what i want to call it, but here&#39;s how you can do that.",2,1,0.8393097,0.34331572,0.01953588350115257,4.129534449719506e-309,4.129534449719506e-309,4.129534449719506e-309
sonicdrivein_549,we're going to make sure you have the best ice cream experience of your life.,1,1,0.9707883,0.34331572,0.0583448879361965,1.9473252738654987e-308,1.9473252738654987e-308,1.9473252738654987e-308
sonicdrivein_1231,when you're hungry and want something to eat but don’ t know what it is.,1,1,0.9364543,0.34331572,0.054582050205198795,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308
sonicdrivein_1995,you know what i like to do when you get home from work? </s> take off your shoes and put them back on.,0,1,0.9785557,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1574,"it's not about the food, it ’ s for you.",0,1,0.95086217,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_685,it's time to get a bite out of it.,0,1,0.9737148,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1810,it's time to get out of your comfort zone and try something new.,3,1,0.9758483,0.34331572,0.14545688921462768,1.402493394168772e-308,1.402493394168772e-308,1.402493394168772e-308
sonicdrivein_435,what do you want to have for dinner tonight? </s> a cheeseburger and french fries.,1,1,0.97917753,0.34331572,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_987,"if you’ re looking for something to do with your kids on a rainy day, here are 10 of them.",3,1,0.9724401,0.34331572,0.0708549829111522,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308
sonicdrivein_1751,"it's not just about the food, it’ s all of us! we are in this journey together# i-lovemydog
It seems like there might have been a mix-up with your question and an unrelated post.",7,1,0.83636725,0.34331572,0.11432778267687219,1.2355976940291233e-308,1.2355976940291233e-308,1.2355976940291233e-308
sonicdrivein_1715,i'm going to ask you a question: what’s your favorite ice cream flavor of all time?🤷‍♂️ pic.,2,1,0.92007935,0.34331572,0.10458938416503243,1.9781123889553905e-308,1.9781123889553905e-308,1.9781123889553905e-308
sonicdrivein_1599,it's your turn.,1,1,0.9652072,0.34331572,0.008520511068835796,5.68762993211647e-310,5.68762993211647e-310,5.68762993211647e-310
sonicdrivein_1964,"it's been a long time since we ate ice cream together, but i do n’t know what to say.",2,1,0.9713785,0.34331572,0.08988838585510894,0.04744109253464082,1.9000788267213607e-308,1.9000788267213607e-308
sonicdrivein_1771,it's been a long time since i have felt like this.,0,1,0.97908074,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_706,we're going to make it happen! we’ re gon na do this for you.,1,1,0.9467944,0.34331572,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_891,"you're about to get your first taste of this year’s strawberry shortcake sundae, so here are a few things you might want t check out before digging in!☀️🍓🕰️🎂🥐👨‍🤝⛋️🌸 🍦 🥑💪🏽 🧘🏻♻",1,1,0.9461355,0.34331572,0.03225806451612903,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2220,"3:45 - when you’ re about to buy your ice cream, check this out!😍👌🎉🍦🚶‍♂️🥤🤣💰📱☕🔴🌊🐲⬇🏆#icecreamlove 💪🏻🙏
<img src=""https://",2,1,0.899945,0.34331572,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_617,i've got something to eat.,1,1,0.9814922,0.34331572,0.00012225055222591445,1.3600825397296e-311,1.3600825397296e-311,1.3600825397296e-311
sonicdrivein_1587,what's your opinion on this? what do you think of the mickey’ s key flavor? i like it just as much if not more than any other.,1,1,0.9564488,0.34331572,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1671,what do you think about this? </s> what’ s your favorite ice cream flavor?</p><img type=”lazy-image” data-runner-src=’https%3a//cdn.,4,1,0.85925865,0.34331572,0.021844756548855097,0.005825268413028026,1.944247869692513e-309,1.944247869692513e-309
sonicdrivein_1594,it’ s time for the 2019 holiday season.,1,1,0.975155,0.34331572,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1467,"we’ re here to help you find your dream job, but we don 't know what it sounds like.",0,1,0.9794263,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1486,"when you're not sure what to make for dinner, just ask your friends! they might have some great ideas.",2,1,0.98228455,0.34331572,0.06218710672644542,1.3145236023755414e-308,1.3145236023755414e-308,1.3145236023755414e-308
sonicdrivein_1847,"when you get to the end of a movie, and all they say is `` oh my god it's so good.",1,1,0.9515823,0.34331572,0.039360258934487524,1.8391691476033075e-308,1.8391691476033075e-308,1.8391691476033075e-308
sonicdrivein_1674,"when you’ re not sure if it's going to fit in your bag, check out this video! 👍👌🤷‍♂️🧔🏼 🦅🎉🍪 🍇 🥤🥗🌱 🌲 💚💕😊 😄 🤣 ⛏ ❓❖�",0,1,0.9411056,0.34331572,0.0,0.0,0.0,0.0
sonicdrivein_1125,i'm so excited to see you again this summer! we’ ll be having a lot of fun together.,3,1,0.98080015,0.34331572,0.12624418806616108,1.6854158559269373e-308,1.6854158559269373e-308,1.6854158559269373e-308
sonicdrivein_2192,"it's the first day of summer, and we all know what that means.",1,1,0.9787291,0.34331572,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1093,it’ s time for the 2019 season! here are a few of our favorite ice cream flavors from last year.,3,1,0.9744367,0.34331572,0.1426844136751071,2.1165557258994466e-308,2.1165557258994466e-308,2.1165557258994466e-308
