image_id,caption,fluency,diversity,humor_score,humor
sonicdrivein_655,"win or lose, you can always use a post-game slush🥤⚾️",0.88329726,0.53012776,0.1205012649297714,0
sonicdrivein_1175,"introducing the glizzy gladiator & the cheeseburger challenger! ⚔️ in the culinary combat between hot dog and cheeseburger, who do you root for? 🛡️",0.8904464,0.53012776,0.0010761172743514,0
sonicdrivein_496,how would you define it? #mmmsonic,0.8388971,0.53012776,0.5779166221618652,1
sonicdrivein_1376,"you say “potato,” i say “picasso.” show us your tot art! 🎨",0.61985016,0.53012776,0.3600709736347198,0
sonicdrivein_1927,"tis’ the season to bask in the glory of 50¢ corn dogs. get to sonic & pick up as many as you can carry, today only.",0.72813505,0.53012776,0.0038703947793692,0
sonicdrivein_1678,"are you #teamketchup or #teammustard? rep your side today with a 50¢ corn dog at sonic. 
tax and add-ons extra. see menu for details.",0.586078,0.53012776,0.0021530778612941,0
sonicdrivein_1572,"strike a pose! sonic cups in hand, of course.",0.6842224,0.53012776,0.0445308424532413,0
sonicdrivein_566,i’ve had some time on my hands 😂,0.93245804,0.53012776,0.9809778928756714,1
sonicdrivein_2185,"this little bit was so excited to meet mr. coney at sonic summer movie night at okc's myriad gardens. tonight, ""the",0.49138534,0.53012776,0.0380753464996814,0
sonicdrivein_1944,sad that oktoberfest is over? well wingtoberfest is going strong! come on by and enjoy some delicious 1/2 price 6 and 12,0.5314385,0.53012776,0.0024179224856197,0
sonicdrivein_788,who’s a good boy? you are! 🐶,0.9454691,0.53012776,0.391543984413147,0
sonicdrivein_1282,who needs fancy when you know their favorites?,0.9521512,0.53012776,0.1033973321318626,0
sonicdrivein_945,🏃🏃 beat the lunch rush go go go!,0.83760273,0.53012776,0.0805976614356041,0
sonicdrivein_376,not us seeing our ex at the drive-in,0.90565515,0.53012776,0.6644645929336548,1
sonicdrivein_163,sorry 4 the vegetables i bought rip :(,0.37523636,0.53012776,0.949424922466278,1
sonicdrivein_2200,what a beautiful sight! thanks @dixieyankee for sharing,0.7951491,0.53012776,0.2728191912174225,0
sonicdrivein_742,just starting our weekend off with a slush. 🤩,0.91710246,0.53012776,0.4301130175590515,0
sonicdrivein_2095,"hey, okc! see you tomorrow night for #sonicsummermovies @myriadgardens. the family fun begins at 7 with lawn games, mr",0.8426404,0.53012776,0.0136745544150471,0
sonicdrivein_316,it’s the little things #middaybreak #drinkrun #podcast #ssssf,0.705108,0.53012776,0.309851199388504,0
sonicdrivein_2196,"a little #tbt love for sonic founder, troy smith, and his first partner in biz, charlie pappe.",0.8183666,0.53012776,0.1378582715988159,0
sonicdrivein_414,when you first move out of your parents’ house:,0.87979394,0.53012776,0.8729441165924072,1
sonicdrivein_1022,when someone’s getting you sonic and you want to make sure they get your order right.,0.8925847,0.53012776,0.7735722064971924,1
sonicdrivein_1755,how many corn dogs you’ll have is still a toss-up. drop by sonic on august 31st and enjoy 50¢ corn dogs all day. ,0.95130557,0.53012776,0.05933703109622,0
sonicdrivein_1616,ice cream is always the perfect accessory 🍦,0.97284985,0.53012776,0.0171656105667352,0
sonicdrivein_204,gotta try it before someone catches the mistake!!,0.894321,0.53012776,0.4257000684738159,0
sonicdrivein_809,all-star menu items. which items would be in your card collection?,0.9424051,0.53012776,0.022402100265026,0
