image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_1159,"the’ re got it of to for the,�  drinks-ins windows food.�  about you like?  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",2,1,0.12050196,0.37492433,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.5625,5.15625,0.640625
sonicdrivein_2010,"a first thing of the a own food3 food"""" is that fact  of the. the end. the</ breakfastary # sonicdi#sonic  the the the the the the the the the the the the the the the the the the the the the",28,1,0.36761948,0.37492433,0.19512195121951223,0.025,2.2250738585072626e-308,2.2250738585072626e-308,10.0625,3.765625,0.6328125
sonicdrivein_1691,"i of ago coming too than others, we by the a  hour from 6-4 p today  the the the the the the the the the the the the the the the the the the the the the the the the",4,1,0.13105686,0.37492433,0.10000000000000002,0.025641025641025644,2.2250738585072626e-308,2.2250738585072626e-308,10.1875,3.828125,0.63671875
sonicdrivein_2199,"when you with have, evening???  least times? will inthru are. open  havell having $ 0 every order.  the the the the the the the the the the the the the the the the the the the the the the the the the the",1,1,0.10996011,0.37492433,0.023255813953488372,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,10.5,4.5625,0.59375
sonicdrivein_1885,"the are’  are are lot, they��#
acksgle’ snacks it. a’ dogsies. $.99..   for the,.


 bites#food� #food� - the the the the the the",2,1,0.121591546,0.37492433,0.07971451756743361,2.039762925602366e-308,2.039762925602366e-308,2.039762925602366e-308,10.6875,4.125,0.65625
sonicdrivein_1245,we mom is to wish. you���.. s wish. cone. in the orders butter and. � it re to. a ice. �</ reeseesrees# the the the the the the the the the,13,1,0.20336376,0.37492433,0.16129032258064513,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.25,4.90625,0.6328125
sonicdrivein_1932,"i, to today? i a it. a a-0 1 free of chicken.!  us for aing! the! 6 to the the the the the the the the the the the the the the the the the the the the the the the the the the the",4,1,0.42637685,0.37492433,0.08888888888888888,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,10.75,4.1875,0.65625
sonicdrivein_2031,"we�‍  the, the’re the for 👨: to"" '👩: the the the the the the the the the the the the the the the the the the the the the the the the the the the",1,1,0.55752003,0.37492433,0.028571428571428577,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.6875,4.0,0.76953125
sonicdrivein_809,1 theyou season: are  you do you on your cart??  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.55625844,0.37492433,0.018867924528301883,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.5,5.3125,0.62109375
sonicdrivein_1969,"you coffee:: a#  , it drinking. you else. #baeush #bae #baedrink#b # the the the the the the the the the the the the the the the the the the the the the the the the the the the",1,1,0.28730848,0.37492433,0.025641025641025644,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.125,4.71875,0.640625
sonicdrivein_1517,i’ like so up�  like a dog# 099. bacon bacon rolls ’ s the with chickenakedht goodness and are just and the the the the the the the the the the the the the the the the the the the the the,5,1,0.14898278,0.37492433,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.125,5.5625,0.65234375
