image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_1055,"it's not about the food, it’ s how we eat.",0,1,0.96720773,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1388,"it's time for the sonic adventure, and we’ ve got a lot to look forward to!# sonicadventure— SonicThe Hedgehog Official Twitter Account (@sonichedgehogofficial) January 26th, 2019
we have so many things coming out this month that i can hardly keep track of them all.",3,1,0.9590611,0.35773167,0.06818181818181818,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1821,it's time for your turn! tweet us a pic of what you’ re going to do this weekend and we might feature it on our channel.,3,1,0.97071886,0.35773167,0.1153846153846154,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2173,we need your help! we’ re trying to stop the spread of covid- 19 in new orleans.,1,1,0.98063695,0.35773167,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2193,it's time for you to make your dreams come true.,2,1,0.97515965,0.35773167,0.08131393194811984,9.04647521551e-309,9.04647521551e-309,9.04647521551e-309
sonicdrivein_2074,we’ re here to give you a taste of what we have in store for this week! </s> pic.,4,1,0.90060645,0.35773167,0.1997325221087236,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308
sonicdrivein_2111,we’ ve got to get this out of the way before we can take a selfie! </s> 🕵‍♂️🧑🏼🍦🥤🎉👩🏻🤴󠁶󠁷󨀚⇓ 🥳💖 🤣 ⛏ 🍎🌱#,2,1,0.94598705,0.35773167,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_522,what’ s the best way to tell your mom you love her so much? </s> 👨‍💻👩🏻🧑🏽 🦅🤴󠁶󠁷🇺🇸 🤣🎉🥳# sonicmoments 🙏🙌 🥤 🍪🍇.,1,1,0.92668355,0.35773167,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_618,it's time to get out of your comfort zone and try something new.,0,1,0.9758483,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1508,you don't have to do it.,2,1,0.97464615,0.35773167,0.016595689455954646,1.10779904317048e-309,1.10779904317048e-309,1.10779904317048e-309
sonicdrivein_1566,we're going to have a little bit of fun today.,1,1,0.9789524,0.35773167,0.04965853037914096,1.104938977985153e-308,1.104938977985153e-308,1.104938977985153e-308
sonicdrivein_1188,we’ re going to do something about it! </s> tweet us a photo of your favorite ice cream and we  'll give you one for free.,4,1,0.97134465,0.35773167,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_901,"it's not about the ice cream, it’ s more than that.",1,1,0.9646723,0.35773167,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_601,"when you're at the drive-in with your friends and family, it’ s hard to take a sip of water.",1,1,0.9821139,0.35773167,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1719,"it's time to make a difference, not just for yourself but everyone around you.",2,1,0.9673145,0.35773167,0.07511257491796854,1.1699171882659805e-308,1.1699171882659805e-308,1.1699171882659805e-308
sonicdrivein_1804,we're going to have a party this weekend.,2,1,0.98006594,0.35773167,0.003566058477249814,3.1738973982547e-310,3.1738973982547e-310,3.1738973982547e-310
sonicdrivein_898,it's time for us to take a bite out of it! we can’ t do this on our own.,1,1,0.9760917,0.35773167,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_808,"i 'd like to tell you about it, but i don’ t know if there is an app for that.",1,1,0.9657059,0.35773167,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_524,this is what i’ ve been waiting for all my life.,0,1,0.977548,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1986,`` i'm going to make a sandwich for you.,0,1,0.9784615,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1790,"it's time to add a little bit of joy into your life with our new app! get it now on apple store, google play and more at sonicdrive.",4,1,0.85775054,0.35773167,0.0778436457144726,1.2124550279112174e-308,1.2124550279112174e-308,1.2124550279112174e-308
sonicdrivein_1987,it's time to get in the mood.,1,1,0.9728442,0.35773167,0.06993452279385044,1.0892663493304385e-308,1.0892663493304385e-308,1.0892663493304385e-308
sonicdrivein_1193,"when you’ re about to eat your ice cream and think, “ i wonder what it would sound like if a dog could hear music.",1,1,0.93821377,0.35773167,0.04000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1854,it’ s time to celebrate 2018.,0,1,0.9653342,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_657,what’ s the deal with all of you? </s> 👍👎🤩 🤭💕🎉🧘🏼‍♂️🍦🥤 🥳 🍇🌱 🌸 🚶📷 📺 ✈✊ 🎬 💖 😅 🙌🙋🏻😀😂 😂 😍,1,1,0.9324537,0.35773167,0.041628407307320904,2.1304044600286865e-308,2.1304044600286865e-308,2.1304044600286865e-308
sonicdrivein_1665,"i'm not sure if i’ m going to say this, but it looks like we might be having a good time at the drive-in.",1,1,0.9816295,0.35773167,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1975,we're here to help you find the perfect gift for your mom.,1,1,0.9764938,0.35773167,0.05054422164271945,1.3495755153097447e-308,1.3495755153097447e-308,1.3495755153097447e-308
sonicdrivein_769,it’ s time to kick things up a notch.,1,1,0.97765315,0.35773167,0.04567914338968749,9.14755210518586e-309,9.14755210518586e-309,9.14755210518586e-309
sonicdrivein_1678,we're going to make it a little bit easier for you.,2,1,0.9789305,0.35773167,0.05576737410482851,6.824758945303683e-309,6.824758945303683e-309,6.824758945303683e-309
sonicdrivein_1482,"don't forget to take a sip of water before you eat your ice cream! </s>
Q: what do i drink after eating my dessert?
Options:
- no answer provided in the question.",2,1,0.45532775,0.35773167,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_790,"we don't know what to call it, but we do.",0,1,0.9299564,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1930,it's been a long time since we’ ve had an episode like this.,0,1,0.98043835,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1477,what’ s your favorite ice-cream flavor? </s> 🍦🍪🧀🥤 🤷‍♂️🤴🏼👩🏻🎶# summerfun 🏆 pic.,2,1,0.9068029,0.35773167,0.043932856352621126,0.02396337619233879,5.86523101198632e-309,5.86523101198632e-309
sonicdrivein_1074,we've got something for you too! check it out.,1,1,0.9649253,0.35773167,0.029288570901747406,5.86523101198632e-309,5.86523101198632e-309,5.86523101198632e-309
sonicdrivein_1534,"when you’ re about to order a burger and fries, ask yourself: “ do i really want them or not? 🤔🤷‍♂️🍕🎉# theburgerchallenge 🎈🥤🦅👨🇺🇸 🇪🇹 🧘🏽󠁳󠄱�",2,1,0.9355527,0.35773167,0.07999999999999999,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1415,we've got you covered.,0,1,0.9745058,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_41,we're here to give you a taste of what it’ s all about.,0,1,0.97824156,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_2213,"i don’ t know if you've heard this one before, but i don't think it would be a good idea.",1,1,0.9744319,0.35773167,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1856,"i'm not a fan of the, but i do n’t know what else to say about it.",0,1,0.9043453,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1786,it's time to make a difference in someone’ s life.,1,1,0.97740775,0.35773167,0.014956861922263509,3.32801224685312e-309,3.32801224685312e-309,3.32801224685312e-309
sonicdrivein_363,it's time to celebrate the end of summer.,0,1,0.9789569,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1861,"it's not just about the food, it’ s how you make a difference in your life.",1,1,0.9713315,0.35773167,0.05181431988627502,1.844651018804537e-308,1.844651018804537e-308,1.844651018804537e-308
sonicdrivein_1855,don't make the same mistake again.,0,1,0.9753891,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1635,we all know what we’ re talking about.,1,1,0.9720853,0.35773167,0.00016584755387837396,2.9521844530573e-311,2.9521844530573e-311,2.9521844530573e-311
sonicdrivein_1838,"we're going to make a difference in the lives of our customers, so we’ re giving it all away for free! get yours now before supplies run out.",1,1,0.9528121,0.35773167,0.03571428571428572,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1204,it's time to celebrate the end of june with our most popular dog treats.,2,1,0.97739124,0.35773167,0.1153025352864842,1.7958965995989704e-308,1.7958965995989704e-308,1.7958965995989704e-308
sonicdrivein_1916,"we've all got it in our system, and we can’t wait to see what comes next.",1,1,0.973663,0.35773167,0.00900397869384083,3.205522818275456e-309,3.205522818275456e-309,3.205522818275456e-309
sonicdrivein_1031,it's time for a new season of sonic the hedgehog.,1,1,0.96945155,0.35773167,0.030119421191220207,6.701793672595377e-309,6.701793672595377e-309,6.701793672595377e-309
sonicdrivein_2221,it's time to make a reservation.,1,1,0.97810966,0.35773167,0.01616199464406751,2.15769790703094e-309,2.15769790703094e-309,2.15769790703094e-309
sonicdrivein_2073,"it’ s time for the 2018 sonic mile marathon, and we want you to show us what it looks like with your own unique style!# sonicmilemarch 🧦🎶🏃🚴‍♂️ pic.",3,1,0.93861574,0.35773167,0.10714285714285714,0.037037037037037035,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1895,it’ s 3:15 pm and you still haven' t made it to the drive-thru yet.,0,1,0.9690489,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1532,"this is what you get when u order all 3 of them at the same time: apple juice, cranberry sauce and vanilla ice cream.",0,1,0.9494917,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_697,we're going to take a trip around the house.,1,1,0.9817417,0.35773167,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1767,"i don’ t know what i am going to do with this, but if there is one thing that makes me happy it's a hot dog and french fries 🍔🍕🤷🏼‍♂️👨🏻🧑💚🥗 🤦🎉 🙌🙏# icecreamsmunch 🥤😳",2,1,0.93050194,0.35773167,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1150,why do we need to dress up like this? </s> it’ s just for fun! 👍👌🎉🧘🏼‍♂️🤩#mondaymotivation 🙈🙏💕🍲 🍇🥤 🥪☀️🌱 🦅🐶📸 📷 💚 🤣 �,1,1,0.93531954,0.35773167,0.028637053282957174,1.5292694074701025e-308,1.5292694074701025e-308,1.5292694074701025e-308
sonicdrivein_2035,it's time to make your life a little sweeter with some of the best ice cream flavors out there!# sonicdrivein2017 pic.,2,1,0.9343965,0.35773167,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2091,i'm so excited to get my new sonic ranger this summer! i can’ t wait till it comes out in the fall season.,1,1,0.9693758,0.35773167,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1091,"we're not going to make it all the way, are we? ⮙⬇️ pic.",1,1,0.8929347,0.35773167,0.05236249217872196,1.5146353626711476e-308,1.5146353626711476e-308,1.5146353626711476e-308
sonicdrivein_1141,"when you think about all the things we're missing out on because of covid-19, it doesn’ t get much better than this.",3,1,0.9633331,0.35773167,0.12451373403849032,2.031716533983919e-308,2.031716533983919e-308,2.031716533983919e-308
sonicdrivein_857,it's time to make your own plan for the rest of this year.,2,1,0.9710098,0.35773167,0.08979161202208832,1.2986542960532383e-308,1.2986542960532383e-308,1.2986542960532383e-308
sonicdrivein_2124,"when you’ re ready for something different, we have got it … and so much more.",0,1,0.8733575,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1052,it ’ s time to get out of your comfort zone and try something new.,3,1,0.97577226,0.35773167,0.13406400920712788,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308
sonicdrivein_1900,"when you’ re in the mood for something sweet, why not make your own ice cream sundae at home? it only takes a few simple ingredients to whip up an amazing treat.",2,1,0.9785848,0.35773167,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1654,"we’ re here for you, and we ‘re going to be there too.",1,1,0.96971446,0.35773167,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1991,"it's time to make your voice heard! we’ re here for you, so please let us know what it is that makes a difference in our lives.",2,1,0.97181475,0.35773167,0.07407407407407407,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1805,"what’ s wrong with you?, what are we missing out on by not getting a burger and drink combo deal today?? 🤔🤣# getyourdrinksnow 🙅🏻‍♀️🙋🏼🚨🥤🍦🎉👩💻@ theburgerclub pic.",1,1,0.90918565,0.35773167,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1129,it's time to add a little bit more flavor into your life.,3,1,0.98024654,0.35773167,0.16481015755011091,1.4668590927248608e-308,1.4668590927248608e-308,1.4668590927248608e-308
sonicdrivein_1887,"we're not going to tell you what it is, but we do n’t know.",0,1,0.94431937,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1687,it's been a long time since we’ ve had this kind of thing.,0,1,0.98243135,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1386,"you know what i’ d like to do? </sarcasm><sup style=""font-weight: bold; font-size:-20px"">i would love it if you texted me first thing in the morning.",4,1,0.97364175,0.35773167,0.12500000000000003,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_940,"i’ d like to know what you think of our new menu, but i don 't have the money.",3,1,0.9796174,0.35773167,0.14979939158154268,2.110993164779763e-308,2.110993164779763e-308,2.110993164779763e-308
sonicdrivein_1059,it's time to celebrate all of the things that make your day better than it was last week! tweet us a pic and we’ ll share them with everyone on twitter.,4,1,0.97348726,0.35773167,0.12903225806451615,0.03333333333333333,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_842,we're going to make it a little bit easier for you.,1,1,0.9789305,0.35773167,0.040112106159998544,9.8177638708909e-309,9.8177638708909e-309,9.8177638708909e-309
sonicdrivein_1392,"in the grand scheme of things, it's not a big deal.",1,1,0.9826324,0.35773167,0.03662639286628481,8.964607222800593e-309,8.964607222800593e-309,8.964607222800593e-309
sonicdrivein_1545,"we're here to help you celebrate your special day, and we have a few tips on how to do it right.",2,1,0.9772923,0.35773167,0.09523809523809525,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1914,it's time to get rid of all the things that don’ t fit in your bag.,1,1,0.9783595,0.35773167,0.024475351667299937,8.713514427628997e-309,8.713514427628997e-309,8.713514427628997e-309
sonicdrivein_2236,we've got somethin’ for you.,0,1,0.9750132,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_2194,it's been a long time since we’ ve had the munchies.,1,1,0.98247683,0.35773167,0.02788368705241425,6.824758945303683e-309,6.824758945303683e-309,6.824758945303683e-309
sonicdrivein_2028,what do you think i’ d like to eat for lunch today? </s> 🍔🍟🥦🧀🤷‍♂️👨🏼 👩 🕎 🤣 🥗🎉💚#foodporn 📸 pic.,1,1,0.9128157,0.35773167,0.05000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_954,it's been a while since we’ ve had our own dining room.,0,1,0.9830071,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1619,what are you waiting for? it’ s time to get your hands on a sonic screwdriver!# sonicscrewdriver </s> 🤔🤓🕵️‍♂🎉👩🏽💰 👨🍦 🧠 💚 🍇 🥤 🎬 📷📸 ✌✊☺🐶,4,1,0.9429613,0.35773167,0.04699610030104859,7.058461110636273e-309,7.058461110636273e-309,7.058461110636273e-309
sonicdrivein_1107,we’ ve got 10% off of all items in the cart when you sign up for our delivery service.,1,1,0.9011109,0.35773167,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1754,it's time for you to take a sip of your favorite drink.,1,1,0.9807443,0.35773167,0.008783268713488694,2.34521059279541e-309,2.34521059279541e-309,2.34521059279541e-309
sonicdrivein_2150,it's time to stop thinking about what you’ re missing out on and start enjoying all the things that are coming your way.,2,1,0.97026694,0.35773167,0.08695652173913045,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1007,"it's all about what we do, not how much it costs.",1,1,0.96191615,0.35773167,0.0757957198250164,1.8551618224632315e-308,1.8551618224632315e-308,1.8551618224632315e-308
sonicdrivein_1146,"it's not just about food, it’ s all of us.",0,1,0.9565571,0.35773167,0.0,0.0,0.0,0.0
sonicdrivein_1879,we're all set to celebrate the end of summer with our favorite ice cream flavors this week.,2,1,0.97224224,0.35773167,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_658,"it's time to make a difference in your life, not just for yourself but others too.",1,1,0.9720321,0.35773167,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
