train_loss,test_loss,save
1.5379941284656524,1.8655316680669785,V
1.5027220606803895,1.753733217716217,V
1.4617993086576462,1.688012719154358,V
1.4437267392873765,1.6819767951965332,V
1.434287503361702,1.6717309355735779,V
1.4259158313274383,1.6883549392223358, 
1.4174775153398513,1.6668007373809814,V
1.401365578174591,1.6622956991195679,V
1.3891533702611922,1.6783273667097092, 
1.3797076761722564,1.6526354402303696,V
1.3664702296257019,1.6354722380638123,V
1.349570870399475,1.623426154255867,V
1.327399232983589,1.6190283298492432,V
1.3136085897684098,1.61710724234581,V
1.2969859749078751,1.5988150835037231,V
1.2803604662418366,1.5976851135492325,V
1.2610458254814148,1.6131806671619415, 
1.2520459711551666,1.6213219910860062, 
1.2398022323846818,1.611839771270752, 
1.224950060248375,1.5913302153348923,V
1.2193098366260529,1.6189288198947906, 
