train_loss,test_loss,save
3.930443548387097,3.8794642857142856,V
3.852318548387097,3.7901785714285716,V
3.754032258064516,3.6941964285714284,V
3.668850806451613,3.6339285714285716,V
3.619959677419355,3.59375,V
3.5932459677419355,3.575892857142857,V
3.576108870967742,3.5558035714285716,V
3.565524193548387,3.5513392857142856,V
3.561491935483871,3.546875,V
3.5559475806451615,3.5401785714285716,V
3.5453629032258065,3.533482142857143,V
3.540826612903226,3.529017857142857,V
3.533266129032258,3.5267857142857144,V
3.5317540322580645,3.5245535714285716,V
3.5297379032258065,3.5245535714285716, 
3.524193548387097,3.513392857142857,V
3.5221774193548385,3.513392857142857, 
3.518649193548387,3.5089285714285716,V
3.517641129032258,3.502232142857143,V
3.511592741935484,3.502232142857143, 
3.5080645161290325,3.497767857142857,V
3.509576612903226,3.497767857142857, 
3.505040322580645,3.4933035714285716,V
3.5055443548387095,3.497767857142857, 
3.502016129032258,3.4955357142857144, 
3.5005040322580645,3.4955357142857144, 
3.4984879032258065,3.4955357142857144, 
3.495967741935484,3.486607142857143,V
3.497983870967742,3.4888392857142856, 
3.4964717741935485,3.486607142857143, 
3.4924395161290325,3.4888392857142856, 
3.492943548387097,3.4888392857142856, 
3.4899193548387095,3.484375,V
3.4889112903225805,3.482142857142857,V
3.489415322580645,3.482142857142857, 
3.489415322580645,3.4799107142857144, 
3.4889112903225805,3.4732142857142856, 
3.4858870967741935,3.4799107142857144,V
3.4828629032258065,3.4732142857142856,V
3.480342741935484,3.4732142857142856, 
3.483366935483871,3.4754464285714284, 
3.4818548387096775,3.4754464285714284, 
3.481350806451613,3.4732142857142856, 
3.4788306451612905,3.4776785714285716, 
3.483366935483871,3.470982142857143, 
3.481350806451613,3.46875,V
3.4798387096774195,3.470982142857143, 
3.478326612903226,3.466517857142857,V
3.4763104838709675,3.4732142857142856, 
3.477318548387097,3.470982142857143, 
