image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss
imgflip_319,"when, you do do do you be i?? that to break up with you me the data!###ItItItaaaaaaaaItItItaaaaaaaaa",7,1,0.05176189,0.34471947,0.17647058823529413,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,6.78125
imgflip_51,i were i are they all to make them to on little thing and them.  them out. theIIIIIaaaaaaaIIIIIHereHereHereHereHereHereHereHereHereHereIIHereHereHereHereIIHereHerea,3,1,0.04427042,0.34471947,0.11111111111111109,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,7.5
imgflip_762,"i i child says you you' you' and and to you to incident, he  know the duck but  just. i was young to it ton..IaaiiiiiiiiiiiI",9,1,0.028514605,0.34471947,0.17738408734343147,0.03695501819654822,1.9734634783151916e-308,1.9734634783151916e-308,7.09375
imgflip_162,"so i're going to getdrop on you's a, them can noise, by,,,, it   it kicks like me it. come there. it..        and      the the        ",4,1,0.044970077,0.34471947,0.08240507877505547,0.028662636095671462,1.4668590927248608e-308,1.4668590927248608e-308,5.9375
imgflip_348,i phone  she to i  like i about to have to day result  your life. if  year day  i your plan day.  the the the  the  the the the the the the the the    the the the the,22,1,0.089857996,0.34471947,0.1842105263157895,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.5625
imgflip_538,"and  to stop up to it is,,,,,, and you for,, iItItItItItItItItItItItItItItItItItItItItItItItItItItItItItIt",3,1,0.44739452,0.34471947,0.1154066216255058,1.412335412826535e-308,1.412335412826535e-308,1.412335412826535e-308,7.75
imgflip_87,"i i i do if i  i ill. a? i: i   t know  i it! i about me... i, no! - i ? it.?.. ItItItItItItItItItItItItItItIII",11,1,0.058007423,0.34471947,0.09824769036935783,1.8217363958297824e-308,1.8217363958297824e-308,1.8217363958297824e-308,6.8125
imgflip_218,"i i  a same look, a0 to, i up on me google people later; work.:.   on on #II####III####II#################III",1,1,0.13337034,0.34471947,0.04971329537857608,1.991083571408152e-308,1.991083571408152e-308,1.991083571408152e-308,7.03125
imgflip_29,"they, i?? what to tell a here  in zombies? that they going in in about i to answer ? you like?  aItItItItItItItItHere",4,1,0.05152211,0.34471947,0.12451373403849032,2.031716533983919e-308,2.031716533983919e-308,2.031716533983919e-308,7.15625
imgflip_184,i person i i came and person was in the house's house; i time he a next few years; was been me with said  been him; i  was here i was out.. i was me was was he is.! to be out out out ii#i#i,13,1,0.03615617,0.34471947,0.14232512446911594,2.035825160560857e-308,2.035825160560857e-308,2.035825160560857e-308,6.21875
