image_id,caption,fluency,diversity
mcdonalds_switzerland_691,"just because you can’t see something, doesn’t mean it doesn’t exist",0.9462208,0.5135314
mcdonalds_switzerland_735,tip for a movie night: “nuggets of the fryabean” with mcdelivery.,0.57925934,0.5135314
mcdonalds_switzerland_625,always a smart first move: going to mcdonald’s. 💛,0.85997456,0.5135314
mcdonalds_switzerland_662,some nuggets are more precious than others. you decide which ones.,0.9679289,0.5135314
mcdonalds_switzerland_645,what’s your favorite big bang combo? 😍 💛,0.9368753,0.5135314
mcdonalds_switzerland_237,what is your most used pick up line? 😉,0.9640569,0.5135314
mcdonalds_switzerland_81,there are certain advice that you just want to take! 👀,0.95823145,0.5135314
mcdonalds_switzerland_90,seems like @davina._.zh knows where to find the most beautiful skylines.,0.6287719,0.5135314
mcdonalds_switzerland_769,"sorry diamonds, but life is better with barbecue sauce!",0.82014364,0.5135314
mcdonalds_switzerland_242,"you asked for it, you get it !",0.9291278,0.5135314
mcdonalds_switzerland_293,"name the top hit. i'd say ''mcflurry flow""",0.7036897,0.5135314
mcdonalds_switzerland_122,me. every. single. time.,0.35252598,0.5135314
mcdonalds_switzerland_637,"""hurry up painting me, alfred. my fries are getting cold!“ 🍟",0.93985116,0.5135314
mcdonalds_switzerland_419,my style for chilling on sundays. what's yours? #style #sunday,0.7677862,0.5135314
mcdonalds_switzerland_364,do you recognize these characters? only cool kids do.​,0.9782275,0.5135314
mcdonalds_switzerland_232,the mccrispy is so iconic it sticks in your mind.,0.9548794,0.5135314
mcdonalds_switzerland_737,just that you know: you are perfect exactly as you are.,0.91095454,0.5135314
mcdonalds_switzerland_165,i asked the ai to predict my future in a frappé.,0.79962075,0.5135314
mcdonalds_switzerland_448,are we right 🤭? let us know in the comments ⬇️,0.7097785,0.5135314
mcdonalds_switzerland_13,i'll call it ''shooting fries night''.,0.9123717,0.5135314
mcdonalds_switzerland_481,a dream sunday... sleeping in and waking up to this 🙌!,0.7521967,0.5135314
mcdonalds_switzerland_236,la dolce mcdonald‘s. picking up your order in style.,0.8754564,0.5135314
mcdonalds_switzerland_447,here’s a little secret for the fries lovers… 🤫 🍟,0.82319397,0.5135314
mcdonalds_switzerland_480,when you really need a good coffee ☕ 💪,0.94941914,0.5135314
mcdonalds_switzerland_732,"come on, you all know what we meme!",0.43272585,0.5135314
mcdonalds_switzerland_725,has the best taste in movies: the big tasty double bacon.,0.7367049,0.5135314
mcdonalds_switzerland_52,your fr.1.- hamburger is back in the game today!,0.7039346,0.5135314
mcdonalds_switzerland_168,i think the swiss #aurora is trying to tell me something.,0.9303072,0.5135314
mcdonalds_switzerland_721,"cuz you know, you owe me 6 fries from last time",0.7553166,0.5135314
mcdonalds_switzerland_395,wanna know how delicious the mcflurry® ragusa® is??? 😉 @ragusa_original,0.85506976,0.5135314
mcdonalds_switzerland_60,"from now on, i'll place all my orders as @_giganto_.​",0.8912797,0.5135314
mcdonalds_switzerland_377,who's your favorite crew to hang out with at #mcdonalds? ✌️,0.91873336,0.5135314
mcdonalds_switzerland_7,"follow me, i'll take you to a wonderfully tasty place.",0.96326756,0.5135314
mcdonalds_switzerland_180,y'all already know the game: this time it won't be easy!,0.9533512,0.5135314
