image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_555,the hotating the�  �  1: the red of of the favorite!  sure the  for� for the content! our new channel!  the the the the the the the the the the the the the the the the the the the the the the the,33,1,0.14211777,0.3708947,0.13953488372093023,0.023809523809523808,2.2250738585072626e-308,2.2250738585072626e-308,11.75,4.875,0.69140625
sonicdrivein_1970,the ahead go it hands!! ''02 of.. 10. the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,0,1,0.4555067,0.3708947,0.0,0.0,0.0,0.0,12.4375,5.25,0.71875
sonicdrivein_2100,it is to the day day?3> or in filing>  the the? aat? </3 a> </02 offoff special day today!  the the the the the the the the the the the the the the the the the the the the,5,1,0.45967647,0.3708947,0.10256410256410255,0.026315789473684213,2.2250738585072626e-308,2.2250738585072626e-308,12.75,5.8125,0.69140625
sonicdrivein_308,"the  up with the @ al19 to make about day. a of our faves products. the list channel edition  ’iest..  sure to check in on the mom upupin on plus rubsdance, and more-jerking moments. up.. # momf",12,1,0.07407617,0.3708947,0.2990655963289861,0.05122882900079852,2.05178270780908e-308,2.05178270780908e-308,10.8125,3.890625,0.69140625
sonicdrivein_1992,in up  it</ ) it a buggy?) </ cups  ugs #hdool  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.6572743,0.3708947,0.024390243902439022,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,13.5,6.53125,0.69921875
sonicdrivein_1266,a. know’ t get.  messageish! @577672 get your1  off59 off of. sticks.. day. the1/1/  1090a the the the the the the the,1,1,0.33098733,0.3708947,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,10.625,3.90625,0.66796875
sonicdrivein_1291,i you mom is as a phone bank  you  s time to get a out the store-thru.  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,39,1,0.32366335,0.3708947,0.12244897959183675,0.041666666666666664,2.2250738585072626e-308,2.2250738585072626e-308,10.5,3.53125,0.69921875
sonicdrivein_676,"the it the heat! a new  candy!!!! # dayday # kids slush here new of theaysayz for... by license from  app available on all stores.  may vary by #.99. the  size..
 stock offer. select",12,1,0.043875363,0.3708947,0.1345786442084409,0.015406309438003337,1.131245820756973e-308,1.131245820756973e-308,11.75,4.78125,0.69921875
sonicdrivein_2190,it- money for the' flix.s  on the @ baydayoodle. again# in the hashtag  we your@netnight and to get the the the the the the the the the the the the the the the the the the the,25,1,0.20300296,0.3708947,0.13513513513513517,0.02777777777777778,2.2250738585072626e-308,2.2250738585072626e-308,12.0,5.21875,0.67578125
sonicdrivein_1497,the a hands drink# onut  in aake to � off! in time for the!  anngi!# ’ s all hour! the the the the the the the the the the the the the the the the the the the the the the,27,1,0.38979182,0.3708947,0.0975609756097561,0.05000000000000001,0.025641025641025644,2.2250738585072626e-308,11.75,4.6875,0.70703125
