image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_652,"when you get a drink in your car and it’s not hot, but when the water is still cold.",1,1,0.92415535,0.42549327,0.05263157894736841,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1035,“ it’s not a game.,0,1,0.94647866,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_1607,"@ therealdanny: i’ m not a cat, but my dog is one of our best friends! # toast to all your tummies.",1,1,0.8569309,0.42549327,0.04545454545454546,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1762,@ kathybaldwin: i’m so excited to be a part of this project! # forevergoodlife is here for you guys and me.,5,1,0.945155,0.42549327,0.23809523809523808,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2184,what are you gonna do with this? it’ s not like we have to buy a bunch of hot dogs for just one price.,5,1,0.97657645,0.42549327,0.20833333333333334,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_996,"`` hey, it’s time for a haircut! ''# how to get the most out of your budget? check this video now.",0,1,0.9699168,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_1280,"what’ s up with you today?#morningcall
i like it! :3) 🤩🤣👌🏻🧠💕🥤🍦🌱😊🎉🙏🏽😂📷☀️🐶⛈️@thehippiechur 🍪🔥🚀✨ 🌟♻�",0,1,0.8907087,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_903,we’ re going to have a great time at the ice cream shop! # goice@ mcdonalds.,0,1,0.9551669,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_2021,"when you’ re looking for something to eat, but the only thing that tastes good is cheese.",3,1,0.976008,0.42549327,0.11022965788240137,1.389858404389205e-308,1.389858404389205e-308,1.389858404389205e-308
sonicdrivein_2085,you know what i love about this video? it’ s the sound of your phone vibrating when you get a text! </s>#humbletuesday<30178@soundsofyourphone.,3,1,0.9259281,0.42549327,0.050347598166432604,1.2322983697063314e-308,1.2322983697063314e-308,1.2322983697063314e-308
sonicdrivein_594,this is the most important thing you've ever seen.,0,1,0.97277224,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_1681,the recipe is easy and the ingredients are all in one bowl.,2,1,0.9697555,0.42549327,0.06664160905747456,8.89695013215885e-309,8.89695013215885e-309,8.89695013215885e-309
sonicdrivein_1923,"we’ re not just going to give you a ride home, we are also giving it back.",0,1,0.9659266,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_316,"and i’ m like “ yeah, you know what? we all love the way that.",1,1,0.49623677,0.42549327,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1086,"it’ s the best time of year to eat out, get your food delivery and order a drink.",0,1,0.90270156,0.42549327,0.0,0.0,0.0,0.0
sonicdrivein_617,"i'm not sure if this is the best way to do it, but i know you can get a little more than just some food.",2,1,0.9754621,0.42549327,0.04052935938924716,1.127260225988247e-308,1.127260225988247e-308,1.127260225988247e-308
sonicdrivein_1448,i’ m excited to talk about the new game that i created for our friends.,1,1,0.9822788,0.42549327,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1424,what are you thinking about? what do u want to eat for dinner tonight??# tpt 2018& quot; summer’ s menu of the year.,1,1,0.7374916,0.42549327,0.043478260869565216,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_2127,the last thing i wanted to do in this world is eat a cookie.,0,1,0.9803153,0.42549327,0.0,0.0,0.0,0.0
