image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
sonicdrivein_457,it’ s a 50¢ slush today! 😋# sonicdrinkshopwag@ 🍦🥤.,0,1,0.91470313,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_798,a 50¢ slushy is a new deal.,0,1,0.91335213,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_649,we're not just going to get you some of the best drinks in town.,2,1,0.97724974,0.43936795,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_363,you’ re not ready for a summer night? head to sonic tonight! get your ice cream and grab some slushies.,2,1,0.9805319,0.43936795,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_413,we're all in this together.,0,1,0.95711976,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_234,it’ s a blast to see the new sonic candy bar.,0,1,0.9722446,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_590,you’ re not the only one who needs a break.,0,1,0.9813861,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_57,you can get your hands on a sonic boom in just 15 minutes.,1,1,0.9664727,0.43936795,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1572,it’ s time to celebrate your 10th anniversary with a sonic drink! we know you deserve it.,2,1,0.9789899,0.43936795,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_196,we’ re not done! just a few more sonic moments to share with you.,0,1,0.95738024,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_1272,"we’ re not just celebrating the end of summer, we're also enjoying a sweet treat.",1,1,0.97489876,0.43936795,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_409,"the hot dog is back! it’ s a sonic, and we can not get enough of them.",2,1,0.8551851,0.43936795,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_430,it’ s time to go big.,0,1,0.96063066,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_571,1.,0,1,0.8619599,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_1337,the one-way tickets to the sonic drive in.,2,1,0.9342474,0.43936795,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308
sonicdrivein_644,the world is getting smaller.,1,1,0.9846347,0.43936795,0.10976232721880529,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308
sonicdrivein_98,the drive-in is back! 🍔🍒🥤 get your sonic app and grab a drink before it’ s too late.,1,1,0.9511327,0.43936795,0.05555555555555554,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_560,what’ s your favorite thing to do in the car? we asked our readers and they shared their answers.,2,1,0.9455777,0.43936795,0.10526315789473682,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_69,you can always have a blast with your family.,0,1,0.9807082,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_143,this is a fun day for the 10-year olds in our hearts.,2,1,0.946491,0.43936795,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_760,it’ s the time of year to make your favorite ice cream shake.,0,1,0.9646904,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_753, this is a good time to celebrate.,0,1,0.98249996,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_1094,"your favorite drink, your fave flavor.",0,1,0.9436455,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_670,this is the sonic app that’ s coming to drive-in.,0,1,0.96739256,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_976,"we’ re not talking about, but we are.",0,1,0.67289686,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_1289,it’ s time to get your hands on the best new flavors of sonic drinks.,0,1,0.9719241,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_2052,our favorite dog food is 100% real.,0,1,0.9582878,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_2115,get a taste of the summer with our 1/2 price corn dogs.,0,1,0.9071913,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_369,we’ re all about the cheese.,0,1,0.97642785,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_499,it’ s a blast to be in the middle of it.,1,1,0.96099585,0.43936795,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_344,"it’ s time to get your sonic! head over and check out our newest app, available for the iphone 4s.",0,1,0.9696093,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_742,this is the first time in my life that i’ ve been able to enjoy a 50¢ sonic drink at our local drive-in.,2,1,0.9807926,0.43936795,0.08695652173913045,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1615,the best part about the 10-year anniversary of sonic is that it’ s all free.,0,1,0.96895325,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_2142,# sonicfoodday is here! our first day of the year at this restaurant.,1,1,0.9161025,0.43936795,0.07692307692307693,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1909,this is the perfect time to show your support for our new sonic app.,0,1,0.96789795,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_1115,"we’ re excited to announce our new menu at sonic today! 1/2 price cheeseburgers, fries and drinks only.",0,1,0.95797163,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_1280,a delicious sonic slush.,1,1,0.9127849,0.43936795,0.09196986029286058,8.18558927632837e-309,8.18558927632837e-309,8.18558927632837e-309
sonicdrivein_906,you’ re not the only one who loves a hot dog.,0,1,0.9777884,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_402,now you can get a 50¢ shake with your favorite sonic drink.,0,1,0.9505213,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_905,this is the best time of year to get a deal on all our summer faves.,0,1,0.9408161,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_645,"a few weeks ago, we were talking about the best places to go for a night out.",1,1,0.9797697,0.43936795,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_788,you can’ t have a happy hour without 1/2 price drinks.,2,1,0.8766717,0.43936795,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
sonicdrivein_1199,our 10 best-selling halloween treats are here!# jackojacketsurday is a must for the kids and their parents.,0,1,0.9292397,0.43936795,0.0,0.0,0.0,0.0
sonicdrivein_864,you’ re the only one who knows how to make a sonic blast! 🎥# tptchallenge.,1,1,0.92249036,0.43936795,0.06666666666666667,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
