caption_loss,fc_loss,loss
8.25,0.671875,15.0
8.75,0.671875,15.5
7.90625,0.6640625,14.5
7.90625,0.66015625,14.5
8.125,0.67578125,14.875
8.3125,0.66015625,14.875
8.4375,0.6796875,15.25
8.5,0.68359375,15.375
7.8125,0.6640625,14.4375
8.5,0.671875,15.25
8.3125,0.66796875,15.0
8.1875,0.6640625,14.8125
8.3125,0.67578125,15.0625
7.59375,0.6875,14.5
8.4375,0.67578125,15.1875
8.3125,0.67578125,15.0625
8.125,0.66796875,14.8125
8.3125,0.66015625,14.875
8.3125,0.6640625,14.9375
7.84375,0.67578125,14.625
8.5625,0.671875,15.25
7.84375,0.67578125,14.625
8.0,0.671875,14.75
7.65625,0.66796875,14.375
7.90625,0.6640625,14.5
8.1875,0.6796875,15.0
8.5,0.6796875,15.3125
8.125,0.671875,14.875
8.1875,0.67578125,14.9375
7.96875,0.68359375,14.8125
8.3125,0.66796875,15.0
8.5,0.6796875,15.3125
8.5,0.66796875,15.1875
8.125,0.671875,14.875
7.90625,0.66796875,14.625
7.90625,0.6640625,14.5
8.3125,0.67578125,15.0625
8.5,0.6640625,15.125
8.75,0.66796875,15.4375
8.6875,0.671875,15.375
7.875,0.6796875,14.6875
7.96875,0.66796875,14.625
7.875,0.68359375,14.75
8.4375,0.6640625,15.0625
8.375,0.671875,15.125
8.125,0.671875,14.875
8.375,0.671875,15.125
7.71875,0.6640625,14.375
8.4375,0.66796875,15.125
8.625,0.671875,15.375
7.78125,0.6796875,14.625
8.0,0.67578125,14.75
7.75,0.67578125,14.5
8.0625,0.671875,14.75
8.375,0.67578125,15.125
8.0625,0.67578125,14.8125
7.6875,0.6796875,14.5
7.9375,0.671875,14.625
8.1875,0.6875,15.0625
7.875,0.6796875,14.6875
8.1875,0.671875,14.875
8.0625,0.66796875,14.75
8.375,0.6640625,15.0
8.0,0.67578125,14.75
8.5,0.66796875,15.1875
8.0,0.6796875,14.8125
7.90625,0.671875,14.625
8.0625,0.68359375,14.875
8.0,0.6640625,14.625
8.3125,0.66796875,15.0
8.25,0.6796875,15.0625
8.6875,0.671875,15.375
8.125,0.66796875,14.8125
7.8125,0.68359375,14.625
8.125,0.671875,14.875
8.25,0.67578125,15.0
8.125,0.671875,14.875
7.75,0.68359375,14.625
7.84375,0.67578125,14.625
8.5625,0.6640625,15.1875
7.875,0.67578125,14.625
8.125,0.66796875,14.8125
8.625,0.6640625,15.25
8.4375,0.66796875,15.125
8.3125,0.671875,15.0
8.25,0.67578125,15.0
8.125,0.66796875,14.8125
7.78125,0.6640625,14.375
8.8125,0.671875,15.5
8.5,0.6640625,15.125
8.0625,0.671875,14.75
7.96875,0.6640625,14.625
7.96875,0.68359375,14.8125
8.5,0.66796875,15.1875
7.875,0.671875,14.625
8.25,0.671875,15.0
8.1875,0.66796875,14.875
8.4375,0.68359375,15.25
8.0,0.6796875,14.8125
8.1875,0.671875,14.875
8.375,0.671875,15.125
8.3125,0.6796875,15.125
8.25,0.68359375,15.125
8.0625,0.671875,14.75
8.3125,0.66796875,15.0
7.78125,0.671875,14.5
8.375,0.6796875,15.1875
7.90625,0.66796875,14.625
8.0,0.67578125,14.75
7.8125,0.66796875,14.5
8.375,0.66796875,15.0625
8.5,0.6640625,15.125
8.5,0.671875,15.25
7.75,0.66796875,14.4375
8.125,0.67578125,14.875
8.3125,0.66796875,15.0
8.4375,0.66796875,15.125
7.84375,0.671875,14.5625
8.5,0.6640625,15.125
8.0625,0.66796875,14.75
8.0,0.66796875,14.6875
7.9375,0.6796875,14.75
8.5,0.66796875,15.1875
8.5625,0.66015625,15.125
8.0625,0.67578125,14.8125
7.96875,0.6640625,14.625
7.71875,0.671875,14.4375
8.3125,0.66796875,15.0
7.71875,0.6796875,14.5
8.4375,0.6640625,15.0625
8.0,0.6640625,14.625
8.125,0.6640625,14.75
8.125,0.6640625,14.75
8.5,0.671875,15.25
8.1875,0.671875,14.875
8.3125,0.671875,15.0
7.75,0.66796875,14.4375
8.375,0.65625,14.9375
7.59375,0.66796875,14.25
7.5625,0.671875,14.25
8.3125,0.6640625,14.9375
8.125,0.6640625,14.75
7.78125,0.67578125,14.5
7.96875,0.67578125,14.75
8.5625,0.671875,15.25
8.0,0.6640625,14.625
7.96875,0.671875,14.6875
7.875,0.6640625,14.5
7.59375,0.671875,14.3125
8.0625,0.67578125,14.8125
7.96875,0.671875,14.6875
7.5,0.66015625,14.125
7.875,0.66796875,14.5625
8.125,0.66015625,14.75
8.1875,0.671875,14.875
7.5,0.6875,14.375
7.96875,0.6640625,14.625
8.25,0.66015625,14.875
8.0,0.66796875,14.6875
8.3125,0.66015625,14.875
8.3125,0.66796875,15.0
7.6875,0.6640625,14.3125
7.84375,0.671875,14.5625
8.125,0.66015625,14.75
7.5625,0.66015625,14.125
7.90625,0.6640625,14.5
8.125,0.65625,14.6875
8.3125,0.66796875,15.0
7.9375,0.6640625,14.5625
7.5,0.6640625,14.125
8.375,0.65625,14.9375
7.875,0.66015625,14.5
7.96875,0.6640625,14.625
8.1875,0.65234375,14.75
7.875,0.671875,14.625
7.8125,0.65234375,14.375
7.625,0.65625,14.1875
8.0625,0.65625,14.625
7.96875,0.65625,14.5
7.5,0.6640625,14.125
8.1875,0.65625,14.75
8.125,0.6796875,14.9375
7.9375,0.65625,14.5
7.40625,0.671875,14.125
7.75,0.6484375,14.25
7.96875,0.66015625,14.5625
7.8125,0.671875,14.5
8.25,0.66015625,14.875
7.875,0.65625,14.4375
8.1875,0.65625,14.75
7.71875,0.66796875,14.375
7.96875,0.6796875,14.75
7.84375,0.66796875,14.5
7.5625,0.66015625,14.125
7.21875,0.66796875,13.875
7.71875,0.66015625,14.3125
8.0625,0.65625,14.625
7.5,0.65625,14.0625
8.6875,0.6640625,15.3125
7.71875,0.65234375,14.25
7.78125,0.65625,14.375
7.40625,0.64453125,13.875
7.65625,0.65625,14.25
7.53125,0.671875,14.25
7.8125,0.66015625,14.375
7.71875,0.6796875,14.5
8.1875,0.64453125,14.625
7.8125,0.67578125,14.5625
8.125,0.65234375,14.625
7.5625,0.65625,14.125
7.5625,0.6640625,14.1875
7.875,0.65625,14.4375
7.59375,0.64453125,14.0
7.8125,0.66015625,14.375
7.75,0.6640625,14.375
7.5625,0.6484375,14.0625
7.78125,0.65234375,14.3125
7.8125,0.63671875,14.1875
7.875,0.640625,14.25
7.59375,0.64453125,14.0
7.90625,0.65625,14.5
7.53125,0.65234375,14.0625
7.9375,0.6484375,14.4375
8.0625,0.65234375,14.625
7.25,0.65234375,13.75
7.6875,0.67578125,14.4375
7.5625,0.65234375,14.125
8.25,0.65625,14.8125
7.40625,0.6640625,14.0
7.6875,0.65234375,14.25
7.625,0.6484375,14.125
7.8125,0.6484375,14.3125
7.6875,0.65625,14.25
8.125,0.64453125,14.5625
8.1875,0.640625,14.625
7.6875,0.640625,14.125
7.59375,0.65234375,14.125
7.6875,0.65234375,14.25
7.875,0.6484375,14.375
7.65625,0.65234375,14.1875
7.3125,0.64453125,13.75
7.5,0.63671875,13.875
7.4375,0.64453125,13.875
7.625,0.640625,14.0
7.71875,0.640625,14.125
7.8125,0.64453125,14.25
7.28125,0.64453125,13.75
7.53125,0.63671875,13.875
7.71875,0.65234375,14.25
8.25,0.64453125,14.6875
7.84375,0.6484375,14.375
7.8125,0.64453125,14.25
7.25,0.6328125,13.5625
7.625,0.65625,14.1875
7.6875,0.65625,14.25
7.6875,0.64453125,14.125
7.53125,0.62890625,13.8125
7.71875,0.6328125,14.0
7.875,0.66015625,14.5
8.0,0.6328125,14.3125
7.4375,0.65234375,14.0
7.71875,0.6328125,14.0
7.65625,0.6328125,14.0
7.6875,0.62890625,14.0
7.46875,0.63671875,13.875
7.1875,0.640625,13.625
7.6875,0.640625,14.125
7.3125,0.6484375,13.8125
7.65625,0.62890625,13.9375
7.90625,0.63671875,14.25
8.125,0.625,14.375
7.84375,0.6484375,14.375
7.4375,0.6484375,13.9375
7.28125,0.6171875,13.5
7.375,0.63671875,13.75
7.59375,0.62890625,13.875
7.5,0.6328125,13.8125
7.65625,0.65234375,14.1875
7.875,0.62890625,14.125
7.5,0.64453125,13.9375
7.65625,0.6484375,14.125
7.375,0.625,13.625
7.3125,0.65625,13.875
7.53125,0.61328125,13.625
7.5625,0.62890625,13.875
7.53125,0.61328125,13.625
7.46875,0.64453125,13.875
7.375,0.65234375,13.875
7.34375,0.64453125,13.75
7.40625,0.61328125,13.5
7.25,0.625,13.5
7.0,0.60546875,13.0625
7.40625,0.62109375,13.625
7.28125,0.6328125,13.625
7.25,0.62109375,13.5
7.75,0.60546875,13.8125
7.4375,0.63671875,13.8125
7.9375,0.609375,14.0
7.5625,0.6484375,14.0625
7.90625,0.62890625,14.1875
7.34375,0.63671875,13.75
7.25,0.6484375,13.75
7.34375,0.62109375,13.5625
7.4375,0.6171875,13.625
7.59375,0.640625,14.0
7.25,0.6171875,13.4375
7.15625,0.62109375,13.375
7.625,0.62109375,13.875
7.46875,0.640625,13.875
7.21875,0.62890625,13.5
7.15625,0.6015625,13.125
7.4375,0.62109375,13.625
7.5625,0.62890625,13.875
7.0,0.61328125,13.125
7.0,0.625,13.25
7.4375,0.63671875,13.8125
7.09375,0.64453125,13.5
7.21875,0.609375,13.3125
7.21875,0.6015625,13.25
7.375,0.61328125,13.5
6.90625,0.609375,13.0
7.125,0.6015625,13.125
7.46875,0.609375,13.5625
7.40625,0.62109375,13.625
7.15625,0.60546875,13.25
7.875,0.578125,13.625
7.15625,0.62109375,13.375
7.0,0.63671875,13.375
7.5,0.6015625,13.5
6.84375,0.60546875,12.875
7.0,0.61328125,13.125
7.625,0.59375,13.5625
7.125,0.61328125,13.25
7.34375,0.625,13.625
7.4375,0.6171875,13.625
7.0,0.5859375,12.875
7.09375,0.62890625,13.375
7.15625,0.62890625,13.4375
7.375,0.6328125,13.6875
7.0625,0.578125,12.875
7.15625,0.59765625,13.125
7.28125,0.62890625,13.5625
7.34375,0.60546875,13.375
7.0,0.6015625,13.0
7.53125,0.59765625,13.5
7.3125,0.59375,13.25
6.875,0.58984375,12.75
6.875,0.61328125,13.0
7.3125,0.62109375,13.5
7.34375,0.58984375,13.25
6.5,0.5859375,12.375
7.4375,0.5625,13.0625
7.15625,0.609375,13.25
6.84375,0.5859375,12.75
7.125,0.59375,13.0625
6.78125,0.578125,12.5625
7.46875,0.59765625,13.4375
7.46875,0.6328125,13.75
6.8125,0.60546875,12.875
7.0625,0.609375,13.125
6.84375,0.5859375,12.75
6.71875,0.578125,12.5
6.875,0.59375,12.8125
7.34375,0.59765625,13.3125
6.84375,0.5859375,12.75
7.0625,0.59375,13.0
6.90625,0.6015625,12.875
7.375,0.58984375,13.25
6.5,0.609375,12.625
6.84375,0.58203125,12.625
