image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_1209,this of  in the of of ways.   means are you?  your pic in get out! # so   the the the the the the the the the the the the the the the the the the the the the the the the the the the the,9,1,0.27235177,0.36972773,0.13333333333333333,0.02272727272727273,2.2250738585072626e-308,2.2250738585072626e-308,10.5625,3.65625,0.69140625
sonicdrivein_1034,"for’ a get ) cheeseburger sandwich  dogs bar   a�🍉🍔�

  week2  bacon  on pat channelcloud channel
 the the the the the the the the the the the the the the the the the the the the the the the",3,1,0.62388116,0.36972773,0.07894736842105263,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.3125,5.25,0.70703125
sonicdrivein_1958,"a for the, we is are now $0 cents each. no to us, we can get get over them. than ever before �  the the the the the the the the the the the the the the the the the the the the the",7,1,0.21418135,0.36972773,0.1590909090909091,0.023255813953488372,2.2250738585072626e-308,2.2250738585072626e-308,10.375,3.5,0.6875
sonicdrivein_1646,"whati is coming of but100% of, is on the  can get for for your a, delicious in order,urgers.  off price. and in! tomorrow over free. .comthe
-userons-urgers are available
 sales on no day included.
 toon available",11,1,0.031187527,0.36972773,0.1319696575309858,1.1745689403534105e-308,1.1745689403534105e-308,1.1745689403534105e-308,11.5,4.625,0.69140625
sonicdrivein_333,"a a, a own fix the all end-thru, the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",45,1,0.6174496,0.36972773,0.019230769230769235,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.375,4.34375,0.70703125
sonicdrivein_1475,"@ is� is the� what 👏the �. this your� of off and aacker for you order a! the!. ’ s the good! 

 out our sonic menu at youtube channeltv channel  we@ sonicvin_arris is it these sonic.
",8,1,0.04683846,0.36972773,0.2222222222222222,0.028571428571428577,2.2250738585072626e-308,2.2250738585072626e-308,10.75,4.25,0.65234375
sonicdrivein_1848,"the ready your kids, and are s the and new again. the the new, potato cheese, and’ ll be the the nine9. in the a! it’re 102 off. 1-6 pm..  # school ams as #",9,1,0.042924006,0.36972773,0.08329996071711268,2.162399925073842e-308,2.162399925073842e-308,2.162399925073842e-308,10.875,3.96875,0.69140625
sonicdrivein_2021,"i the of of, we  a specialy is be to the head. and if  one screwdriver. , coming!./55/  the the the the the the the the the the the the the the the the the the the the the the the",5,1,0.24717833,0.36972773,0.12195121951219512,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.625,4.59375,0.69921875
sonicdrivein_1189,"when’ a and morning, it of need is do is is get out and a ice view spray and hot cream �� pic off   the waves � ��  the the the the the the the the the the the the the the the",23,1,0.19982179,0.36972773,0.13953488372093023,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.125,4.09375,0.69921875
sonicdrivein_1112,"a  what the are the food, but we’ to make a a sonic-. ’ you think will? place? �� us the the the the the the the the the the the the the the the the the the the the the the the the the the the",8,1,0.3334297,0.36972773,0.12765957446808512,0.021739130434782608,2.2250738585072626e-308,2.2250738585072626e-308,11.125,4.25,0.69140625
sonicdrivein_1368,""" ot  of  you like a  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",2,1,0.5478935,0.36972773,0.03773584905660377,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.4375,5.4375,0.69921875
sonicdrivein_1162,when  re going the little bit down today but we’s a blueyade for of the!  down to a mic of blue.  abouts you listening?? �# the the the the the the the the the the the the the the the the the the the,8,1,0.110219404,0.36972773,0.13636363636363635,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,10.875,4.0,0.6875
sonicdrivein_1140,i’ s my few who with pineapple potato! �� the app from now  now me  in the! get it own or treat special even moreier! �� the the the the the the the the the the the the the the the the the the the,25,1,0.05210394,0.36972773,0.15555555555555556,0.02272727272727273,2.2250738585072626e-308,2.2250738585072626e-308,12.6875,5.6875,0.69921875
sonicdrivein_877,whenary if you you you favorite are! �  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,0,1,0.47591308,0.36972773,0.0,0.0,0.0,0.0,13.5,6.84375,0.6640625
sonicdrivein_1474,i all n! you.  a of the morning store and we � off off for aob for day you  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,36,1,0.2466344,0.36972773,0.07999999999999999,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.25,4.46875,0.6796875
sonicdrivein_1463,thisond you’ happy of!  of of these  do you want?  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,4,1,0.5561733,0.36972773,0.08163265306122448,0.02083333333333333,2.2250738585072626e-308,2.2250738585072626e-308,11.0,3.921875,0.70703125
sonicdrivein_1665,"i know’ t have want to ask to the for get your,.  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",4,1,0.29588455,0.36972773,0.07547169811320754,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.0,3.796875,0.71875
sonicdrivein_1884,i:.  all us'em how of! we go ready friends nom the. your@0 of- $.99.  the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.5012729,0.36972773,0.024390243902439022,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.5,4.53125,0.69921875
sonicdrivein_1446,i  re not to get the new of ice in you ice!!  we’ what? you’ it! </  the the the the the the the the the the the the the the the the the the the the the the the the the,5,1,0.31602576,0.36972773,0.11904761904761905,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,10.3125,3.3125,0.69921875
sonicdrivein_1607,when is got ’ t over only as aare �️  us@ sonicisort     summer to get a in this# sonicessheesign  the the the the the the the the the the the the the the the the the the the the,22,1,0.2677717,0.36972773,0.10256410256410255,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.0625,5.3125,0.67578125
sonicdrivein_1122,you out out and the  ’ re here for your to the� �  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.6205312,0.36972773,0.018867924528301883,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.0,5.0,0.69921875
sonicdrivein_1430,"the’ re got a new one...   in  it   bull® drinky and,ade, bull®,, the on the the the the the the the the the the the the the the the the the the the the the the the the the",30,1,0.46497843,0.36972773,0.1282051282051282,0.026315789473684213,2.2250738585072626e-308,2.2250738585072626e-308,11.75,4.875,0.69140625
sonicdrivein_1203,"the you’ s a a morning or the the beach, we for the in the you. �� are you keep?  the the the the the the the the the the the the the the the the the the the the the the the the the the the",37,1,0.1782151,0.36972773,0.14893617021276595,0.021739130434782608,2.2250738585072626e-308,2.2250738585072626e-308,10.9375,4.03125,0.69140625
sonicdrivein_2084,this new man dogie be be  for! but 10..  in day to  your pic and get along you. the the the the the the the the the the the the the the the the the the the the the the the the,3,1,0.18351515,0.36972773,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.25,4.15625,0.70703125
sonicdrivein_2236,"weratulations! theelson,   got the the best most the inner team teamoff!  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",42,1,0.38273966,0.36972773,0.061224489795918366,0.02083333333333333,2.2250738585072626e-308,2.2250738585072626e-308,11.875,5.25,0.66015625
sonicdrivein_1471,when the the time night snacks and noise screams. the and me the of night of  you for your me! the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,48,1,0.23044427,0.36972773,0.10714285714285714,0.018181818181818177,2.2250738585072626e-308,2.2250738585072626e-308,11.875,4.9375,0.69140625
sonicdrivein_1734,a up for day with this spice  grill! sandwich! it get down down with our cold watermelon ice soda pepper.  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,41,1,0.54217404,0.36972773,0.19607843137254902,0.04000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,11.8125,4.75,0.70703125
sonicdrivein_1639,"i a caring, i your  and a chicken sweet french,0s hot dogs and day long!  times are in those who wait play  the the the the the the the the the the the the the the the the the the the the the the the",27,1,0.41910842,0.36972773,0.11111111111111109,0.02272727272727273,2.2250738585072626e-308,2.2250738585072626e-308,11.9375,4.75,0.71875
sonicdrivein_1252,it’ the to to help our and& learninglearning. home during giving $... to  the donate below the to get how it the the the the the the the the the the the the the the the the the the the the the the the the,34,1,0.17698063,0.36972773,0.13333333333333333,0.02272727272727273,2.2250738585072626e-308,2.2250738585072626e-308,11.25,4.34375,0.6875
sonicdrivein_57,"i, do it  and  like sure and the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",0,1,0.5417866,0.36972773,0.0,0.0,0.0,0.0,12.6875,5.625,0.70703125
sonicdrivein_1495,"the me is the a break-five for��   a, 0 in  is’ is giving a difference$1 million donation to teachers the education# the the the the the the the the the the the the the the the the the the the the the the the",8,1,0.6120656,0.36972773,0.1590909090909091,0.04651162790697675,0.023809523809523808,2.2250738585072626e-308,11.375,4.59375,0.67578125
sonicdrivein_763,a birthday# christmasinesday!  a you love re thankful ready valentine valentine. todayo today with cone from your!  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,4,1,0.24850373,0.36972773,0.06521739130434781,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.125,5.25,0.6875
sonicdrivein_914,when a all! the winter zone! this�  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,49,1,0.6125283,0.36972773,0.018181818181818177,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,14.3125,7.3125,0.69921875
sonicdrivein_1222,the  s best day is  in of a roll please  '' derhe     distantdist dance is  ave the! fun in lot to everyone of us friends!  are the  championaker winner and!yan!  the the the the,6,1,0.03531677,0.36972773,0.14705882352941177,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,13.0625,6.0,0.70703125
sonicdrivein_408,"we first popular thing of the and share, and the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",49,1,0.47990438,0.36972773,0.017543859649122806,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.375,4.875,0.75
sonicdrivein_1711,"it one of are be be with the on???  your taste now get one free offer chicken chicken! friday,&/   out.  the the the the the the the the the the the the the the the the the the the the",5,1,0.16218212,0.36972773,0.12500000000000003,0.05128205128205127,0.026315789473684213,2.2250738585072626e-308,13.0,6.0625,0.69140625
sonicdrivein_2193,the for go the next3 glayday event in  in   dog dog dog and and   it the #  of- and the the the the the the the the the the the the the the the the the the the the the the,28,1,0.3316838,0.36972773,0.048780487804878044,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.0625,5.25,0.6796875
sonicdrivein_496,the many you feel your?. c   the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.71281064,0.36972773,0.0196078431372549,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.125,5.28125,0.68359375
sonicdrivein_750,"wecing theuru, theosh’ jla � �  : we’ a dogs people the at you   who. and their members) at our videos!  sure the first for them of fun-the-scenes content! �  the",6,1,0.035964783,0.36972773,0.12493634543792398,2.1544426206380223e-308,2.1544426206380223e-308,2.1544426206380223e-308,11.0,4.1875,0.6796875
sonicdrivein_1052,i one baby i you?  �️  the your your know your other flavor in their your which you you tick the the the the the the the the the the the the the the the the the the the the the the the the the the the,3,1,0.29337853,0.36972773,0.06382978723404255,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.625,4.65625,0.69921875
sonicdrivein_2191,"wees,  che, you’re not to the#02 of!! 1:.! ''this we by of long # sonicie_siano  the the the the the the the the the the the the the the",0,1,0.23539676,0.36972773,0.0,0.0,0.0,0.0,11.8125,5.0625,0.67578125
sonicdrivein_1866,when the drink bit and this ice post of’ s just good! just up drink of it new   cheesecake ice the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,2,1,0.29428118,0.36972773,0.036363636363636355,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.875,4.90625,0.69921875
sonicdrivein_1841,"the is dance is for after the thes famous shake. shake.. it' s a with a,  it own button! get a sip#shakeyour  us@02 of off. 1:. #shakeucksreshare  the the the the the",7,1,0.06255372,0.36972773,0.15625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.875,4.84375,0.70703125
sonicdrivein_1906,"the    know it than  the than  yourself  self to a food fresh, and a. chef menu.  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",1,1,0.18409286,0.36972773,0.022222222222222227,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.25,5.34375,0.6875
sonicdrivein_1824,yes the@ esset on   you lucky for a@ youracheroice # be  to $10 to the schools# in  the the the the the the the the the the the the the the the the the the the the the the the the the,2,1,0.36766437,0.36972773,0.047619047619047616,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.875,4.96875,0.69140625
sonicdrivein_1625,"a, the drinkbee is isy been favorite! it to the' get your.  you, sonicinghop for the this 10!   limited time!!  theaters locations-ins.  the the",8,1,0.056975443,0.36972773,0.17635035935221127,1.8834843577582417e-308,1.8834843577582417e-308,1.8834843577582417e-308,12.25,5.15625,0.70703125
sonicdrivein_1401,"we up the, second comes the hot,   you get the hot? chicken?  margarita of mango- and, chipotle lime juice  it for getcharge your day! �🔥summeraperm##  up*  your handy by
 you for options hotie. a ice.  time",13,1,0.035008486,0.36972773,0.13870883016646562,0.014267193959979323,1.1110946110110945e-308,1.1110946110110945e-308,12.25,5.09375,0.71875
sonicdrivein_567,"i the you  wondering, we new of, the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",51,1,0.5258336,0.36972773,0.03571428571428572,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,10.75,4.0625,0.671875
sonicdrivein_541,this birthday’ day!�  day of snackush issnack- by you to you school across  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,2,1,0.3793204,0.36972773,0.04000000000000001,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.6875,5.96875,0.671875
