train_G,train_D,test_G,test_D,save
11.31890625,1.759501953125,9.9690625,1.7457421875,V
9.840625,1.7474609375,9.76140625,1.747890625,V
9.6994921875,1.743984375,9.4803125,1.745703125,V
9.591640625,1.746806640625,9.4853125,1.7446484375, 
9.562890625,1.7439453125,9.435,1.744921875,V
9.5662890625,1.744228515625,9.5465625,1.7437890625, 
9.508046875,1.743974609375,9.57609375,1.74140625, 
9.418828125,1.7433984375,9.3884375,1.740546875,V
9.50015625,1.744599609375,9.58484375,1.7395703125, 
9.42609375,1.7443359375,9.57390625,1.7455859375, 
9.420078125,1.744365234375,9.4478125,1.7457421875, 
9.4696875,1.7440234375,9.23875,1.741015625, 
9.460703125,1.743154296875,9.37984375,1.7429296875, 
9.3563671875,1.741806640625,9.3478125,1.7440625,V
9.523046875,1.74259765625,9.3534375,1.74703125, 
9.4772265625,1.74185546875,9.54375,1.741484375, 
9.5983203125,1.742568359375,9.39203125,1.739765625,V
9.53484375,1.744267578125,9.48734375,1.743046875, 
9.414375,1.74330078125,9.439375,1.7400390625, 
9.426875,1.74556640625,9.42140625,1.7418359375, 
