train_loss,test_loss,save
8.079637096774194,8.0625,V
8.064516129032258,8.0625, 
8.0625,8.0625, 
8.06149193548387,8.05,V
8.053427419354838,8.0375,V
8.03024193548387,8.020833333333334,V
8.015120967741936,8.008333333333333,V
8.008064516129032,8.004166666666666,V
8.007056451612904,7.997916666666667,V
8.002016129032258,8.004166666666666, 
8.00100806451613,7.997916666666667, 
8.001512096774194,7.997916666666667, 
8.0,8.0, 
8.000504032258064,8.0, 
7.998991935483871,7.997916666666667, 
8.0,7.997916666666667, 
7.999495967741935,7.997916666666667, 
7.999495967741935,7.99375,V
7.998991935483871,8.0, 
7.999495967741935,7.99375, 
7.996471774193548,7.997916666666667, 
7.996471774193548,8.0, 
7.997983870967742,7.997916666666667, 
7.998487903225806,7.995833333333334, 
7.996471774193548,7.99375, 
7.995967741935484,8.0, 
7.994959677419355,7.99375, 
7.996975806451613,7.99375, 
7.997983870967742,8.0, 
7.996975806451613,8.0, 
