train_loss,test_loss,save
8.761,8.231854838709678,V
8.10675,7.950604838709677,V
7.705,8.023185483870968, 
7.50125,7.930443548387097,V
7.37225,7.777217741935484,V
7.246,7.602822580645161,V
7.13275,7.412298387096774,V
7.04275,7.341733870967742,V
6.986,7.32258064516129,V
6.92375,7.248991935483871,V
6.87875,7.251008064516129, 
6.837,7.125,V
6.80625,7.055443548387097,V
6.77825,7.079637096774194, 
6.74675,7.032258064516129,V
6.725,6.991935483870968,V
6.701,6.877016129032258,V
6.68475,6.9375, 
6.66225,6.926411290322581, 
6.6455,6.907258064516129, 
6.6285,6.891129032258065, 
