train_loss,test_loss,save
3.2396377292244805,3.0282067757557005,V
2.9707826680042,2.996742740680318,V
2.9322350734549616,2.993721930786829,V
2.918669164238872,2.977196840777828,V
2.9044822922330873,2.9701178613955146,V
2.8930870976852545,2.9681478890076507,V
2.8842734984390237,2.971097793373087, 
2.876633268370772,2.9686453996962197, 
2.873545099125525,2.962385349863111,V
2.8681521603469773,2.962609200373162, 
2.86359107219868,2.9641231212965047, 
2.863188193474368,2.9611223817694268,V
2.858885583467712,2.961570375787579, 
2.859333543885472,2.9618980941062856, 
2.854010278479618,2.9608633714933994,V
2.85163263114781,2.9596239897427243,V
2.851198916691667,2.9663617728960396, 
2.8475883527947574,2.9607776695638313, 
2.846711402160054,2.9619169924804982, 
