bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,179200,63000,4.2687255859375,0.3035164097377236,3.9295138888888888,0.049458829365079345,V
0.05,179200,63000,3.6675851004464284,0.21186575753348139,3.8294642857142858,0.05443874007936506,V
0.05,179200,63000,3.49222412109375,0.22353088378906202,3.826532738095238,0.05565873015873013,V
0.05,179200,63000,3.4595406668526785,0.22596374511718842,3.833095238095238,0.05605555555555552, 
0.05,179200,63000,3.4405430385044644,0.22648149762834835,3.840391865079365,0.056784722222222264, 
0.05,179200,63000,3.4261439732142858,0.22711922781808072,3.8351488095238095,0.057457837301587274, 
0.05,179200,63000,3.4164358956473215,0.22782244001116098,3.8407142857142857,0.05768874007936506, 
0.05,179200,63000,3.4079293387276786,0.22854500906807992,3.844593253968254,0.057902529761904735, 
0.05,179200,63000,3.4011648995535713,0.2287962123325893,3.84499503968254,0.05795014880952368, 
0.05,179200,63000,3.3960065569196427,0.22882960728236595,3.8435714285714284,0.057877480158730225, 
