bleu_threshold,trainData_size,testData_size,train_loss,train_bleu,test_loss,test_bleu,save
0.05,1292100,1077,0.8809227483965056,0.7286805757100792,4.253650700934579,0.5511828271028036,V
0.05,1292100,1077,0.5797464973444393,0.7525368102314108,4.231016355140187,0.5532564252336448,V
0.05,1292100,1077,0.5544688258818009,0.7560103223434727,4.22794976635514,0.5667640186915888,V
0.05,1292100,1077,0.5390231230893506,0.7514886981464232,4.194071261682243,0.5555344626168227,V
0.05,1292100,1077,0.5277692549314101,0.7535583788019524,4.126314252336448,0.5483498831775702,V
0.05,1292100,1077,0.5189208171895557,0.7487965448688227,4.220356308411215,0.5616676401869157, 
0.05,1292100,1077,0.5121206287850205,0.7615183132110511,4.115654205607477,0.5848276869158876,V
0.05,1292100,1077,0.5055828069978137,0.7649925629788714,4.156542056074766,0.5686039719626169, 
0.05,1292100,1077,0.5002186590023024,0.7594449321840447,4.100029205607477,0.5910922897196259,V
0.05,1292100,1077,0.4953813604669724,0.7611335350398601,4.129088785046729,0.570035046728972, 
0.05,1292100,1077,0.49126886161578054,0.7686337285233328,4.102657710280374,0.5901139018691588, 
