image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_283,we for a break to # askday#weirdway##,2,1,0.17720516,0.43926224,0.2857142857142857,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,27.75,4.8125,2.296875
sonicdrivein_411,the are when you get re not alone these? </ goalsude #familylife ibesomennialials  the the-an- the,0,1,0.15349868,0.43926224,0.0,0.0,0.0,0.0,6.15625,4.6875,0.1474609375
sonicdrivein_41,the’ s not you to day# # mas2#,0,1,0.14558758,0.43926224,0.0,0.0,0.0,0.0,7.15625,5.96875,0.11962890625
sonicdrivein_135,"you your the lane get to deals, on!��1",1,1,0.0449156,0.43926224,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,6.84375,5.75,0.109375
sonicdrivein_430,"we,,? you do a in?…#aaaaaaaaaaaaaaaaaaaaaaaaa",0,1,0.5052176,0.43926224,0.0,0.0,0.0,0.0,5.625,4.46875,0.1162109375
sonicdrivein_228,you for update meeting with discuss with- .,1,1,0.03674636,0.43926224,0.11031211282307446,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,9.375,8.0625,0.1279296875
sonicdrivein_1094,the you help out the answer message in ,4,1,0.12659888,0.43926224,0.375,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,4.46875,3.203125,0.126953125
sonicdrivein_1122,"you out on,   ’ re celebrating to the to we�🎀�",0,1,0.070042595,0.43926224,0.0,0.0,0.0,0.0,5.3125,4.03125,0.1279296875
sonicdrivein_2052,"the your ice out with because lovers, are we''",1,1,0.050611548,0.43926224,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.75,5.375,2.140625
sonicdrivein_1317,it with a! the’ ’ s the the �,0,1,0.14038251,0.43926224,0.0,0.0,0.0,0.0,5.78125,4.6875,0.109375
sonicdrivein_1457,it�� this hand at the  bowl! � ,1,1,0.10845292,0.43926224,0.12383969996431167,1.928867353251809e-308,1.928867353251809e-308,1.928867353251809e-308,5.96875,4.8125,0.11474609375
sonicdrivein_369,"the voice, be away from the..��.",2,1,0.54156655,0.43926224,0.2021768865708778,0.1213061319425267,1.3495755153097447e-308,1.3495755153097447e-308,29.0,6.0625,2.296875
sonicdrivein_753,therape get in in it mix! ��  -,0,1,0.12476711,0.43926224,0.0,0.0,0.0,0.0,5.375,4.09375,0.1279296875
sonicdrivein_906,"we you’ what this know, we�� ",1,1,0.08824728,0.43926224,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.34375,3.25,0.109375
sonicdrivein_1018,the for the morning! a the go. #,3,1,0.15046144,0.43926224,0.22062422564614886,1.9636207881546135e-308,1.9636207881546135e-308,1.9636207881546135e-308,5.71875,4.6875,0.103515625
sonicdrivein_1349,the one of you rather a'n’ roll) �#,2,1,0.36274028,0.43926224,0.25,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.28125,4.0,0.12890625
sonicdrivein_1384,the in school season back with the way for ,4,1,0.045731124,0.43926224,0.3333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.125,4.21875,2.1875
sonicdrivein_505,"the the skills of  your your,. andurgers and and",1,1,0.16151434,0.43926224,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,29.5,5.90625,2.359375
sonicdrivein_470,we new- the drop is!  tuned for�#,3,1,0.12082198,0.43926224,0.32206169703226534,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308,5.3125,4.21875,0.11083984375
sonicdrivein_280,"you to, a, the new.. ootparty the the the the the the the the thean the the theanan the the thean the the the thean the the the the the thean the theananan the the the the thean the the",28,1,0.5788017,0.43926224,0.025,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,7.375,6.25,0.11328125
sonicdrivein_414,"the you’ see in of your house house house,  and the the the the the the the the to is is the the the the theananan the the the the the the to to the the the the the to the the the the the the the the the the the to to the the the the to",2,1,0.41876712,0.43926224,0.034482758620689655,0.017543859649122806,2.2250738585072626e-308,2.2250738585072626e-308,25.125,3.203125,2.1875
sonicdrivein_57,"the, know it favorite,  like sure to",0,1,0.04787409,0.43926224,0.0,0.0,0.0,0.0,6.6875,5.4375,0.125
sonicdrivein_363,it’ re got a new of the this we,2,1,0.052761365,0.43926224,0.2222222222222222,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,4.3125,3.28125,0.103515625
sonicdrivein_375,the new up here. a.. we'' withushesnow#drinkinkshop,0,1,0.22781567,0.43926224,0.0,0.0,0.0,0.0,6.3125,5.15625,0.1162109375
sonicdrivein_1199,the' s a one way that through my head right what���🥃�,3,1,0.053133756,0.43926224,0.2727272727272727,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,24.125,3.03125,2.109375
sonicdrivein_522,what dog loud and  you have to know anything? -,2,1,0.049026616,0.43926224,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.875,3.859375,2.296875
sonicdrivein_1615,"youodka,room v  your day! get your friendsushes and #",3,1,0.13835247,0.43926224,0.3333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.9375,3.875,0.10498046875
sonicdrivein_566,you’m got a of to my mind and😂aaaa,1,1,0.2235207,0.43926224,0.12500000000000003,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.0,3.59375,2.234375
sonicdrivein_548,the know you to the? but you to bed.,4,1,0.08126826,0.43926224,0.3333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.25,3.859375,0.1376953125
sonicdrivein_1572,"the a pose with  the are the,  course!  the the the thean the theanan the---- thean the the the thean the the the the the the- the the---- the the the the thean the the a",2,1,0.4336328,0.43926224,0.02777777777777778,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.84375,4.59375,0.125
sonicdrivein_2154,the!1 sonic is  end of light! '' sonicak ananan the thean,3,1,0.06089926,0.43926224,0.2727272727272727,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.0,4.8125,0.11962890625
sonicdrivein_1115,"it’ re so in new- in and,,, ��",0,1,0.19039841,0.43926224,0.0,0.0,0.0,0.0,6.8125,5.90625,0.09033203125
sonicdrivein_1028,you youryour your: night in you is.. ,0,1,0.16288559,0.43926224,0.0,0.0,0.0,0.0,6.8125,5.71875,0.11083984375
sonicdrivein_2031,"we�‍ � celebrate, it’re the. 👨: to"" youacon, 👨:",2,1,0.16426842,0.43926224,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,26.375,3.75,2.265625
sonicdrivein_491,"the,,, we is you favorite flavor. it---aaa",1,1,0.21926846,0.43926224,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,25.5,4.46875,2.09375
sonicdrivein_478,"the,,, we#020 is we’ born. always. �a",1,1,0.19244584,0.43926224,0.10735389901075512,1.6720924800836196e-308,1.6720924800836196e-308,1.6720924800836196e-308,4.78125,3.6875,0.109375
sonicdrivein_534,the’ s the a hour joke that work point that we,0,1,0.04032608,0.43926224,0.0,0.0,0.0,0.0,25.25,3.984375,2.125
sonicdrivein_964,"the the the favorite delivery partner your,! sonic��#",0,1,0.15941638,0.43926224,0.0,0.0,0.0,0.0,7.28125,6.1875,0.109375
sonicdrivein_877,you? to you you you kids are! �###,0,1,0.11670501,0.43926224,0.0,0.0,0.0,0.0,7.03125,5.90625,0.11328125
sonicdrivein_37,"the to a best of the, the experience,",2,1,0.20768264,0.43926224,0.25,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.625,5.34375,0.1298828125
sonicdrivein_1272,the like you world is a with today # isowtay#,2,1,0.14736904,0.43926224,0.2,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.21875,4.84375,0.1376953125
sonicdrivein_791,"we day of s a, but they delicious. we�#",2,1,0.03241428,0.43926224,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.75,4.75,0.10009765625
sonicdrivein_373,i says a could a a taste? check'' sonicisaaaaa---aa,1,1,0.29701316,0.43926224,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,24.25,4.28125,2.0
sonicdrivein_1282,we is a fries you need what best? check,1,1,0.05460245,0.43926224,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.1875,5.09375,0.109375
sonicdrivein_524,theoshooth  the morning   hi and ) and,1,1,0.23358771,0.43926224,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.03125,4.875,0.1162109375
sonicdrivein_784,"we�� more, no gain!no)) ��",1,1,0.4175299,0.43926224,0.13406400920712788,1.491511611267286e-308,1.491511611267286e-308,1.491511611267286e-308,27.75,5.15625,2.265625
sonicdrivein_947,the’ t forget your word for it. this�️#�️☝️�,3,1,0.36740896,0.43926224,0.375,0.2857142857142857,0.16666666666666669,2.2250738585072626e-308,3.703125,2.609375,0.109375
sonicdrivein_645,we are are our inspiration cream ’s ain aaaaaaaa,2,1,0.10954429,0.43926224,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,25.375,3.90625,2.15625
sonicdrivein_234,"the are s your favorite routine? need?,  with",0,1,0.09453626,0.43926224,0.0,0.0,0.0,0.0,26.5,5.28125,2.125
sonicdrivein_409,we a we could to? s be a? ,4,1,0.17671283,0.43926224,0.375,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,4.8125,3.59375,0.123046875
sonicdrivein_1316,the is you can to be up the fingers to trya,3,1,0.045476574,0.43926224,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,5.28125,4.125,0.11474609375
sonicdrivein_1005,we a the the best ice sandwich. cheese dogs combo! �#,2,1,0.15252641,0.43926224,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.15625,4.96875,0.1181640625
sonicdrivein_78,the best day the. a.�.♪#,1,1,0.6908274,0.43926224,0.10976232721880529,1.221146424717419e-308,1.221146424717419e-308,1.221146424717419e-308,28.625,5.84375,2.28125
sonicdrivein_189,the is s ready best? be butt? ,1,1,0.05361837,0.43926224,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,6.34375,5.34375,0.09912109375
sonicdrivein_531,“ are you want in the  of ,2,1,0.3386969,0.43926224,0.2857142857142857,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,25.125,3.203125,2.1875
sonicdrivein_446,the’ s time too early to a cream! check,1,1,0.07086441,0.43926224,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,25.125,2.640625,2.25
sonicdrivein_850,it you can m not the mood for a sweet detox. checka,3,1,0.065947324,0.43926224,0.25,0.18181818181818182,0.10000000000000002,2.2250738585072626e-308,4.84375,3.75,0.109375
