image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4,loss,caption_loss,fc_loss
sonicdrivein_2221,i’ dogs in!  the to bring for  rules for way and&  the. thecom/! #010 off in   day long the the the the the the the the the the the the the the the the the,20,1,0.2506262,0.3759623,0.08571428571428572,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.125,5.09375,0.69921875
sonicdrivein_928,"a he  the time to inin-hand! �� us!!!! get your your skills at  the to check your@ sofastic and and and #sonirl, @shmom!   the the the the",13,1,0.06508568,0.3759623,0.18518518518518515,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.5,4.28125,0.71875
sonicdrivein_555,the hotating the�  �  1: our red food of the favorite!  sure the  for� for the  snacks to our new channel!  the the the the the the the the the the the the the the the the the the the the the the the,33,1,0.07942854,0.3759623,0.1590909090909091,0.023255813953488372,2.2250738585072626e-308,2.2250738585072626e-308,12.125,4.90625,0.71875
sonicdrivein_2102,the soon the new-in this your? weekend? we  salad is is is '' alecream the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,40,1,0.24950476,0.3759623,0.03921568627450981,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.375,4.8125,0.7578125
sonicdrivein_1238,a’ s all 2 ethngvinletip day!  are to help! now! so check’ll got $ 0 to our’ students families the the the the the the the the the the the the the the the the the the the the the,1,1,0.14539976,0.3759623,0.025,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.75,4.65625,0.70703125
sonicdrivein_1537,the  of being on the the the hour of.  the moment�. moment.. � pic theeron0z the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,41,1,0.52739453,0.3759623,0.061224489795918366,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,13.75,6.53125,0.7265625
sonicdrivein_850,you you’ m not a mood for something pizza detox. i the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,48,1,0.7246091,0.3759623,0.05263157894736841,0.01785714285714285,2.2250738585072626e-308,2.2250738585072626e-308,10.875,3.953125,0.69140625
sonicdrivein_268,"i your comments smile in your, and, stars moon the morning below the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",48,1,0.6167187,0.3759623,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.375,5.34375,0.70703125
sonicdrivein_316,"the' s not best things that, life  #midthis #food #foods  the the the the the the the the the the the the the the the the the the the the the the the the the the the",28,1,0.5068934,0.3759623,0.054054054054054064,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.75,4.5625,0.71875
sonicdrivein_2170,"the- to you wantre a to you is is coming in  the, we- the are are and your extra  and the the the the the the the the the the the the the the the the the the the the the the the the the the the the",5,1,0.41008577,0.3759623,0.0625,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,13.25,6.0625,0.71875
sonicdrivein_2077,"the for vote, vote,  who votes are coming about for you vote! </ theare   the  $ 00 to000 to the the the the the the the the the the the the the the the the the the the the the",6,1,0.38431832,0.3759623,0.12500000000000003,0.025641025641025644,2.2250738585072626e-308,2.2250738585072626e-308,10.875,3.96875,0.6875
sonicdrivein_1923,the are' t want it“ it.. a. we up with the summer with with these� a onerss.ers dogs.  day long the@0.22.  the the the the the the the the the the the the the the the,22,1,0.1552521,0.3759623,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.0625,4.1875,0.6875
sonicdrivein_725,"i���’ the a dreams special! � bites,,  rolls  hands here available for the  thruthru!  the the the the the the the the the the the the the the the the the the the the the the the the the the the",30,1,0.2588952,0.3759623,0.048780487804878044,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.375,5.0625,0.734375
sonicdrivein_1567,the are s a way thing as a much. we now we1 _suggets.!  ��  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,2,1,0.2776267,0.3759623,0.043478260869565216,0.022222222222222227,2.2250738585072626e-308,2.2250738585072626e-308,12.4375,5.09375,0.734375
sonicdrivein_1759,"the   of week  we friends iss going is is be!  drinking at 20, a' 0  over!�#�� $00 a$0packs pizza- dog dog #  dog fries carne dog   included shipping on apply.  ends until",5,1,0.03617702,0.3759623,0.03345383928243689,1.190996212064859e-308,1.190996212064859e-308,1.190996212064859e-308,12.375,5.1875,0.71875
sonicdrivein_2184,"the the2989, i burgerissippi river school student a  dog eating contest. the$. i did of dogs can you eaten in morning?  the the the the the the the the the the the the the the the the the the the the the the the the",7,1,0.13969219,0.3759623,0.15555555555555556,0.02272727272727273,2.2250738585072626e-308,2.2250738585072626e-308,10.625,3.4375,0.71875
sonicdrivein_1013,it  you mom to they want do on their wedding bar. and we got this most popular one. �# the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,35,1,0.40318114,0.3759623,0.14583333333333334,0.042553191489361694,2.2250738585072626e-308,2.2250738585072626e-308,11.875,4.40625,0.7421875
sonicdrivein_549,the it!�  a favorite favorite cookbookatoray to to following for the forin. the favorite search.  the the the the the the the the the the the the the the the the the the the the the,0,1,0.11830807,0.3759623,0.0,0.0,0.0,0.0,13.125,5.78125,0.734375
sonicdrivein_1728,@ dog is is won in size! we the!!! day!  1- 6.  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,1,1,0.58204633,0.3759623,0.022222222222222227,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,13.25,6.15625,0.70703125
sonicdrivein_634,"the one of food is you? the�🍦�, chchecreamday  the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the",1,1,0.60944825,0.3759623,0.020408163265306117,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,11.625,4.25,0.734375
sonicdrivein_1762,weest your life! this delicious chocolate of lemon lemonades  lemon soup. �#�  # isorttline# ’ be the on the the the the the the the the the the the the the the the the the the the the,3,1,0.44062585,0.3759623,0.07894736842105263,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308,12.375,5.34375,0.69921875
