image_id,caption,fitCount,gtNum,fluency,diversity,bleu1,bleu2,bleu3,bleu4
mcdonalds_switzerland_367,we know you're in the same position as mcdonald’ s every year.,2,1,0.9614276,0.4412741,0.07872775879016912,1.051050468137224e-308,1.051050468137224e-308,1.051050468137224e-308
mcdonalds_switzerland_2016,i'm sure you can enjoy a little mac n cheese and it cost less than one euro.,3,1,0.9611659,0.4412741,0.17647058823529413,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_205,it's a good idea to try out your favorite restaurant in different parts of the world! enjoy this mcdonald’ s❤♥︎# happytober.,0,1,0.9173131,0.4412741,0.0,0.0,0.0,0.0
mcdonalds_switzerland_783,we're starting a new menu every time you order the big mac cheese and mcdonald’ s.,4,1,0.9559774,0.4412741,0.17182231969774306,1.5292694074701025e-308,1.5292694074701025e-308,1.5292694074701025e-308
mcdonalds_switzerland_1966,i'm here to celebrate the new year and i would like you enjoy this mcdonald’s loyalty chain.,2,1,0.96607757,0.4412741,0.11764705882352941,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_524,"if you're old enough to enjoy a mac burger, then this video was made for that! 👏🙌 🙋‍♂️ see the future too.",3,1,0.90573883,0.4412741,0.13636363636363635,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1842,let's enjoy the new version of mcdonald’ s today! this is a big deal now.,0,1,0.965734,0.4412741,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1979,i'm so old that i can still play the game and get it for free! good luck with this one.,0,1,0.9764757,0.4412741,0.0,0.0,0.0,0.0
mcdonalds_switzerland_419,"what do you call the bacon, but it is so delicious! tag me with your number below to get a free mcdonald's today.",0,1,0.85716873,0.4412741,0.0,0.0,0.0,0.0
mcdonalds_switzerland_1952,i'm not sure how to thank you so much for the big parade! we will send a feeling of joy into your mcdonald s app today.,1,1,0.94995886,0.4412741,0.03846153846153846,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
mcdonalds_switzerland_1965,there's something in your fries! let us know what you miss most on this holiday# good luck@ gordana_mcdonald and 🤩 all the way to mcdonalds 🍔.,0,1,0.74519885,0.4412741,0.0,0.0,0.0,0.0
